map,population_deviation
000002500,0.018700
000005000,0.016900
000007500,0.018400
000010000,0.016100
000012500,0.019800
000015000,0.015400
000017500,0.016400
000020000,0.017400
000022500,0.019400
000025000,0.019100
000027500,0.018500
000030000,0.017700
000032500,0.019600
000035000,0.019700
000037500,0.016500
000040000,0.017600
000042500,0.017200
000045000,0.017700
000047500,0.018900
000050000,0.018100
000052500,0.016000
000055000,0.019500
000057500,0.016800
000060000,0.016500
000062500,0.018500
000065000,0.018000
000067500,0.019300
000070000,0.018700
000072500,0.018600
000075000,0.017500
000077500,0.014700
000080000,0.019200
000082500,0.019400
000085000,0.014900
000087500,0.019300
000090000,0.019300
000092500,0.016300
000095000,0.016700
000097500,0.019200
000100000,0.015300
000102500,0.018000
000105000,0.017200
000107500,0.017800
000110000,0.018500
000112500,0.018600
000115000,0.019000
000117500,0.015400
000120000,0.016200
000122500,0.015000
000125000,0.018500
000127500,0.019700
000130000,0.018900
000132500,0.019500
000135000,0.019000
000137500,0.017800
000140000,0.019800
000142500,0.016800
000145000,0.018700
000147500,0.018500
000150000,0.019200
000152500,0.019200
000155000,0.016600
000157500,0.019500
000160000,0.015100
000162500,0.017100
000165000,0.018700
000167500,0.019600
000170000,0.018600
000172500,0.018500
000175000,0.017100
000177500,0.018700
000180000,0.015500
000182500,0.017700
000185000,0.018300
000187500,0.018200
000190000,0.017800
000192500,0.018700
000195000,0.017700
000197500,0.019200
000200000,0.018700
000202500,0.018900
000205000,0.019600
000207500,0.018600
000210000,0.016500
000212500,0.015300
000215000,0.018400
000217500,0.018100
000220000,0.016500
000222500,0.019200
000225000,0.017400
000227500,0.017300
000230000,0.017600
000232500,0.016700
000235000,0.019300
000237500,0.018600
000240000,0.017700
000242500,0.019000
000245000,0.017700
000247500,0.017100
000250000,0.019200
000252500,0.017900
000255000,0.014700
000257500,0.015200
000260000,0.014700
000262500,0.016800
000265000,0.017300
000267500,0.016800
000270000,0.019700
000272500,0.019300
000275000,0.017900
000277500,0.017700
000280000,0.015900
000282500,0.017700
000285000,0.017200
000287500,0.016300
000290000,0.018800
000292500,0.018800
000295000,0.016600
000297500,0.017000
000300000,0.018400
000302500,0.019700
000305000,0.019100
000307500,0.017700
000310000,0.019600
000312500,0.016900
000315000,0.016000
000317500,0.018000
000320000,0.018000
000322500,0.018900
000325000,0.019300
000327500,0.018400
000330000,0.017700
000332500,0.019200
000335000,0.019100
000337500,0.017600
000340000,0.019300
000342500,0.016600
000345000,0.016600
000347500,0.018000
000350000,0.018000
000352500,0.019600
000355000,0.019500
000357500,0.018700
000360000,0.019200
000362500,0.017000
000365000,0.018800
000367500,0.018000
000370000,0.015400
