map,opportunity_districts,proportional_opportunities,coalition_districts,proportional_coalitions,minority,alt_opportunity_districts,alt_coalition_districts,minority_alt
000002500,0.705200,5,7.601900,5,57,1.206100,8.166100,62
000005000,0.803500,5,6.634500,5,58,1.186600,8.287300,62
000007500,0.000000,5,7.436500,5,50,0.541100,8.989000,56
000010000,0.000000,5,7.604900,5,50,0.599700,8.984700,56
000012500,0.000000,5,7.476600,5,50,1.097600,8.375100,61
000015000,0.000000,5,8.184300,5,50,0.495100,9.606500,55
000017500,0.852000,5,6.753900,5,58,1.079100,8.367200,61
000020000,0.000000,5,6.607300,5,50,0.834300,7.860200,58
000022500,0.000000,5,6.475200,5,50,0.734400,9.167500,58
000025000,0.000000,5,7.781400,5,50,0.682600,8.680900,57
000027500,0.000000,5,8.332800,5,50,0.753200,9.299300,58
000030000,0.000000,5,7.300200,5,50,1.276400,8.289600,63
000032500,0.000000,5,7.808400,5,50,1.037700,8.633000,60
000035000,0.000000,5,6.789500,5,50,1.356800,8.161800,64
000037500,0.000000,5,6.546500,5,50,1.392200,8.002900,64
000040000,0.000000,5,7.402100,5,50,1.072200,8.145400,60
000042500,0.000000,5,8.166200,5,50,0.877900,8.818900,59
000045000,0.729100,5,6.844000,5,58,0.934700,8.373900,60
000047500,0.000000,5,6.536700,5,50,1.339600,7.885400,64
000050000,0.000000,5,6.705600,5,50,0.820000,8.831700,58
000052500,0.000000,5,5.723800,5,50,0.882800,8.186600,59
000055000,0.000000,5,6.635700,5,50,0.876400,8.016400,59
000057500,0.000000,5,8.207300,5,50,0.676400,9.218200,57
000060000,0.000000,5,7.186900,5,50,1.130800,8.407600,62
000062500,0.000000,5,7.525800,5,50,0.551900,9.488600,56
000065000,0.000000,5,5.925000,5,50,0.857200,8.161000,58
000067500,0.000000,5,6.857700,5,50,1.317600,8.018000,63
000070000,0.000000,5,6.685600,5,50,0.752400,8.539100,58
000072500,0.000000,5,7.741100,5,50,1.002100,8.319200,60
000075000,1.468100,5,6.608200,5,64,1.565800,7.549400,66
000077500,0.000000,5,8.431200,5,50,0.939400,8.553600,60
000080000,1.476900,5,5.613100,5,65,1.706900,7.678900,67
000082500,0.000000,5,6.616700,5,50,1.169100,7.840100,62
000085000,0.000000,5,7.521600,5,50,1.154300,8.059300,62
000087500,0.000000,5,7.443800,5,50,0.798400,8.627600,58
000090000,0.000000,5,7.356100,5,50,0.722600,8.760500,57
000092500,0.000000,5,8.043600,5,50,0.632700,9.341600,56
000095000,0.000000,5,7.573700,5,50,1.008500,8.181200,60
000097500,0.000000,5,7.124600,5,50,1.430000,8.082100,64
000100000,0.871400,5,6.717700,5,58,1.682700,7.809600,67
000102500,0.735400,5,7.365700,5,58,1.167700,8.187400,62
000105000,0.967600,5,6.629900,5,60,1.451500,8.186700,64
000107500,0.000000,5,6.854800,5,50,1.083300,8.057600,61
000110000,0.000000,5,7.474800,5,50,0.975400,8.820700,60
000112500,0.000000,5,8.601700,5,50,0.641200,9.100000,56
000115000,0.000000,5,8.269300,5,50,0.408800,9.047100,54
000117500,0.000000,5,7.426500,5,50,1.108500,8.264700,61
000120000,0.762400,5,6.734700,5,58,0.942500,8.130300,60
000122500,0.699000,5,9.124100,5,57,0.784600,9.610300,58
000125000,0.000000,5,7.492800,5,50,1.249000,8.002000,62
000127500,0.710900,5,7.654100,5,57,1.120600,8.577300,61
000130000,0.000000,5,7.322200,5,50,1.210400,8.270800,62
000132500,0.709400,5,7.436900,5,57,1.167700,8.974900,62
000135000,0.000000,5,5.878800,5,50,1.805400,7.326600,68
000137500,0.000000,5,6.667100,5,50,1.422500,7.882500,64
000140000,0.872300,5,7.520100,5,58,1.019600,8.887100,60
000142500,0.000000,5,7.755900,5,50,1.095200,8.265700,61
000145000,0.770600,5,6.588700,5,58,1.380700,7.896200,64
000147500,0.000000,5,5.818300,5,50,1.023000,8.094600,60
000150000,0.000000,5,6.709800,5,50,0.969100,8.439100,60
000152500,0.000000,5,7.773700,5,50,0.766400,8.528400,58
000155000,0.000000,5,7.579800,5,50,0.954800,8.333500,60
000157500,0.000000,5,8.108300,5,50,1.035800,8.707500,60
000160000,0.000000,5,8.140000,5,50,1.278900,8.860700,63
000162500,0.000000,5,6.728300,5,50,1.133300,8.735000,62
000165000,0.000000,5,7.840900,5,50,0.982600,8.416300,60
000167500,0.000000,5,6.596300,5,50,0.932700,8.208800,60
000170000,0.000000,5,8.382600,5,50,0.510500,9.324400,55
000172500,0.000000,5,7.272400,5,50,0.859100,8.648300,58
000175000,0.000000,5,8.048600,5,50,1.344700,8.546600,64
000177500,0.000000,5,9.202200,5,50,0.887700,9.310600,59
000180000,0.000000,5,7.504100,5,50,0.643700,8.942400,56
000182500,0.692300,5,6.758000,5,57,1.027900,8.569600,60
000185000,0.880000,5,5.433400,5,59,1.424400,8.139300,64
000187500,0.000000,5,5.660100,5,50,1.523100,7.839600,65
000190000,0.000000,5,8.351600,5,50,0.975600,9.012000,60
000192500,0.000000,5,8.531100,5,50,0.879900,9.116700,59
000195000,0.000000,5,7.759300,5,50,0.634900,8.676200,56
000197500,0.000000,5,6.794600,5,50,0.819700,8.199600,58
000200000,0.770100,5,8.549300,5,58,0.989300,8.914600,60
000202500,0.000000,5,6.894100,5,50,0.644000,8.526600,56
000205000,0.000000,5,7.933800,5,50,1.194700,8.803500,62
000207500,0.000000,5,7.507400,5,50,0.869300,8.594700,58
000210000,0.000000,5,8.474700,5,50,0.794500,9.186900,58
000212500,0.000000,5,8.603300,5,50,0.728600,8.931500,58
000215000,0.000000,5,8.398800,5,50,0.621400,8.574500,56
000217500,0.000000,5,9.041800,5,50,0.704700,9.639400,57
000220000,0.000000,5,6.663700,5,50,0.879900,8.315800,59
000222500,0.000000,5,7.651400,5,50,0.818700,8.828900,58
000225000,0.000000,5,7.664500,5,50,0.790800,8.520300,58
000227500,0.000000,5,7.601100,5,50,0.621800,8.864800,56
000230000,0.805800,5,7.631200,5,58,1.016300,8.713400,60
000232500,0.000000,5,7.807200,5,50,1.084500,8.753100,61
000235000,0.000000,5,6.884400,5,50,1.135500,8.237800,62
000237500,0.000000,5,5.885600,5,50,1.287900,8.052900,63
000240000,0.753900,5,6.720900,5,58,1.371800,7.649200,64
000242500,0.785800,5,7.766400,5,58,1.097800,8.749800,61
000245000,0.000000,5,7.750700,5,50,0.753400,8.530200,58
000247500,0.715600,5,8.090100,5,57,1.342400,8.828500,64
000250000,0.000000,5,6.860100,5,50,1.172600,7.671600,62
000252500,0.701900,5,5.887100,5,57,1.262700,8.115600,62
000255000,0.000000,5,7.622100,5,50,1.154300,8.361800,62
000257500,0.000000,5,7.497800,5,50,1.684400,8.233700,67
000260000,0.000000,5,7.594800,5,50,1.262800,8.559400,62
000262500,0.000000,5,7.695900,5,50,1.394300,8.388400,64
000265000,0.000000,5,8.570300,5,50,1.207600,8.627200,62
000267500,0.000000,5,7.364800,5,50,1.469100,8.144800,64
000270000,0.000000,5,6.646400,5,50,1.222800,8.110600,62
000272500,0.781900,5,8.273000,5,58,0.948500,8.714600,60
000275000,0.836300,5,5.854300,5,58,1.610600,7.482100,66
000277500,0.000000,5,8.595900,5,50,0.659300,8.704500,56
000280000,0.814400,5,6.870800,5,58,0.969000,8.383900,60
000282500,0.707600,5,8.243100,5,57,1.053400,8.596600,60
000285000,0.000000,5,8.010700,5,50,0.447100,9.491200,54
000287500,0.000000,5,7.605000,5,50,1.508100,8.161900,65
000290000,0.000000,5,8.485500,5,50,0.836400,8.587300,58
000292500,0.000000,5,8.476200,5,50,0.423900,8.807500,54
000295000,0.000000,5,7.965300,5,50,0.520000,9.004700,55
000297500,0.000000,5,7.586900,5,50,0.735700,8.048900,58
000300000,0.000000,5,7.419200,5,50,0.877700,8.664100,59
000302500,0.000000,5,7.244800,5,50,0.741400,8.615500,58
000305000,0.000000,5,8.713200,5,50,0.715700,8.880300,57
000307500,0.000000,5,6.412600,5,50,1.195000,7.976700,62
000310000,0.000000,5,7.493500,5,50,0.692800,8.403400,57
000312500,0.784800,5,7.589500,5,58,1.255700,8.148800,62
000315000,0.000000,5,7.674000,5,50,0.703700,8.759700,57
000317500,0.000000,5,7.524100,5,50,0.800500,8.270400,58
000320000,0.000000,5,7.630300,5,50,0.651100,8.338400,56
000322500,0.000000,5,7.175900,5,50,0.813700,8.502800,58
000325000,0.914900,5,6.450800,5,59,1.087600,7.758100,61
000327500,0.000000,5,7.453800,5,50,0.540800,8.927500,56
000330000,0.000000,5,6.596400,5,50,0.933100,8.210700,60
000332500,0.000000,5,7.532300,5,50,1.599400,8.241600,66
000335000,0.000000,5,7.631900,5,50,0.539400,8.413100,56
000337500,0.000000,5,7.305300,5,50,0.810900,8.540800,58
000340000,0.000000,5,6.790000,5,50,1.179900,7.586800,62
000342500,0.000000,5,7.516300,5,50,1.117300,8.421300,61
000345000,0.000000,5,7.318800,5,50,1.475800,8.266100,65
000347500,0.796600,5,7.281800,5,58,1.721400,7.889100,67
000350000,0.787500,5,8.410100,5,58,0.880100,8.901000,59
000352500,0.864700,5,7.603000,5,58,1.072400,9.036800,60
000355000,0.731700,5,6.626200,5,58,1.635700,8.262300,66
000357500,0.712900,5,6.800200,5,57,1.009700,8.926000,60
000360000,0.000000,5,8.291400,5,50,0.956500,8.773700,60
000362500,0.876700,5,6.910000,5,59,1.135900,8.102500,62
000365000,0.000000,5,8.181800,5,50,1.301900,8.395900,63
000367500,0.000000,5,7.672000,5,50,0.797700,8.425700,58
000370000,0.000000,5,8.313300,5,50,0.892600,8.542100,59
000372500,0.000000,5,7.746900,5,50,0.578300,8.584600,56
000375000,0.000000,5,7.550000,5,50,0.557800,8.434700,56
000377500,0.000000,5,7.354200,5,50,1.169100,8.164800,62
000380000,0.000000,5,7.298200,5,50,1.076200,8.238000,61
000382500,0.000000,5,6.554100,5,50,1.163700,8.056700,62
000385000,0.000000,5,8.138600,5,50,0.993600,9.022500,60
000387500,0.000000,5,8.536500,5,50,1.288300,8.603000,63
000390000,0.722300,5,7.489600,5,57,1.213600,8.438300,62
000392500,0.726500,5,8.064500,5,58,0.914600,9.510300,59
000395000,0.709000,5,7.573400,5,57,1.170400,8.558500,62
000397500,0.000000,5,7.698100,5,50,1.003300,8.606900,60
000400000,0.000000,5,8.030600,5,50,0.781900,9.176700,58
000402500,0.000000,5,6.769200,5,50,0.797600,8.528800,58
000405000,0.000000,5,8.249900,5,50,0.465000,9.101100,54
000407500,0.000000,5,6.556400,5,50,0.956000,8.358400,60
000410000,0.000000,5,7.596900,5,50,0.827800,8.300500,58
000412500,0.000000,5,6.760800,5,50,0.718800,8.630400,57
000415000,0.000000,5,7.155400,5,50,0.960300,8.912300,60
000417500,0.000000,5,7.668800,5,50,0.919400,8.513500,59
000420000,0.000000,5,7.599100,5,50,0.787000,8.536100,58
000422500,0.910700,5,7.991600,5,59,1.471600,8.408900,64
000425000,0.000000,5,6.467300,5,50,1.063900,7.882100,60
000427500,0.824600,5,7.400700,5,58,1.308700,8.209300,63
000430000,0.000000,5,8.184900,5,50,0.927600,8.835500,60
000432500,0.000000,5,8.030100,5,50,1.096300,8.389800,61
000435000,0.000000,5,7.437100,5,50,0.805000,8.177900,58
000437500,0.000000,5,8.539800,5,50,0.461600,8.659300,54
000440000,0.000000,5,7.544400,5,50,0.671000,9.039300,56
000442500,0.000000,5,7.579300,5,50,0.778800,8.573600,58
