name,pr_deviation,estimated_seats,fptp_seats,disproportionality,efficiency_gap,efficiency_gap_FPTP,seats_bias,votes_bias,geometric_seats_bias,declination,mean_median_statewide,mean_median_average_district,turnout_bias,lopsided_outcomes,competitive_district_count,competitive_districts,average_margin,responsiveness,responsive_districts,overall_responsiveness,estimated_vote_pct,efficiency_gap_wasted_votes,proportionality,competitiveness,opportunity_districts,proportional_opportunities,coalition_districts,proportional_coalitions,minority,mmd_black,mmd_hispanic,mmd_coalition,reock,polsby_popper,cut_score,population_compactness,compactness,population_deviation,county_splitting,district_splitting,counties_split,county_splits,splitting
LA20C_I000K01N06_vtd_assignments.csv,0.262700,0.424100,0,0.320100,0.210900,0.281600,-0.030700,-0.005300,-0.012600,,-0.012400,-0.013300,0.000900,,1,1.168900,0.110100,2.060800,1.168900,3.930600,0.390800,0.281600,23,26,2.097900,2,4.897600,3,100,0,0,0,0.391200,0.225500,398,1557029.480400,44,0.004100,1.171500,2.209300,21,24,27
LA20C_I001K01N06_vtd_assignments.csv,0.262800,0.423500,0,0.320200,0.211000,0.281600,-0.029800,-0.005100,-0.012800,,-0.012300,-0.013200,0.000900,,1,1.166600,0.110100,2.055700,1.166600,3.931500,0.390800,0.281600,23,26,2.091700,2,4.901000,3,100,0,0,0,0.395100,0.231400,403,1557036.076600,46,0.002200,1.172800,2.212300,21,25,26
LA20C_I002K01N06_vtd_assignments.csv,0.187300,0.876100,1,0.244800,0.135500,0.114900,0.028700,0.005000,-0.049300,,0.007900,0.007200,0.000700,,1,0.707700,0.122900,1.262400,0.707700,3.240800,0.390800,0.119600,61,16,2.004800,2,4.764000,3,100,0,0,0,0.458900,0.269200,384,1557606.357200,63,0.002300,1.201900,2.361000,23,27,22
LA20C_I003K01N06_vtd_assignments.csv,0.259700,0.442100,0,0.317100,0.207900,0.281600,0.027000,0.004200,-0.030200,,0.011800,0.012200,-0.000500,,1,1.099100,0.108800,1.836200,1.099100,3.903100,0.390800,0.281600,25,24,1.424700,2,5.401700,3,86,0,0,0,0.423300,0.229200,379,1838964.319800,50,0.003500,1.141500,2.113300,22,24,31
LA20C_I004K01N06_vtd_assignments.csv,0.288800,0.267100,0,0.346300,0.237000,0.281600,-0.038300,-0.006200,-0.005200,,-0.006700,-0.006600,-0.000100,,2,0.936900,0.109100,1.851800,0.936900,4.170100,0.390800,0.281600,10,21,1.560800,2,5.121600,3,89,0,0,0,0.370200,0.210000,392,1436157.599900,38,0.001700,1.151900,2.126700,22,24,30
LA20C_I005K01N06_vtd_assignments.csv,0.250700,0.495900,0,0.308100,0.198900,0.281600,-0.011600,-0.001800,-0.024200,,-0.002400,-0.002300,-0.000100,,1,1.099100,0.109100,1.796000,1.099100,3.821000,0.390800,0.281600,29,24,1.764900,2,5.106000,3,94,0,0,0,0.381000,0.216100,399,1433512.978900,40,0.000800,1.142300,2.162400,24,25,31
LA20C_I006K01N06_vtd_assignments.csv,0.288800,0.267100,0,0.346300,0.237000,0.281600,-0.038400,-0.006200,-0.005200,,-0.006700,-0.006600,-0.000100,,2,0.936900,0.109100,1.851900,0.936900,4.170100,0.390800,0.281600,10,21,1.561300,2,5.121000,3,89,0,0,0,0.369500,0.214400,390,1436205.548800,38,0.001800,1.154200,2.173000,23,25,30
LA20C_I007K01N06_vtd_assignments.csv,0.262800,0.423500,0,0.320200,0.211000,0.281600,-0.029800,-0.005100,-0.012800,,-0.012300,-0.013200,0.000900,,1,1.166600,0.110100,2.055700,1.166600,3.931500,0.390800,0.281600,23,26,2.091700,2,4.901000,3,100,0,0,0,0.395100,0.231400,403,1557036.076600,46,0.002200,1.172800,2.212300,21,25,26
LA20C_I008K01N06_vtd_assignments.csv,0.275000,0.350300,0,0.332400,0.223200,0.281600,-0.029300,-0.004700,-0.012100,,-0.006600,-0.006600,-0.000100,,1,1.037300,0.109200,1.864800,1.037300,4.043300,0.390800,0.281600,17,23,1.708200,2,5.115500,3,92,0,0,0,0.379000,0.214100,385,1431414.404000,40,0.001700,1.142400,2.113500,23,23,31
LA20C_I009K01N06_vtd_assignments.csv,0.259400,0.443500,0,0.316900,0.207600,0.281600,0.022500,0.003500,-0.029900,,0.006200,0.006800,-0.000700,,1,1.104700,0.108600,1.851300,1.104700,3.900900,0.390800,0.281600,25,25,1.490700,2,5.342400,3,88,0,0,0,0.414400,0.238400,381,1842506.757800,50,0.002400,1.151100,2.154700,22,24,30
