map,reock,polsby_popper,cut_score,population_compactness,compactness
000222500,0.365100,0.191900,758,2069669.409300,34
000225000,0.376600,0.171700,756,2351360.566700,34
000227500,0.374500,0.205500,744,2006712.257200,38
000230000,0.418300,0.200000,681,1859887.800700,46
000232500,0.405200,0.185000,748,1828856.921600,42
000235000,0.343000,0.178400,710,2017559.957400,28
000237500,0.400300,0.214700,675,2181357.665400,44
000240000,0.391500,0.200200,685,1962907.762400,41
000242500,0.367500,0.173900,844,2097160.382100,32
000245000,0.366300,0.199600,689,1780705.543000,36
000247500,0.366400,0.175700,755,2514122.955000,33
000250000,0.407300,0.208500,680,2119053.288400,45
000252500,0.364700,0.168500,793,2154365.657000,32
000255000,0.370300,0.197400,689,1811862.975900,36
000257500,0.358800,0.171200,751,1965186.839600,31
000260000,0.409500,0.208300,697,2093884.656300,46
000262500,0.352800,0.194500,753,2160434.801000,32
000265000,0.436100,0.204300,696,2072670.430000,50
000267500,0.384300,0.175400,765,2487908.069100,36
000270000,0.357300,0.197200,731,2504465.664300,34
000272500,0.425900,0.213200,694,2018097.187700,49
000275000,0.433100,0.212200,686,1924251.157900,50
000277500,0.400600,0.185200,783,1969489.973400,40
000280000,0.393100,0.197700,674,2054022.156100,40
000282500,0.391400,0.183800,685,2159716.544600,39
000285000,0.373900,0.192000,722,2131804.259300,36
000287500,0.375300,0.169500,714,1831377.331200,34
000290000,0.359300,0.166600,750,1897079.675600,30
000292500,0.412100,0.195500,738,1962309.135600,44
000295000,0.414600,0.203800,687,1859665.037700,46
000297500,0.392300,0.174100,714,1767334.088600,38
000300000,0.415900,0.209700,714,2011358.007200,46
000302500,0.383600,0.180500,746,1779023.354600,36
000305000,0.377400,0.174400,741,2246510.330300,35
000307500,0.400900,0.187800,759,1855960.375500,41
000310000,0.422300,0.185800,708,1872655.667800,45
000312500,0.339000,0.181200,717,2187772.009300,28
000315000,0.388200,0.183900,747,2207441.080800,38
000317500,0.394000,0.177100,751,2137754.061500,38
000320000,0.424200,0.198200,665,1831423.166900,48
000322500,0.426800,0.197500,730,1798782.324600,48
000325000,0.396800,0.195200,735,2017698.044500,42
000327500,0.419300,0.213200,713,2111076.742800,48
000330000,0.385500,0.204100,735,2088364.685100,40
000332500,0.343900,0.181800,770,2327329.562400,29
000335000,0.376600,0.162600,823,2010421.383900,34
000337500,0.401900,0.181800,726,1724050.927600,40
000340000,0.411700,0.193600,793,1977780.460700,44
000342500,0.401300,0.193100,702,2030820.143200,42
000345000,0.369800,0.180400,721,2197664.727000,34
000347500,0.369100,0.195300,691,1926545.118300,36
000350000,0.405800,0.210100,649,2118431.010200,45
000352500,0.381700,0.188300,766,1971390.622200,38
000355000,0.384800,0.200700,741,1889622.390100,40
000357500,0.392600,0.206400,687,2034228.620200,42
000360000,0.441000,0.206100,717,1734801.657000,52
000362500,0.411800,0.198500,700,2126046.363100,45
000365000,0.398100,0.193400,754,1868727.496400,41
000367500,0.372000,0.177100,712,1807553.665500,34
000370000,0.366100,0.178100,788,2187030.126100,33
000372500,0.424600,0.209100,696,1775081.707700,48
000375000,0.386800,0.208900,686,2066394.071500,41
000377500,0.407600,0.204500,693,2185649.589200,44
000380000,0.385400,0.189800,726,2126791.256200,38
000382500,0.378800,0.186500,779,2113858.001000,37
000385000,0.361700,0.165800,806,2331233.043400,30
000387500,0.362100,0.171400,777,1993519.932100,32
000390000,0.425100,0.220500,652,1858917.548700,50
000392500,0.394400,0.198400,733,1944511.616700,42
000395000,0.384700,0.172800,790,1972264.275600,36
000397500,0.401100,0.191800,762,2203237.913000,42
000400000,0.381300,0.195700,731,2319080.129900,38
000402500,0.387300,0.189300,690,1795853.407600,38
000405000,0.381400,0.210800,673,2363759.141400,40
000407500,0.396000,0.189400,717,1686637.874800,40
000410000,0.406000,0.195300,746,1782353.390800,43
000412500,0.430200,0.208400,691,2122641.678900,50
000415000,0.400400,0.194200,739,2004406.424900,42
000417500,0.394800,0.155600,862,2131747.955500,36
000420000,0.388400,0.174100,754,1804173.908000,37
000422500,0.403500,0.180900,775,2028316.206000,40
000425000,0.387300,0.191100,729,1986682.420800,39
000427500,0.415200,0.211400,662,1942620.217200,47
000430000,0.365900,0.200200,703,2442731.299300,36
000432500,0.409300,0.203500,678,1774759.674800,45
000435000,0.404900,0.212300,638,1823009.906300,45
000437500,0.404300,0.180300,788,2311978.401700,41
000440000,0.448900,0.261000,631,1928328.377600,60
000442500,0.472300,0.234200,667,1763841.416500,62
000445000,0.394000,0.198000,690,1892913.679900,41
000447500,0.380400,0.174500,805,2230699.340400,36
000450000,0.376100,0.182400,742,2065310.582200,36
000452500,0.335200,0.174000,780,2282546.210200,26
000455000,0.342800,0.155900,794,2265374.109300,26
000457500,0.411300,0.198600,704,1899946.324700,45
000460000,0.407600,0.183700,765,2228399.750100,42
000462500,0.406000,0.205400,696,1943659.005200,44
000465000,0.365600,0.193400,710,1938575.328100,34
000467500,0.404900,0.201600,712,1954039.135200,44
000470000,0.377100,0.180500,730,2042049.757900,36
000472500,0.377200,0.181300,765,2107379.064600,36
000475000,0.394000,0.191100,750,2121695.737700,40
000477500,0.396700,0.191000,662,2108811.849600,41
000480000,0.393900,0.193400,707,2060181.517500,40
000482500,0.370200,0.176100,747,1920499.751100,34
000485000,0.441200,0.197500,683,1919256.770400,50
000487500,0.387100,0.186900,772,2317528.204000,38
000490000,0.380800,0.190300,724,2096214.427800,38
000492500,0.368500,0.157600,808,2178392.926500,30
000495000,0.356000,0.176700,742,2183526.192800,30
000497500,0.383000,0.165400,749,1956463.942000,34
000500000,0.351700,0.190500,774,2044397.847200,32
000502500,0.397400,0.206400,693,2183997.227200,43
000505000,0.363200,0.188300,723,2302033.960800,34
000507500,0.407700,0.186300,690,2049657.192400,42
000510000,0.391000,0.195400,704,1962129.671300,40
000512500,0.367000,0.172500,757,2199983.019400,32
000515000,0.355800,0.191300,758,2119606.787500,32
000517500,0.393200,0.208200,709,1962776.306800,42
000520000,0.346600,0.184400,729,2059031.518000,30
000522500,0.363500,0.184400,750,2008922.342700,33
000525000,0.392300,0.196500,748,2075984.008500,40
000527500,0.388200,0.211700,677,2202174.363300,42
000530000,0.443900,0.195400,718,1818837.720600,51
000532500,0.344300,0.173200,753,2185031.532000,28
000535000,0.409200,0.189300,755,2196861.937300,43
000537500,0.391600,0.187300,725,1859625.304000,40
000540000,0.387300,0.165700,789,1907101.244700,36
000542500,0.411700,0.192100,716,1958418.413000,44
000545000,0.358600,0.168900,767,1993018.260000,30
000547500,0.376800,0.187000,760,1857994.392600,36
000550000,0.431900,0.189600,706,1751583.350400,48
000552500,0.412700,0.189800,666,1988646.369700,44
000555000,0.356100,0.179900,752,2262359.073400,31
000557500,0.392700,0.172700,721,2316934.452900,38
000560000,0.447900,0.198400,681,1817635.481200,52
000562500,0.403000,0.183800,790,2235614.151900,41
000565000,0.361500,0.189800,819,2179028.503400,34
000567500,0.402300,0.206800,737,2015681.278900,44
000570000,0.388300,0.202100,688,2028671.796600,40
000572500,0.419600,0.187700,709,2023842.518000,45
000575000,0.383100,0.198900,700,2341040.863000,39
000577500,0.376700,0.207500,665,2304321.027700,39
000580000,0.449100,0.218800,643,1963854.939100,55
000582500,0.373100,0.175800,808,2250627.957400,34
000585000,0.422200,0.213200,685,1826912.521800,48
000587500,0.403500,0.200000,702,2121251.227800,43
000590000,0.361000,0.174700,717,1953706.693700,32
000592500,0.389100,0.184700,801,2518519.288500,38
000595000,0.431100,0.202500,712,1929091.600300,49
000597500,0.417400,0.214200,683,1850179.772600,48
000600000,0.362400,0.171700,785,2235076.529900,32
000602500,0.360400,0.185700,750,2175010.032400,32
000605000,0.416200,0.208500,654,1931563.238300,46
000607500,0.396300,0.212000,687,2066227.744800,44
000610000,0.398400,0.191500,708,1959322.626700,41
000612500,0.438300,0.220400,681,2063409.003000,52
000615000,0.413800,0.191300,786,2113350.528600,44
000617500,0.382300,0.197600,739,2183965.397700,38
000620000,0.403100,0.214100,684,1950221.679900,45
000622500,0.381300,0.188900,766,2018365.381100,38
000625000,0.371000,0.179900,714,1779605.098600,34
000627500,0.376000,0.182000,771,2161352.761800,36
000630000,0.455200,0.217800,653,1816665.499100,56
000632500,0.399900,0.189700,678,2198389.153800,41
000635000,0.369800,0.204400,677,2097848.279200,37
000637500,0.419000,0.212700,596,1642681.991200,48
000640000,0.419900,0.201800,657,2123378.371300,46
000642500,0.368200,0.184700,753,2416196.302100,34
000645000,0.394700,0.189500,756,2152719.932600,40
000647500,0.430900,0.204100,706,1908241.464400,49
000650000,0.386800,0.154300,785,2427458.882900,34
000652500,0.402500,0.195700,657,1916220.180800,42
000655000,0.418600,0.206300,681,1849914.503700,47
000657500,0.385000,0.187000,725,1827055.430900,38
000660000,0.392800,0.187300,718,2030470.871100,40
000662500,0.397200,0.178800,816,2087831.295700,40
000665000,0.398100,0.202700,717,1789892.809300,42
000667500,0.391400,0.198200,678,2112840.456300,41
000670000,0.374100,0.180200,772,2362666.951200,35
000672500,0.367200,0.179400,770,2094249.239700,34
000675000,0.449500,0.195600,671,1927034.725800,52
000677500,0.396100,0.177600,724,2377623.133700,38
000680000,0.415700,0.217200,685,1824281.071200,48
000682500,0.367700,0.175600,766,2557786.749600,33
000685000,0.385700,0.203000,693,2038665.561600,40
000687500,0.358800,0.169400,747,2102260.799900,30
000690000,0.384700,0.184500,770,2005721.216500,38
000692500,0.419200,0.188700,769,2042260.237100,45
000695000,0.434300,0.230000,608,1875435.091600,54
000697500,0.350100,0.177000,760,2183111.280200,30
000700000,0.399800,0.189900,734,2009976.188800,41
000702500,0.361100,0.166700,775,1892438.376200,30
000705000,0.362700,0.181900,774,2515806.125800,32
000707500,0.397900,0.201100,734,1960785.524400,42
000710000,0.417800,0.206100,687,2093064.536500,47
000712500,0.387500,0.176600,772,1970150.064900,37
000715000,0.392400,0.189000,796,2053116.767100,40
000717500,0.398400,0.181400,767,2248918.213100,40
000720000,0.391700,0.208900,664,1833532.210600,42
000722500,0.365800,0.177800,780,2459501.399300,32
000725000,0.355200,0.178700,746,2250124.021700,31
000727500,0.344500,0.172400,806,2336207.098800,28
000730000,0.415800,0.191300,687,1990112.764100,44
000732500,0.421300,0.193300,699,1786924.422600,46
000735000,0.408500,0.179300,711,1884660.440900,42
000737500,0.412100,0.195100,704,1833672.657600,44
000740000,0.381100,0.219400,657,1855557.777300,41
000742500,0.355300,0.173700,756,2218488.630100,30
000745000,0.389100,0.193700,704,2016330.847800,40
000747500,0.397900,0.189600,702,2009877.231900,40
000750000,0.382700,0.211900,650,1748206.042400,40
000752500,0.386000,0.182300,732,2054312.179200,38
000755000,0.422900,0.196200,706,1927439.418400,46
000757500,0.410800,0.190600,730,2087847.905900,44
000760000,0.413600,0.216000,674,1804573.248400,47
000762500,0.388300,0.190000,675,1922704.330500,38
000765000,0.418900,0.188400,711,1811305.592600,45
000767500,0.365400,0.164700,758,2029357.774000,31
000770000,0.436200,0.189200,727,1795547.459000,48
000772500,0.408000,0.191200,709,1936121.139800,43
000775000,0.372500,0.185900,698,2363283.325400,35
000777500,0.432500,0.201100,690,1626489.892000,49
000780000,0.399600,0.194800,762,2046528.061900,42
000782500,0.376400,0.179100,732,2404444.750600,36
000785000,0.388500,0.197000,756,2028052.269200,40
000787500,0.391700,0.193100,734,2311735.281000,40
000790000,0.446600,0.219300,668,1906922.412500,54
000792500,0.362000,0.171500,828,2250467.087300,32
000795000,0.387000,0.188600,767,1806592.989600,38
000797500,0.414400,0.197300,672,1945120.112400,45
000800000,0.430000,0.211700,663,1734556.728700,50
000802500,0.375800,0.185500,753,2075966.064900,36
000805000,0.421200,0.195700,728,2127323.236200,46
000807500,0.414100,0.184700,754,2094709.787100,44
000810000,0.360900,0.198800,777,2247259.848600,34
000812500,0.423400,0.194600,690,1850752.093300,46
000815000,0.441100,0.216600,696,1996830.923200,52
000817500,0.372500,0.189100,716,2150852.446400,36
000820000,0.396000,0.211400,714,1996963.484800,43
000822500,0.388600,0.189100,755,2342212.801000,38
000825000,0.401300,0.201000,631,1945316.679000,43
000827500,0.414900,0.209800,637,1980485.074800,46
000830000,0.373100,0.180800,785,2309774.926100,34
000832500,0.368000,0.170200,749,2095060.664900,32
000835000,0.396000,0.193700,702,2061976.776300,40
000837500,0.410900,0.203000,650,1874155.406600,45
000840000,0.416500,0.204000,683,1834498.067800,46
000842500,0.411200,0.203300,717,2162292.914100,45
000845000,0.403800,0.217000,689,1853362.359400,46
000847500,0.436400,0.222400,661,1977552.384800,53
000850000,0.384100,0.182600,725,2053668.463300,38
000852500,0.373900,0.195600,719,2003825.358200,37
000855000,0.407600,0.196000,720,1852781.469000,44
000857500,0.403700,0.188000,682,1876533.818000,42
000860000,0.379200,0.177900,736,2121574.632900,36
000862500,0.413800,0.210300,683,1981548.339400,47
000865000,0.399800,0.190500,703,1965068.390000,42
000867500,0.409500,0.193800,711,1904593.771700,44
000870000,0.438700,0.205300,671,1769327.458500,50
000872500,0.384500,0.205200,725,2255522.103400,40
000875000,0.387600,0.177900,739,1821117.661500,37
000877500,0.409600,0.195200,689,2022723.253300,44
000880000,0.369500,0.174100,753,2077705.959000,34
000882500,0.388700,0.192600,759,2400993.113100,39
000885000,0.428200,0.201600,696,1963435.012900,48
000887500,0.387600,0.189500,720,2197025.694000,38
000890000,0.399700,0.204200,686,1730833.964400,43
000892500,0.400800,0.204200,668,1995868.908200,43
000895000,0.372200,0.179700,725,2155738.904900,34
000897500,0.348300,0.161100,784,2618574.922300,27
000900000,0.396700,0.175400,776,2006740.286700,39
000902500,0.415100,0.181000,725,2034527.555800,43
000905000,0.418500,0.197300,688,1801952.984100,46
000907500,0.402100,0.203100,697,1807300.459900,44
000910000,0.394300,0.193900,721,2058323.148300,40
000912500,0.381800,0.188400,781,2233939.589600,38
000915000,0.406800,0.195300,700,1766719.770700,44
000917500,0.395800,0.170300,756,1860423.046000,38
000920000,0.378000,0.189100,713,2016719.296400,36
000922500,0.400800,0.172400,733,2081705.349900,39
000925000,0.409100,0.209200,671,1830554.846600,46
000927500,0.418800,0.204800,703,2064485.194800,47
000930000,0.392800,0.216700,679,1839130.967400,43
000932500,0.346200,0.181700,755,2489036.324100,29
000935000,0.407900,0.193700,670,1999866.842900,43
000937500,0.393300,0.192500,758,2088943.944000,40
000940000,0.391800,0.214800,724,2116697.071700,43
000942500,0.395000,0.206900,642,1954648.072600,42
000945000,0.429800,0.202200,680,1756136.883800,49
000947500,0.433400,0.211700,686,1842351.803300,50
000950000,0.375900,0.187700,734,2196329.520100,36
000952500,0.383200,0.191500,709,1921170.130900,38
000955000,0.421000,0.187300,819,2073746.380400,45
000957500,0.347400,0.187100,748,2276930.241300,30
000960000,0.402300,0.172700,745,1907952.070800,40
000962500,0.423200,0.197000,699,1766457.303600,46
000965000,0.379700,0.188300,737,2096205.300000,37
000967500,0.413600,0.192400,745,1894333.165900,44
000970000,0.374200,0.179300,769,2240248.059200,35
000972500,0.389300,0.190600,701,2217025.587700,40
000975000,0.398700,0.173500,806,2313151.849200,38
000977500,0.384100,0.174700,765,2307185.736600,36
000980000,0.415200,0.206300,686,1931978.123000,46
000982500,0.376800,0.198700,706,2039911.491200,38
000985000,0.375700,0.194400,708,1939288.347200,37
000987500,0.395200,0.170400,829,2162180.050600,38
000990000,0.396100,0.212300,710,2151154.309500,43
000992500,0.378900,0.186400,782,2066004.602800,37
000995000,0.432000,0.220300,688,1766610.837100,52
000997500,0.375200,0.186100,754,2225864.894100,36
001000000,0.380900,0.191200,693,2043088.243300,38
001002500,0.387000,0.179600,731,1946650.298900,38
001005000,0.429900,0.197700,711,2106589.969800,48
001007500,0.403100,0.189700,788,1973773.344400,42
001010000,0.405800,0.169700,801,1820237.952400,40
001012500,0.350600,0.174600,741,2343690.689400,30
001015000,0.392400,0.172500,788,2198645.451800,38
001017500,0.384300,0.177800,779,2163244.274400,36
001020000,0.388300,0.182100,755,2089990.646400,38
001022500,0.378500,0.185600,753,2166531.722900,36
001025000,0.370200,0.197700,750,2348696.510900,36
001027500,0.440000,0.215700,678,1730541.509400,52
001030000,0.369600,0.199700,696,2360979.733800,36
001032500,0.397800,0.211700,685,1933452.108500,44
001035000,0.391000,0.204700,727,2136212.475300,41
001037500,0.420200,0.208600,711,2100051.900200,48
001040000,0.442000,0.199400,714,1938549.063700,51
001042500,0.398300,0.189900,712,2094800.490800,40
001045000,0.407700,0.190800,672,1812968.866600,43
001047500,0.413300,0.193200,749,2227543.112400,44
001050000,0.396900,0.190300,721,2149772.832900,41
001052500,0.413800,0.202400,691,1736036.650000,46
001055000,0.422300,0.203300,704,2032460.524900,48
001057500,0.333900,0.197700,681,2280039.392100,29
001060000,0.377900,0.164500,773,2032742.592400,34
001062500,0.373000,0.165400,824,2183978.937600,32
001065000,0.401900,0.176600,733,1930134.965100,40
001067500,0.390100,0.181300,739,1935716.397300,38
001070000,0.372300,0.170700,781,2247397.923800,34
001072500,0.358100,0.185700,646,2205409.961100,32
001075000,0.404300,0.227900,684,1954034.575200,47
001077500,0.447400,0.224200,639,1949988.661800,55
001080000,0.381400,0.193400,709,2220906.119900,38
001082500,0.432400,0.216200,705,2417331.619900,51
001085000,0.439500,0.218500,682,2063367.796300,53
001087500,0.374100,0.186300,737,2057638.585400,36
001090000,0.398800,0.210700,693,2037505.015300,44
001092500,0.402100,0.189000,756,2026258.048000,42
001095000,0.377500,0.175700,726,2229548.383600,35
001097500,0.379600,0.182800,713,2004158.363700,36
001100000,0.438900,0.219300,703,1909242.523200,53
001102500,0.395300,0.215600,665,2101052.949300,44
001105000,0.391800,0.207800,717,2158059.028400,42
001107500,0.420300,0.237100,691,1951258.062800,51
001110000,0.392000,0.186100,707,2223427.463000,40
001112500,0.418300,0.201200,691,1738139.546200,46
001115000,0.430100,0.208900,671,2163213.792900,50
001117500,0.351700,0.169000,780,2219161.000600,29
001120000,0.394200,0.190700,680,2069395.053700,40
001122500,0.420400,0.214700,653,1790293.134800,48
001125000,0.385300,0.192300,763,2299415.397700,38
001127500,0.365300,0.176800,759,1783600.083700,32
001130000,0.381300,0.188500,684,2017393.918300,38
001132500,0.418700,0.215700,661,1767575.485000,48
001135000,0.346000,0.173100,779,2285947.203000,28
001137500,0.374200,0.204400,713,1998272.906300,38
001140000,0.377100,0.185400,715,2398107.969800,36
001142500,0.400300,0.209100,658,1833902.025600,44
001145000,0.379600,0.168400,787,2065251.375100,34
001147500,0.344600,0.189800,705,2238957.310900,30
001150000,0.400100,0.216800,647,1850889.725700,44
001152500,0.398000,0.197700,718,1864668.833100,42
001155000,0.414200,0.218600,662,1922672.387600,48
001157500,0.411200,0.172300,763,2072290.739300,41
001160000,0.397100,0.203900,655,1971045.132000,42
001162500,0.402400,0.171500,817,2355891.851600,40
001165000,0.411100,0.217200,731,2053227.417800,46
001167500,0.367800,0.183200,767,2217657.244800,34
001170000,0.411100,0.195600,700,1978604.896700,44
001172500,0.395300,0.181400,707,2225574.375600,39
001175000,0.393100,0.207600,734,2087329.709400,42
001177500,0.379400,0.194900,731,2026713.973100,38
001180000,0.360400,0.164900,774,2223423.625700,30
001182500,0.359300,0.186900,805,2537233.724100,33
001185000,0.381900,0.201400,691,1966359.583900,39
001187500,0.382000,0.187200,691,1981786.503600,38
001190000,0.400300,0.183300,706,2001113.702000,40
001192500,0.383500,0.181000,758,1950787.322300,36
001195000,0.407000,0.195600,710,1914848.408200,44
001197500,0.406400,0.195400,744,1826464.663600,44
001200000,0.365200,0.172900,758,2067661.115300,32
001202500,0.413300,0.188500,711,1985493.009200,44
001205000,0.375700,0.191100,724,2035343.223000,36
001207500,0.365900,0.155300,788,2388302.287800,30
001210000,0.407200,0.194000,694,1816224.371700,44
001212500,0.411800,0.218100,674,1741404.799700,48
001215000,0.424600,0.215900,672,1883550.233100,50
