map,county_splitting,district_splitting,counties_split,county_splits,splitting
001595000,1.342800,2.291000,45,63,3
001597500,1.373900,2.288700,43,58,0
001600000,1.350100,2.353100,50,67,2
001602500,1.354900,2.304300,46,65,2
001605000,1.342500,2.278700,46,60,4
001607500,1.331400,2.317700,48,62,5
001610000,1.366800,2.338000,48,63,0
001612500,1.371900,2.441400,53,68,0
001615000,1.346900,2.269200,43,58,2
001617500,1.327300,2.261900,46,63,6
001620000,1.362700,2.387400,52,65,0
001622500,1.346100,2.308900,49,63,2
001625000,1.361800,2.349400,47,60,0
001627500,1.318000,2.293200,48,59,7
001630000,1.317100,2.327400,48,63,7
001632500,1.347500,2.395800,53,66,2
001635000,1.359100,2.341200,47,61,1
001637500,1.349200,2.388300,52,67,2
001640000,1.350600,2.306500,45,61,2
001642500,1.357100,2.382000,49,63,1
001645000,1.318200,2.149400,39,50,7
001647500,1.383900,2.422200,49,68,0
001650000,1.368700,2.403200,48,65,0
001652500,1.325600,2.272600,46,59,6
001655000,1.343100,2.321400,45,62,3
001657500,1.370600,2.371200,47,63,0
001660000,1.337200,2.353200,50,65,4
001662500,1.354200,2.245500,41,55,2
001665000,1.318800,2.221800,47,57,7
001667500,1.353400,2.377700,49,63,2
001670000,1.333500,2.383700,52,68,4
001672500,1.339600,2.404100,51,71,4
001675000,1.376700,2.317900,43,59,0
001677500,1.374000,2.389700,49,66,0
001680000,1.344600,2.269700,46,58,3
001682500,1.359500,2.387500,53,61,0
001685000,1.428900,2.407300,47,65,0
001687500,1.348400,2.313300,48,65,2
001690000,1.359900,2.326900,49,63,0
001692500,1.308600,2.254700,47,57,8
001695000,1.368800,2.312900,44,60,0
001697500,1.347600,2.304600,47,62,2
001700000,1.351100,2.336100,48,62,2
001702500,1.336400,2.317000,48,62,4
001705000,1.390000,2.381100,48,68,0
001707500,1.375800,2.304100,44,60,0
001710000,1.331700,2.324000,48,62,5
001712500,1.381500,2.426400,51,65,0
001715000,1.341500,2.357200,49,65,4
001717500,1.361200,2.318900,46,63,0
001720000,1.359800,2.335400,48,62,0
001722500,1.343400,2.388600,52,66,3
001725000,1.365000,2.328800,46,65,0
001727500,1.354500,2.316300,46,60,2
001730000,1.342600,2.187100,42,55,3
001732500,1.363800,2.399600,50,70,0
001735000,1.333300,2.310400,48,68,4
001737500,1.332200,2.182500,41,57,5
001740000,1.364000,2.316400,47,67,0
001742500,1.390400,2.386900,48,67,0
001745000,1.357200,2.353900,48,63,1
001747500,1.359000,2.293200,46,61,1
001750000,1.367500,2.410100,50,66,0
001752500,1.352900,2.326800,49,64,2
001755000,1.378900,2.338300,48,68,0
001757500,1.356000,2.354600,48,63,2
001760000,1.342100,2.287200,46,61,4
001762500,1.363100,2.352700,46,65,0
001765000,1.373100,2.372500,49,62,0
001767500,1.363900,2.382000,49,64,0
001770000,1.349500,2.252500,44,62,2
001772500,1.368300,2.356800,48,64,0
001775000,1.338300,2.349600,50,66,4
001777500,1.363700,2.357500,48,62,0
001780000,1.362000,2.340800,46,64,0
001782500,1.360300,2.340100,46,66,0
001785000,1.350800,2.307800,46,64,2
001787500,1.376200,2.325600,45,60,0
001790000,1.328500,2.323200,47,60,6
001792500,1.391200,2.379500,46,61,0
001795000,1.318600,2.274800,47,59,7
001797500,1.358400,2.322600,48,62,1
001800000,1.383600,2.359600,48,70,0
001802500,1.334300,2.318300,50,63,4
001805000,1.362800,2.262500,43,60,0
001807500,1.355300,2.332900,45,60,2
001810000,1.370700,2.365500,46,63,0
001812500,1.372900,2.378100,48,62,0
001815000,1.349600,2.298400,45,60,2
001817500,1.344400,2.268600,45,60,3
001820000,1.331500,2.302600,50,61,5
001822500,1.328300,2.308700,47,58,6
001825000,1.357500,2.357500,48,67,1
001827500,1.364200,2.229300,41,58,0
001830000,1.322400,2.364600,52,66,6
001832500,1.335400,2.299900,45,64,4
001835000,1.362300,2.343700,48,65,0
001837500,1.394200,2.364500,45,59,0
001840000,1.338400,2.272600,45,60,4
001842500,1.327700,2.276600,45,58,6
001845000,1.359000,2.284800,44,58,1
001847500,1.323500,2.353700,48,65,6
001850000,1.364100,2.325000,46,63,0
001852500,1.371100,2.289400,42,60,0
001855000,1.377900,2.325700,45,60,0
001857500,1.355400,2.256200,42,59,2
001860000,1.366200,2.376500,46,61,0
001862500,1.347200,2.392600,51,68,2
001865000,1.347900,2.175200,40,55,2
001867500,1.367700,2.369100,49,63,0
001870000,1.366200,2.368500,46,60,0
001872500,1.339800,2.255600,44,61,4
001875000,1.369700,2.400000,52,64,0
001877500,1.369700,2.443200,50,63,0
001880000,1.335900,2.285700,45,57,4
001882500,1.330500,2.307000,47,59,5
001885000,1.350100,2.343200,47,65,2
001887500,1.357200,2.428900,54,65,1
001890000,1.354900,2.298900,46,63,2
001892500,1.345800,2.263100,44,57,3
001895000,1.335400,2.266900,47,60,4
001897500,1.361100,2.366500,50,64,0
001900000,1.368300,2.329900,45,59,0
001902500,1.363800,2.418700,52,70,0
001905000,1.383800,2.352800,49,63,0
001907500,1.384100,2.419400,48,64,0
001910000,1.354200,2.480400,55,70,2
001912500,1.349100,2.259700,44,59,2
001915000,1.392000,2.354500,47,65,0
001917500,1.363700,2.225800,42,58,0
001920000,1.351400,2.308500,46,61,2
001922500,1.355700,2.458000,53,69,2
001925000,1.318100,2.247500,45,58,7
001927500,1.354900,2.357900,48,62,2
001930000,1.333900,2.273100,46,59,4
001932500,1.356500,2.352000,49,66,1
001935000,1.364300,2.371600,50,67,0
001937500,1.343200,2.409300,51,69,3
001940000,1.353300,2.229100,43,60,2
001942500,1.320000,2.241400,45,58,6
001945000,1.328700,2.303400,48,68,6
001947500,1.347700,2.307800,47,62,2
001950000,1.317400,2.305700,47,58,7
001952500,1.380200,2.347000,45,64,0
001955000,1.321500,2.236500,46,61,6
001957500,1.329100,2.275300,44,60,5
001960000,1.346600,2.281200,48,64,2
001962500,1.346900,2.362000,50,64,2
001965000,1.362000,2.321900,46,63,0
001967500,1.373100,2.436300,50,67,0
001970000,1.349100,2.339300,47,60,2
001972500,1.336600,2.342000,48,66,4
001975000,1.351400,2.384300,52,63,2
001977500,1.371500,2.295300,46,61,0
001980000,1.377600,2.421900,51,67,0
001982500,1.388700,2.443600,52,70,0
001985000,1.376800,2.398900,48,63,0
001987500,1.314000,2.174400,41,58,8
001990000,1.356400,2.319300,48,62,1
001992500,1.355200,2.356800,49,63,2
001995000,1.348900,2.314300,47,63,2
001997500,1.376800,2.337000,48,64,0
002000000,1.316800,2.282600,46,60,7
002002500,1.325400,2.310200,47,65,6
002005000,1.349700,2.430400,53,68,2
002007500,1.376700,2.370800,48,67,0
002010000,1.328800,2.331500,49,61,6
002012500,1.363600,2.330300,46,62,0
002015000,1.379100,2.362300,48,65,0
002017500,1.337300,2.224100,43,60,4
002020000,1.356400,2.322700,46,62,1
002022500,1.320900,2.318800,49,62,6
002025000,1.317700,2.242600,44,57,7
002027500,1.338100,2.347700,48,63,4
002030000,1.347400,2.343800,51,66,2
002032500,1.365900,2.246400,42,57,0
002035000,1.326700,2.299200,46,61,6
002037500,1.373300,2.439000,49,64,0
002040000,1.356700,2.352400,49,66,1
002042500,1.376300,2.408200,51,65,0
002045000,1.360200,2.388600,50,63,0
002047500,1.367300,2.360400,48,62,0
002050000,1.347600,2.290500,47,60,2
002052500,1.381600,2.355500,47,63,0
002055000,1.369300,2.345500,46,65,0
002057500,1.324100,2.254800,46,61,6
002060000,1.369500,2.396400,48,63,0
002062500,1.370700,2.413300,48,61,0
002065000,1.349400,2.387800,50,69,2
002067500,1.389200,2.370600,47,65,0
002070000,1.359500,2.425600,51,68,1
002072500,1.354900,2.283900,43,59,2
002075000,1.351200,2.208600,41,54,2
002077500,1.351800,2.274300,45,59,2
002080000,1.336100,2.310300,46,58,4
002082500,1.314400,2.277900,47,61,8
002085000,1.341800,2.224800,42,56,4
002087500,1.335700,2.284400,46,56,4
002090000,1.349400,2.417000,51,64,2
002092500,1.340600,2.293200,46,61,4
002095000,1.397900,2.433100,51,71,0
002097500,1.315400,2.214300,44,54,8
002100000,1.369600,2.319600,48,59,0
002102500,1.335000,2.302600,48,62,4
002105000,1.337200,2.235400,43,57,4
002107500,1.356100,2.276200,47,64,2
002110000,1.386600,2.444200,49,67,0
002112500,1.371800,2.379600,51,66,0
002115000,1.349900,2.299500,47,63,2
002117500,1.344200,2.372500,50,62,3
002120000,1.330600,2.192500,43,59,5
002122500,1.332800,2.312800,47,63,4
002125000,1.339500,2.335900,48,62,4
002127500,1.344600,2.274500,46,62,3
002130000,1.364100,2.414800,50,64,0
002132500,1.359100,2.318100,47,62,1
002135000,1.352600,2.360700,48,60,2
002137500,1.354500,2.495700,56,72,2
002140000,1.350300,2.257500,44,59,2
002142500,1.338300,2.322600,47,60,4
002145000,1.364900,2.383000,49,64,0
002147500,1.382100,2.306600,45,62,0
002150000,1.341300,2.322000,47,60,4
002152500,1.350800,2.331400,47,63,2
002155000,1.344200,2.264300,42,58,3
002157500,1.300800,2.167000,43,58,10
002160000,1.343700,2.352100,50,62,3
002162500,1.341300,2.220700,42,59,4
002165000,1.340600,2.306200,48,63,4
002167500,1.369600,2.486200,54,74,0
002170000,1.363600,2.377600,48,62,0
002172500,1.323800,2.238600,44,58,6
002175000,1.344000,2.273600,45,62,3
002177500,1.359000,2.429200,52,70,1
002180000,1.352000,2.283000,45,61,2
002182500,1.349000,2.449900,54,70,2
002185000,1.369800,2.299400,44,56,0
002187500,1.387800,2.431600,49,65,0
002190000,1.363400,2.367900,48,63,0
002192500,1.352600,2.252700,42,56,2
002195000,1.340900,2.365600,50,64,4
002197500,1.390200,2.413800,49,68,0
002200000,1.317700,2.361200,51,65,7
002202500,1.319700,2.230600,42,54,6
002205000,1.332500,2.281200,45,57,4
002207500,1.339800,2.262700,45,56,4
002210000,1.342200,2.317800,47,62,4
002212500,1.328600,2.313600,48,67,6
002215000,1.393100,2.332800,45,64,0
002217500,1.332000,2.259800,43,59,5
002220000,1.329000,2.324800,48,63,6
002222500,1.359400,2.269000,44,57,1
002225000,1.349500,2.308500,44,62,2
002227500,1.341300,2.266700,46,62,4
002230000,1.327800,2.338500,50,62,6
002232500,1.333800,2.360400,49,66,4
002235000,1.327100,2.254300,46,57,6
002237500,1.347400,2.351900,48,64,2
002240000,1.348700,2.247500,44,57,2
002242500,1.342400,2.355900,50,67,4
002245000,1.356100,2.342700,47,64,2
002247500,1.340500,2.344700,50,69,4
002250000,1.347700,2.282200,44,60,2
002252500,1.366500,2.296900,46,58,0
002255000,1.341100,2.268100,44,58,4
002257500,1.358000,2.373900,48,61,1
002260000,1.332600,2.253900,43,58,4
002262500,1.387700,2.331100,45,65,0
002265000,1.359300,2.312300,47,61,1
002267500,1.306400,2.292300,47,61,8
002270000,1.306700,2.285500,46,57,8
002272500,1.344000,2.354400,50,64,3
002275000,1.355300,2.302000,44,60,2
002277500,1.313000,2.322700,50,64,8
002280000,1.371200,2.428100,50,69,0
002282500,1.361200,2.361300,46,63,0
002285000,1.379800,2.389900,49,67,0
002287500,1.361400,2.324400,44,57,0
002290000,1.372600,2.402000,49,63,0
002292500,1.343400,2.288800,47,68,3
002295000,1.353600,2.399100,48,65,2
002297500,1.358400,2.357800,49,62,1
002300000,1.340900,2.348600,48,64,4
002302500,1.353300,2.256000,44,62,2
002305000,1.322200,2.230500,45,60,6
002307500,1.292400,2.195200,43,56,10
002310000,1.303600,2.222200,46,59,9
002312500,1.367400,2.289500,43,61,0
002315000,1.347700,2.294800,45,59,2
002317500,1.390400,2.391800,49,64,0
002320000,1.336500,2.309500,48,60,4
002322500,1.327200,2.271100,46,62,6
002325000,1.348900,2.276400,48,61,2
002327500,1.332500,2.292200,47,60,4
002330000,1.412700,2.452100,50,67,0
002332500,1.362500,2.303700,44,60,0
002335000,1.345300,2.337700,47,62,3
002337500,1.349400,2.335700,48,60,2
