name,GI,white_EI,hispanic_EI,black_EI,native_EI,asian_EI,pacific_EI,cumulative_EI,coalition_EI,white_cvap,hispanic_cvap,black_cvap,native_cvap,asian_cvap,pacific_cvap,minority_cvap,reock,polsby_popper,cut_score,population_compactness,compactness,population_deviation,county_splitting,district_splitting,counties_split,county_splits,splitting
LA20C_I000K01N06_vtd_assignments.csv,0.561900,0,0,0,0,0,0,0,0,0.618100,0.033700,0.319500,0.012600,0.015300,0.000500,0.381900,0.391200,0.225500,398,1557029.480400,44,0.004100,1.171500,2.209300,21,24,27
LA20C_I001K01N06_vtd_assignments.csv,0.561900,0,0,0,0,0,0,0,0,0.618100,0.033700,0.319500,0.012600,0.015300,0.000500,0.381900,0.395100,0.231400,403,1557036.076600,46,0.002200,1.172800,2.212300,21,25,26
LA20C_I002K01N06_vtd_assignments.csv,0.561900,0,0,0,0,0,0,0,0,0.618100,0.033700,0.319500,0.012600,0.015300,0.000500,0.381900,0.458900,0.269200,384,1557606.357200,63,0.002300,1.201900,2.361000,23,27,22
LA20C_I003K01N06_vtd_assignments.csv,0.561900,0,0,0,0,0,0,0,0,0.618100,0.033700,0.319500,0.012600,0.015300,0.000500,0.381900,0.423300,0.229200,379,1838964.319800,50,0.003500,1.141500,2.113300,22,24,31
LA20C_I004K01N06_vtd_assignments.csv,0.561900,0,0,0,0,0,0,0,0,0.618100,0.033700,0.319500,0.012600,0.015300,0.000500,0.381900,0.370200,0.210000,392,1436157.599900,38,0.001700,1.151900,2.126700,22,24,30
LA20C_I005K01N06_vtd_assignments.csv,0.561900,0,0,0,0,0,0,0,0,0.618100,0.033700,0.319500,0.012600,0.015300,0.000500,0.381900,0.381000,0.216100,399,1433512.978900,40,0.000800,1.142300,2.162400,24,25,31
LA20C_I006K01N06_vtd_assignments.csv,0.561900,0,0,0,0,0,0,0,0,0.618100,0.033700,0.319500,0.012600,0.015300,0.000500,0.381900,0.369500,0.214400,390,1436205.548800,38,0.001800,1.154200,2.173000,23,25,30
LA20C_I007K01N06_vtd_assignments.csv,0.561900,0,0,0,0,0,0,0,0,0.618100,0.033700,0.319500,0.012600,0.015300,0.000500,0.381900,0.395100,0.231400,403,1557036.076600,46,0.002200,1.172800,2.212300,21,25,26
LA20C_I008K01N06_vtd_assignments.csv,0.561900,0,0,0,0,0,0,0,0,0.618100,0.033700,0.319500,0.012600,0.015300,0.000500,0.381900,0.379000,0.214100,385,1431414.404000,40,0.001700,1.142400,2.113500,23,23,31
LA20C_I009K01N06_vtd_assignments.csv,0.561900,0,0,0,0,0,0,0,0,0.618100,0.033700,0.319500,0.012600,0.015300,0.000500,0.381900,0.414400,0.238400,381,1842506.757800,50,0.002400,1.151100,2.154700,22,24,30
LA20C_I010K01N06_vtd_assignments.csv,0.561900,0,0,0,0,0,0,0,0,0.618100,0.033700,0.319500,0.012600,0.015300,0.000500,0.381900,0.422300,0.247100,360,1846256.779800,53,0.002200,1.161700,2.084400,21,24,28
LA20C_I011K01N06_vtd_assignments.csv,0.561900,0,0,0,0,0,0,0,0,0.618100,0.033700,0.319500,0.012600,0.015300,0.000500,0.381900,0.460900,0.268400,383,1557906.549300,63,0.000700,1.202900,2.364000,23,27,22
LA20C_I012K01N06_vtd_assignments.csv,0.561900,0,0,0,0,0,0,0,0,0.618100,0.033700,0.319500,0.012600,0.015300,0.000500,0.381900,0.463400,0.269000,386,1558369.377300,64,0.001900,1.202200,2.360800,23,27,22
LA20C_I013K01N06_vtd_assignments.csv,0.561900,0,0,0,0,0,0,0,0,0.618100,0.033700,0.319500,0.012600,0.015300,0.000500,0.381900,0.395100,0.231400,403,1557036.076600,46,0.002200,1.172800,2.212300,21,25,26
LA20C_I014K01N06_vtd_assignments.csv,0.561900,0,0,0,0,0,0,0,0,0.618100,0.033700,0.319500,0.012600,0.015300,0.000500,0.381900,0.463400,0.269000,386,1558369.377300,64,0.001900,1.202200,2.360800,23,27,22
LA20C_I015K01N06_vtd_assignments.csv,0.561900,0,0,0,0,0,0,0,0,0.618100,0.033700,0.319500,0.012600,0.015300,0.000500,0.381900,0.463400,0.269000,386,1558369.377300,64,0.001900,1.202200,2.360800,23,27,22
LA20C_I016K01N06_vtd_assignments.csv,0.561900,0,0,0,0,0,0,0,0,0.618100,0.033700,0.319500,0.012600,0.015300,0.000500,0.381900,0.395100,0.231400,403,1557036.076600,46,0.002200,1.172800,2.212300,21,25,26
LA20C_I017K01N06_vtd_assignments.csv,0.561900,0,0,0,0,0,0,0,0,0.618100,0.033700,0.319500,0.012600,0.015300,0.000500,0.381900,0.446000,0.262600,393,1560169.572700,60,0.003200,1.202600,2.366200,23,27,22
LA20C_I018K01N06_vtd_assignments.csv,0.561900,0,0,0,0,0,0,0,0,0.618100,0.033700,0.319500,0.012600,0.015300,0.000500,0.381900,0.391000,0.226100,403,1852872.367200,44,0.003700,1.183000,2.237100,23,27,25
LA20C_I019K01N06_vtd_assignments.csv,0.561900,0,0,0,0,0,0,0,0,0.618100,0.033700,0.319500,0.012600,0.015300,0.000500,0.381900,0.395100,0.231400,403,1557036.076600,46,0.002200,1.172800,2.212300,21,25,26
