map,county_splitting,district_splitting,counties_split,county_splits,splitting
official-proxy,1.147300,1.381800,12,12,59
000000000,1.317500,2.143900,40,47,7
000000001,1.317500,2.143900,40,47,7
000000002,1.311800,2.098600,38,45,8
000000003,1.310500,2.076300,36,44,8
000000004,1.297100,2.015500,34,41,10
000000005,1.297600,2.006900,33,41,10
000000006,1.298400,1.982400,32,40,10
000000007,1.297700,2.005600,33,41,10
000000008,1.296500,2.000800,33,40,10
000000009,1.295000,1.981100,32,39,10
000000010,1.295100,1.981200,32,39,10
000000011,1.291400,1.943400,30,36,11
000000012,1.289800,1.910700,28,34,11
000000013,1.284000,1.882500,28,33,12
000000014,1.261300,1.809900,26,30,16
000000015,1.240800,1.747400,25,27,18
000000016,1.239900,1.744400,25,27,18
000000017,1.239400,1.743400,25,27,18
000000018,1.236900,1.720000,24,26,19
000000019,1.236900,1.719900,24,26,19
000000020,1.234500,1.699600,23,25,19
000000021,1.235900,1.705500,23,25,19
000000022,1.236700,1.706600,23,25,19
000000023,1.235300,1.701000,23,25,19
000000024,1.235400,1.701200,23,25,19
000000025,1.237400,1.681300,21,23,19
000000026,1.236000,1.676600,20,22,19
000000027,1.236400,1.675900,20,23,19
000000028,1.234600,1.653600,19,22,19
000000029,1.245800,1.686500,19,22,18
000000030,1.245800,1.686500,19,22,18
000000031,1.245800,1.686500,19,22,18
000000032,1.242700,1.657100,18,21,18
000000033,1.239900,1.625000,17,20,18
000000034,1.239900,1.625000,17,20,18
000000035,1.240700,1.629500,17,20,18
000000036,1.239300,1.620600,17,20,18
000000037,1.236900,1.614500,17,20,19
000000038,1.233400,1.591100,16,20,20
000000039,1.234100,1.593600,16,20,20
000000040,1.234300,1.593800,16,20,20
000000041,1.234300,1.593800,16,20,20
000000042,1.234300,1.593800,16,20,20
000000043,1.234300,1.593800,16,20,20
000000044,1.235100,1.595800,16,20,19
000000045,1.235600,1.598200,16,20,19
000000046,1.234800,1.599400,16,20,19
000000047,1.233800,1.579800,15,19,22
000000048,1.235500,1.585900,16,19,20
000000049,1.228400,1.574900,16,19,22
000000050,1.225000,1.546600,15,17,26
000000051,1.225600,1.547900,15,17,26
000000052,1.231300,1.584300,16,18,21
000000053,1.231200,1.584200,16,18,21
000000054,1.231200,1.584200,16,18,21
000000055,1.229700,1.573200,16,18,23
000000056,1.225700,1.564800,16,18,24
000000057,1.225700,1.564800,16,18,24
000000058,1.225700,1.564800,16,18,24
000000059,1.226600,1.566700,16,18,24
000000060,1.226500,1.566400,16,18,24
000000061,1.226500,1.566400,16,18,24
000000062,1.226500,1.566400,16,18,24
000000063,1.229700,1.578800,16,18,22
000000064,1.229700,1.578800,16,18,22
000000065,1.229500,1.578600,16,18,22
000000066,1.229500,1.578500,16,18,22
000000067,1.229400,1.578500,16,18,22
000000068,1.228200,1.575200,16,18,22
000000069,1.228200,1.575200,16,18,22
000000070,1.228400,1.575400,16,18,22
000000071,1.224500,1.579800,17,19,22
000000072,1.225400,1.588300,17,19,22
000000073,1.232600,1.597100,17,19,20
000000074,1.238600,1.601500,16,19,18
000000075,1.238600,1.601500,16,19,18
000000076,1.235700,1.599300,16,19,19
000000077,1.233500,1.596700,16,19,20
000000078,1.233500,1.596700,16,19,20
000000079,1.232300,1.580900,15,18,22
000000080,1.231400,1.562700,14,17,24
000000081,1.231300,1.540700,14,17,26
000000082,1.231200,1.540500,14,17,26
000000083,1.230900,1.540000,14,17,26
000000084,1.225000,1.560100,15,17,25
000000085,1.225000,1.560100,15,17,25
000000086,1.224900,1.559000,15,17,25
000000087,1.224900,1.559000,15,17,25
000000088,1.224900,1.559000,15,17,25
000000089,1.224900,1.559000,15,17,25
000000090,1.233800,1.585100,15,17,21
000000091,1.233800,1.585100,15,17,21
000000092,1.230800,1.584900,15,17,22
000000093,1.234700,1.592600,15,17,20
000000094,1.234700,1.592600,15,17,20
000000095,1.237700,1.614600,16,18,18
000000096,1.239600,1.617200,16,18,18
000000097,1.238900,1.616200,16,18,18
000000098,1.238900,1.616300,16,18,18
000000099,1.238900,1.616300,16,18,18
