map,population_deviation,estimated_vote_pct,pr_deviation,pr_seats,pr_pct,estimated_seats,estimated_seat_pct,fptp_seats,disproportionality,efficiency_gap,gamma,seats_bias,votes_bias,geometric_seats_bias,global_symmetry,declination,mean_median_statewide,mean_median_average_district,turnout_bias,lopsided_outcomes,competitive_districts,competitive_district_pct,average_margin,responsiveness,responsive_districts,responsive_district_pct,overall_responsiveness,avg_dem_win_pct,avg_rep_win_pct,proportionality,competitiveness,opportunity_districts,proportional_opportunities,coalition_districts,proportional_coalitions,minority,alt_opportunity_districts,alt_coalition_districts,minority_alt,reock,polsby_popper,cut_score,compactness,county_splitting,district_splitting,counties_split,county_splits,splitting
000000057,0.009400,0.494300,0.081400,7,0.500000,5.859800,0.418600,5,0.075700,0.070000,0.065900,0.063500,0.016600,0.062500,0.015100,9.769800,0.033100,0.033100,-0.000100,0.018100,3.422000,0.244400,0.094500,2.723700,3.422000,0.244400,14.242900,0.624300,0.577900,62,33,0.000000,5,5.834900,5,50,0.855700,8.194800,58,0.425700,0.274400,643,57,1.225700,1.564800,16,18,24
000000058,0.009400,0.494300,0.086200,7,0.500000,5.793500,0.413800,5,0.080500,0.074700,0.071300,0.068900,0.018200,0.067900,0.016700,10.755000,0.038400,0.038500,-0.000100,0.020700,3.236900,0.231200,0.096100,2.594700,3.236900,0.231200,15.070300,0.626700,0.579100,60,31,0.000000,5,5.835700,5,50,0.978300,8.052400,60,0.422600,0.268100,656,56,1.225700,1.564800,16,18,24
000000059,0.009400,0.494300,0.089000,7,0.500000,5.754700,0.411000,5,0.083200,0.077500,0.074600,0.072200,0.019300,0.071100,0.017600,11.164400,0.042200,0.042200,0.000000,0.021500,3.120000,0.222900,0.096300,2.516600,3.120000,0.222900,15.555700,0.626700,0.579300,58,30,0.000000,5,5.835700,5,50,0.978300,7.899600,60,0.404100,0.266800,668,52,1.226600,1.566700,16,18,24
000000060,0.009400,0.494300,0.095300,7,0.500000,5.665300,0.404700,5,0.089600,0.083900,0.082300,0.080200,0.022800,0.079200,0.021500,12.215000,0.043200,0.043000,0.000200,0.023900,2.805100,0.200400,0.096500,2.284300,2.805100,0.200400,16.672000,0.626700,0.579700,55,27,0.000000,5,5.835700,5,50,0.978200,7.667500,60,0.395600,0.265400,662,50,1.226500,1.566400,16,18,24
000000061,0.009400,0.494300,0.095300,7,0.500000,5.665300,0.404700,5,0.089600,0.083900,0.082300,0.080200,0.022800,0.079200,0.021500,12.215000,0.043200,0.043000,0.000200,0.023900,2.805100,0.200400,0.096500,2.284300,2.805100,0.200400,16.672000,0.626700,0.579700,55,27,0.000000,5,5.835700,5,50,0.978200,7.667500,60,0.395600,0.265400,662,50,1.226500,1.566400,16,18,24
000000062,0.009400,0.494300,0.095300,7,0.500000,5.665300,0.404700,5,0.089600,0.083900,0.082300,0.080200,0.022800,0.079200,0.021500,12.215000,0.043200,0.043000,0.000200,0.023900,2.805100,0.200400,0.096500,2.284300,2.805100,0.200400,16.672000,0.626700,0.579700,55,27,0.000000,5,5.835700,5,50,0.978200,7.667500,60,0.395600,0.265400,662,50,1.226500,1.566400,16,18,24
000000063,0.008100,0.494300,0.097000,7,0.500000,5.641900,0.403000,5,0.091300,0.085600,0.084200,0.082200,0.023500,0.081200,0.022300,12.508700,0.045600,0.045400,0.000200,0.024600,2.733100,0.195200,0.096400,2.236000,2.733100,0.195200,16.964500,0.626700,0.579600,54,26,0.000000,5,5.835700,5,50,0.978200,7.652300,60,0.398500,0.269800,664,50,1.229700,1.578800,16,18,22
000000064,0.008100,0.494300,0.097000,7,0.500000,5.641900,0.403000,5,0.091300,0.085600,0.084200,0.082200,0.023500,0.081200,0.022300,12.508700,0.045600,0.045400,0.000200,0.024600,2.733100,0.195200,0.096400,2.236000,2.733100,0.195200,16.964500,0.626700,0.579600,54,26,0.000000,5,5.835700,5,50,0.978200,7.652300,60,0.398500,0.269800,664,50,1.229700,1.578800,16,18,22
000000065,0.008100,0.494300,0.091600,7,0.500000,5.717400,0.408400,5,0.085900,0.080200,0.077600,0.075400,0.020500,0.074300,0.018300,10.599500,0.044600,0.043500,0.001100,0.018700,3.014900,0.215400,0.091700,2.452200,3.014900,0.215400,16.021500,0.618900,0.576600,57,29,0.000000,5,6.732300,5,50,0.877100,8.218500,59,0.406800,0.275300,651,54,1.229500,1.578600,16,18,22
000000066,0.008200,0.494300,0.091500,7,0.500000,5.719400,0.408500,5,0.085800,0.080000,0.077400,0.075200,0.020400,0.074100,0.018200,10.555400,0.044600,0.043500,0.001000,0.018600,3.022800,0.215900,0.091400,2.458800,3.022800,0.215900,15.996100,0.618600,0.576400,57,29,0.000000,5,6.732400,5,50,0.877100,8.217600,59,0.406900,0.273600,653,53,1.229500,1.578500,16,18,22
000000067,0.008200,0.494300,0.094000,7,0.500000,5.684000,0.406000,5,0.088300,0.082600,0.079300,0.077200,0.020600,0.076200,0.019500,10.820200,0.044600,0.043300,0.001200,0.019000,3.150700,0.225000,0.091300,2.577200,3.150700,0.225000,16.438600,0.618100,0.576400,56,30,0.000000,5,6.718000,5,50,0.877200,8.203100,59,0.415600,0.277400,649,55,1.229400,1.578500,16,18,22
000000068,0.009200,0.494300,0.089900,7,0.500000,5.741200,0.410100,5,0.084200,0.078500,0.074500,0.072500,0.019100,0.071500,0.017500,10.103200,0.039200,0.037800,0.001400,0.017100,3.319000,0.237100,0.091500,2.688900,3.319000,0.237100,15.723300,0.618100,0.576700,58,32,0.000000,5,6.718000,5,50,0.877000,7.996100,59,0.415000,0.266200,649,54,1.228200,1.575200,16,18,22
000000069,0.009200,0.494300,0.089900,7,0.500000,5.741200,0.410100,5,0.084200,0.078500,0.074500,0.072500,0.019100,0.071500,0.017500,10.103200,0.039200,0.037800,0.001400,0.017100,3.319000,0.237100,0.091500,2.688900,3.319000,0.237100,15.723300,0.618100,0.576700,58,32,0.000000,5,6.718000,5,50,0.877000,7.996100,59,0.415000,0.266200,649,54,1.228200,1.575200,16,18,22
000000070,0.009200,0.494300,0.095000,7,0.500000,5.670400,0.405000,5,0.089300,0.083500,0.080700,0.078800,0.021700,0.077900,0.021000,11.789500,0.040200,0.039500,0.000700,0.022200,3.055100,0.218200,0.095600,2.487300,3.055100,0.218200,16.608400,0.624800,0.579400,55,29,0.000000,5,5.821300,5,50,0.941900,7.539700,60,0.407000,0.259300,667,52,1.228400,1.575400,16,18,22
000000071,0.009300,0.494300,0.081200,7,0.500000,5.863900,0.418800,5,0.075400,0.069700,0.064500,0.062300,0.015900,0.061300,0.014400,9.584200,0.030200,0.029800,0.000400,0.017200,3.653100,0.260900,0.095300,2.904100,3.653100,0.260900,14.191200,0.624800,0.578900,62,35,0.000000,5,5.821300,5,50,0.942300,7.910100,60,0.418000,0.265400,651,54,1.224500,1.579800,17,19,22
000000072,0.009300,0.494300,0.081800,7,0.500000,5.855100,0.418200,5,0.076100,0.070300,0.065300,0.063100,0.016100,0.062100,0.014800,9.708100,0.030200,0.029800,0.000300,0.017600,3.624200,0.258900,0.095200,2.884200,3.624200,0.258900,14.301300,0.624800,0.578800,62,35,0.000000,5,5.821300,5,50,0.942300,7.910100,60,0.409500,0.265000,641,52,1.225400,1.588300,17,19,22
000000073,0.009200,0.494300,0.025900,7,0.500000,6.637700,0.474100,6,0.020200,0.014400,0.011800,0.010300,0.003500,0.009500,0.008700,1.516900,0.021500,0.022000,-0.000500,-0.001500,2.986900,0.213300,0.091400,2.454900,2.986900,0.213300,4.525000,0.600600,0.584600,90,28,0.000000,5,6.614900,5,50,0.943300,8.202200,60,0.407900,0.267200,651,52,1.232600,1.597100,17,19,20
000000074,0.009200,0.494300,0.030300,7,0.500000,6.575200,0.469700,6,0.024600,0.018900,0.014800,0.013800,0.004400,0.013100,0.004900,1.530800,0.021500,0.021400,0.000100,-0.002100,3.222300,0.230200,0.083600,2.710600,3.222300,0.230200,5.306700,0.590800,0.578200,88,31,0.000000,5,6.567000,5,50,0.658400,8.264300,56,0.412000,0.270100,651,54,1.238600,1.601500,16,19,18
000000075,0.009200,0.494300,0.030300,7,0.500000,6.575200,0.469700,6,0.024600,0.018900,0.014800,0.013800,0.004400,0.013100,0.004900,1.530800,0.021500,0.021400,0.000100,-0.002100,3.222300,0.230200,0.083600,2.710600,3.222300,0.230200,5.306700,0.590800,0.578200,88,31,0.000000,5,6.567000,5,50,0.658400,8.264300,56,0.412000,0.270100,651,54,1.238600,1.601500,16,19,18
000000076,0.009400,0.494300,0.040800,7,0.500000,6.428700,0.459200,6,0.035100,0.029400,0.027300,0.026600,0.009600,0.026000,0.007200,3.704800,0.027900,0.028500,-0.000600,0.003900,2.738200,0.195600,0.091100,2.364300,2.738200,0.195600,7.136600,0.600400,0.584200,82,26,0.000000,5,6.567100,5,50,0.993900,8.063200,60,0.412600,0.270400,657,54,1.235700,1.599300,16,19,19
000000077,0.009400,0.494300,0.039900,7,0.500000,6.441300,0.460100,6,0.034200,0.028500,0.026200,0.025400,0.008900,0.024700,0.006900,3.664100,0.027900,0.028800,-0.000900,0.004100,2.786700,0.199000,0.090900,2.404200,2.786700,0.199000,6.978700,0.600400,0.583700,83,27,0.000000,5,6.567100,5,50,0.993900,8.215500,60,0.402800,0.275300,635,52,1.233500,1.596700,16,19,20
000000078,0.009400,0.494300,0.039900,7,0.500000,6.441300,0.460100,6,0.034200,0.028500,0.026200,0.025400,0.008900,0.024700,0.006900,3.664100,0.027900,0.028800,-0.000900,0.004100,2.786700,0.199000,0.090900,2.404200,2.786700,0.199000,6.978700,0.600400,0.583700,83,27,0.000000,5,6.567100,5,50,0.993900,8.215500,60,0.402800,0.275300,635,52,1.233500,1.596700,16,19,20
000000079,0.009400,0.494300,0.039600,7,0.500000,6.445300,0.460400,6,0.033900,0.028200,0.025700,0.024900,0.008700,0.024200,0.006800,3.623600,0.026800,0.027800,-0.000900,0.004000,2.832500,0.202300,0.090600,2.437900,2.832500,0.202300,6.928800,0.600100,0.583500,83,27,0.000000,5,6.567000,5,50,0.977200,8.220800,60,0.389100,0.267500,650,49,1.232300,1.580900,15,18,22
000000080,0.009400,0.494300,0.041200,7,0.500000,6.423200,0.458800,6,0.035500,0.029800,0.026900,0.026200,0.009000,0.025600,0.007200,3.833000,0.026800,0.027800,-0.000900,0.004500,2.906400,0.207600,0.090600,2.492600,2.906400,0.207600,7.205200,0.600100,0.583500,82,28,0.000000,5,6.566800,5,50,0.975900,8.220600,60,0.396400,0.280200,638,52,1.231400,1.562700,14,17,24
000000081,0.009500,0.494300,0.074200,7,0.500000,5.961600,0.425800,5,0.068500,0.062700,0.057500,0.056200,0.015500,0.055500,0.015800,8.365300,0.026800,0.027100,-0.000200,0.014700,3.647400,0.260500,0.090300,2.915100,3.647400,0.260500,12.971000,0.618700,0.574500,66,35,0.000000,5,6.596000,5,50,0.976600,8.249700,60,0.386200,0.277400,629,49,1.231300,1.540700,14,17,26
000000082,0.009500,0.494300,0.074400,7,0.500000,5.958600,0.425600,5,0.068700,0.063000,0.057800,0.056500,0.015700,0.055800,0.015700,8.277000,0.026800,0.026800,0.000100,0.014100,3.635900,0.259700,0.090300,2.905900,3.635900,0.259700,13.008600,0.618300,0.574700,66,35,0.000000,5,6.596000,5,50,1.040300,8.240900,60,0.388800,0.278200,625,50,1.231200,1.540500,14,17,26
000000083,0.009500,0.494300,0.074500,7,0.500000,5.957100,0.425500,5,0.068800,0.063100,0.057900,0.056600,0.015800,0.055900,0.015800,8.319300,0.026800,0.026800,0.000100,0.014300,3.630500,0.259300,0.090400,2.901600,3.630500,0.259300,13.026700,0.618500,0.574800,66,35,0.000000,5,6.596000,5,50,1.021700,8.190400,60,0.388600,0.276200,628,50,1.230900,1.540000,14,17,26
000000084,0.009500,0.494300,0.105900,7,0.500000,5.517500,0.394100,4,0.100200,0.094500,0.086700,0.084500,0.019000,0.083500,0.022900,12.160400,0.026800,0.027100,-0.000200,0.022900,4.392800,0.313800,0.082400,3.355100,4.392800,0.313800,18.517600,0.634600,0.561600,50,42,0.000000,5,6.553800,5,50,1.009200,8.225100,60,0.394800,0.277800,629,51,1.225000,1.560100,15,17,25
000000085,0.009500,0.494300,0.105900,7,0.500000,5.517500,0.394100,4,0.100200,0.094500,0.086700,0.084500,0.019000,0.083500,0.022900,12.160400,0.026800,0.027100,-0.000200,0.022900,4.392800,0.313800,0.082400,3.355100,4.392800,0.313800,18.517600,0.634600,0.561600,50,42,0.000000,5,6.553800,5,50,1.009200,8.225100,60,0.394800,0.277800,629,51,1.225000,1.560100,15,17,25
000000086,0.009500,0.494300,0.106000,7,0.500000,5.515400,0.394000,4,0.100300,0.094600,0.087000,0.084800,0.019100,0.083800,0.023000,12.208800,0.027500,0.027700,-0.000200,0.023100,4.361200,0.311500,0.082600,3.331800,4.361200,0.311500,18.543800,0.634900,0.561700,50,42,0.000000,5,6.553800,5,50,1.018400,8.223400,60,0.400900,0.290700,620,54,1.224900,1.559000,15,17,25
000000087,0.009500,0.494300,0.105700,7,0.500000,5.519700,0.394300,4,0.100000,0.094300,0.086600,0.084400,0.019000,0.083400,0.022900,12.182900,0.027500,0.027900,-0.000300,0.023100,4.377300,0.312700,0.082400,3.344600,4.377300,0.312700,18.490800,0.634700,0.561400,50,42,0.000000,5,6.553800,5,50,0.980900,8.240700,60,0.400700,0.294600,612,54,1.224900,1.559000,15,17,25
000000088,0.009400,0.494300,0.107100,7,0.500000,5.499900,0.392900,4,0.101400,0.095700,0.088000,0.085600,0.019000,0.084600,0.023000,12.363800,0.027500,0.027900,-0.000300,0.023500,4.396800,0.314100,0.082400,3.355400,4.396800,0.314100,18.737700,0.634700,0.561400,49,42,0.000000,5,6.537900,5,50,0.980700,8.252100,60,0.398200,0.295700,608,54,1.224900,1.559000,15,17,25
000000089,0.009400,0.494300,0.107400,7,0.500000,5.497000,0.392600,4,0.101600,0.095900,0.088100,0.085800,0.019000,0.084800,0.023200,12.356000,0.027500,0.027800,-0.000300,0.023400,4.408400,0.314900,0.082300,3.372800,4.408400,0.314900,18.774100,0.634500,0.561400,49,42,0.000000,5,6.537300,5,50,0.983500,8.251500,60,0.393000,0.300300,602,54,1.224900,1.559000,15,17,25
000000090,0.009400,0.494300,0.065300,7,0.500000,6.086100,0.434700,5,0.059600,0.053800,0.042400,0.040900,0.008900,0.040200,0.009300,4.800100,0.004600,0.004200,0.000400,0.004900,5.250100,0.375000,0.070900,4.009600,5.250100,0.375000,11.415600,0.590600,0.559900,70,50,0.000000,5,7.405700,5,50,0.815900,8.730000,58,0.369300,0.297700,608,48,1.233800,1.585100,15,17,21
000000091,0.009400,0.494300,0.065300,7,0.500000,6.086100,0.434700,5,0.059600,0.053800,0.042400,0.040900,0.008900,0.040200,0.009300,4.800100,0.004600,0.004200,0.000400,0.004900,5.250100,0.375000,0.070900,4.009600,5.250100,0.375000,11.415600,0.590600,0.559900,70,50,0.000000,5,7.405700,5,50,0.815900,8.730000,58,0.369300,0.297700,608,48,1.233800,1.585100,15,17,21
000000092,0.009400,0.494300,0.066000,7,0.500000,6.076100,0.434000,5,0.060300,0.054600,0.043400,0.042000,0.009400,0.041400,0.010300,5.281000,0.004600,0.004600,0.000100,0.006400,5.183600,0.370300,0.073000,3.942300,5.183600,0.370300,11.540000,0.594100,0.561300,70,49,0.000000,5,7.405700,5,50,0.880800,8.657100,59,0.362800,0.288500,606,46,1.230800,1.584900,15,17,22
000000093,0.009300,0.494300,0.062500,7,0.500000,6.124500,0.437500,6,0.056800,0.051100,0.040200,0.039000,0.008900,0.038400,0.009800,4.909300,0.004300,0.004300,0.000100,0.005600,5.129500,0.366400,0.073200,3.912600,5.129500,0.366400,10.936200,0.578600,0.569100,72,49,0.000000,5,7.460100,5,50,0.881600,8.608600,59,0.358100,0.283400,614,44,1.234700,1.592600,15,17,20
000000094,0.008900,0.494300,0.061100,7,0.500000,6.144800,0.438900,6,0.055400,0.049600,0.038700,0.037600,0.008600,0.037000,0.009600,4.754500,0.003000,0.002900,0.000100,0.005300,5.137900,0.367000,0.073100,3.917900,5.137900,0.367000,10.682300,0.578600,0.569100,72,49,0.000000,5,7.460300,5,50,0.894600,8.579000,59,0.360300,0.282200,620,45,1.234700,1.592600,15,17,20
000000095,0.008900,0.494300,0.061900,7,0.500000,6.132800,0.438100,6,0.056200,0.050500,0.040600,0.039500,0.009400,0.038900,0.010000,5.017100,0.003000,0.002900,0.000100,0.005800,4.893400,0.349500,0.074700,3.726900,4.893400,0.349500,10.831900,0.580300,0.570500,72,47,0.000000,5,7.461400,5,50,1.062800,8.484900,60,0.339100,0.262500,640,38,1.237700,1.614600,16,18,18
000000096,0.009100,0.494300,0.045400,7,0.500000,6.364100,0.454600,6,0.039700,0.034000,0.019100,0.018600,0.003900,0.018200,0.004200,1.983300,0.003000,0.002400,0.000600,-0.001800,6.022600,0.430200,0.065500,4.602100,6.022600,0.430200,7.942800,0.569000,0.562900,80,57,0.000000,5,8.252100,5,50,0.828200,9.097100,58,0.319900,0.254400,652,34,1.239600,1.617200,16,18,18
000000097,0.009100,0.494300,0.047500,7,0.500000,6.335500,0.452500,6,0.041700,0.036000,0.020400,0.020200,0.004100,0.019800,0.006100,2.281500,0.003000,0.002600,0.000400,-0.000900,6.132400,0.438000,0.065700,4.729300,6.132400,0.438000,8.300200,0.569500,0.562900,79,58,0.000000,5,7.478500,5,50,0.824000,8.985600,58,0.334900,0.244700,661,35,1.238900,1.616200,16,18,18
000000098,0.009100,0.494300,0.048600,7,0.500000,6.319000,0.451400,6,0.042900,0.037200,0.021600,0.021300,0.004300,0.020900,0.006300,2.392200,0.004100,0.003600,0.000500,-0.000700,6.126700,0.437600,0.065700,4.725700,6.126700,0.437600,8.506500,0.569500,0.562900,79,58,0.000000,5,7.478300,5,50,0.807400,9.024600,58,0.330000,0.241900,657,34,1.238900,1.616300,16,18,18
000000099,0.009100,0.494300,0.048600,7,0.500000,6.319000,0.451400,6,0.042900,0.037200,0.021600,0.021300,0.004300,0.020900,0.006300,2.392200,0.004100,0.003600,0.000500,-0.000700,6.126700,0.437600,0.065700,4.725700,6.126700,0.437600,8.506500,0.569500,0.562900,79,58,0.000000,5,7.478300,5,50,0.807400,9.024600,58,0.330000,0.241900,657,34,1.238900,1.616300,16,18,18
