map,estimated_vote_pct,pr_deviation,pr_seats,pr_pct,estimated_seats,estimated_seat_pct,fptp_seats,disproportionality,efficiency_gap,gamma,seats_bias,votes_bias,geometric_seats_bias,global_symmetry,declination,mean_median_statewide,mean_median_average_district,turnout_bias,lopsided_outcomes,competitive_districts,competitive_district_pct,average_margin,responsiveness,responsive_districts,responsive_district_pct,overall_responsiveness,avg_dem_win_pct,avg_rep_win_pct,proportionality,competitiveness
000002500,0.494300,0.097000,7,0.500000,5.642100,0.403000,5,0.091300,0.085700,0.081800,0.079700,0.020800,0.078700,0.023000,12.853400,0.033800,0.035200,-0.001400,0.026900,3.407900,0.243400,0.094300,2.686400,3.407900,0.243400,17.113800,0.626100,0.576700,54,32
000005000,0.494300,0.020300,7,0.500000,6.715400,0.479700,6,0.014700,0.009000,-0.000800,-0.001300,-0.000300,-0.001700,-0.003600,-0.042600,0.001700,0.001600,0.000100,-0.005900,4.797700,0.342700,0.074600,3.726300,4.797700,0.342700,3.586400,0.580300,0.570300,93,46
000007500,0.494300,0.064600,7,0.500000,6.095900,0.435400,6,0.058900,0.053200,0.038600,0.037900,0.007700,0.037300,0.009500,3.696700,0.016100,0.015200,0.000900,0.001800,5.846000,0.417600,0.065500,4.577500,5.846000,0.417600,11.395200,0.568800,0.563000,71,56
000010000,0.494300,0.051200,7,0.500000,6.283100,0.448800,7,0.045500,0.039900,0.025400,0.025800,0.005700,0.025600,0.009100,2.784600,-0.005700,-0.006400,0.000700,0.000100,5.819300,0.415700,0.067800,4.562200,5.819300,0.415700,9.035600,0.561500,0.574200,77,55
000012500,0.494300,0.035300,7,0.500000,6.505500,0.464700,7,0.029700,0.024000,0.009700,0.010500,0.002400,0.010600,0.009900,1.812500,-0.002600,-0.003100,0.000500,-0.001900,5.979700,0.427100,0.078100,4.527700,5.979700,0.427100,6.232000,0.571900,0.584200,85,57
000015000,0.494300,0.062300,7,0.500000,6.128100,0.437700,5,0.056600,0.050900,0.042800,0.041100,0.009900,0.040200,0.008600,4.227900,0.019400,0.018000,0.001400,0.002700,4.336600,0.309800,0.073600,3.429200,4.336600,0.309800,10.989500,0.593100,0.562800,72,41
000017500,0.494300,0.077700,7,0.500000,5.912100,0.422300,5,0.072000,0.066400,0.056400,0.055500,0.013300,0.055000,0.016500,7.679400,0.012700,0.011500,0.001200,0.011300,4.947800,0.353400,0.085500,3.752100,4.947800,0.353400,13.711400,0.610000,0.571800,64,47
000020000,0.494300,0.123900,7,0.500000,5.265100,0.376100,5,0.118300,0.112600,0.110400,0.107500,0.025800,0.106300,0.027800,15.055900,0.044200,0.044300,-0.000000,0.029400,2.991700,0.213700,0.083900,2.378400,2.991700,0.213700,21.866000,0.609500,0.569600,41,28
000022500,0.494300,0.075500,7,0.500000,5.942900,0.424500,6,0.069800,0.064200,0.043700,0.041900,0.006800,0.041300,0.009100,3.929500,0.009400,0.008400,0.001100,0.002000,7.617000,0.544100,0.057600,5.610100,7.617000,0.544100,13.322800,0.559300,0.556300,65,73
000025000,0.494300,0.032300,7,0.500000,6.547600,0.467700,6,0.026600,0.021000,0.011100,0.010600,0.002700,0.010100,0.002500,1.690000,0.015300,0.015400,-0.000100,-0.001600,4.702700,0.335900,0.081100,3.737200,4.702700,0.335900,5.701200,0.588100,0.575800,87,45
000027500,0.494300,0.026500,7,0.500000,6.629400,0.473500,6,0.020800,0.015100,0.007800,0.007300,0.002100,0.006700,0.005600,0.485200,0.011000,0.010400,0.000600,-0.005100,4.023500,0.287400,0.076100,3.301800,4.023500,0.287400,4.670700,0.581500,0.572100,90,38
000030000,0.494300,0.045000,7,0.500000,6.369500,0.455000,6,0.039400,0.033700,0.024800,0.024400,0.006400,0.024000,0.007400,3.300000,0.005800,0.005800,-0.000000,0.002200,4.595600,0.328300,0.079500,3.577500,4.595600,0.328300,7.946400,0.586200,0.574500,80,44
000032500,0.494300,0.037400,7,0.500000,6.475800,0.462600,6,0.031800,0.026100,0.024000,0.023600,0.008900,0.023200,0.006700,3.164900,0.020900,0.021000,-0.000200,0.002200,2.831400,0.202200,0.092400,2.373200,2.831400,0.202200,6.606600,0.601400,0.585600,84,27
000035000,0.494300,0.080300,7,0.500000,5.876000,0.419700,6,0.074600,0.068900,0.061600,0.060200,0.015200,0.059500,0.017500,9.241600,0.025000,0.025000,0.000000,0.016600,4.274200,0.305300,0.090600,3.300600,4.274200,0.305300,14.166000,0.599100,0.584300,63,41
000037500,0.494300,0.077700,7,0.500000,5.912300,0.422300,5,0.072000,0.066400,0.057500,0.056000,0.013300,0.055300,0.015500,8.104700,0.007700,0.007700,0.000000,0.013500,4.735600,0.338300,0.083900,3.563400,4.735600,0.338300,13.709300,0.609500,0.569700,64,45
000040000,0.494300,0.038200,7,0.500000,6.465000,0.461800,7,0.032500,0.026900,0.020400,0.019700,0.005700,0.019100,0.007000,2.672400,0.012400,0.013000,-0.000600,0.001300,3.875100,0.276800,0.079800,3.134800,3.875100,0.276800,6.742200,0.574800,0.584900,84,37
000042500,0.494300,0.046400,7,0.500000,6.350000,0.453600,7,0.040800,0.035100,0.016600,0.016100,0.003000,0.015800,0.003800,1.442700,0.001300,0.000700,0.000500,-0.002900,7.053900,0.503900,0.057000,5.258200,7.053900,0.503900,8.191700,0.550900,0.563200,80,67
000045000,0.494300,0.055600,7,0.500000,6.221700,0.444400,6,0.049900,0.044300,0.034900,0.034600,0.009000,0.034300,0.011600,4.951500,0.008200,0.007900,0.000200,0.005900,4.697800,0.335600,0.084600,3.648100,4.697800,0.335600,9.808700,0.591800,0.579200,75,45
000047500,0.494300,0.098700,7,0.500000,5.618800,0.401300,5,0.093000,0.087300,0.079200,0.077500,0.018300,0.076800,0.022900,11.046100,0.026900,0.026800,0.000100,0.020200,4.485400,0.320400,0.083800,3.440200,4.485400,0.320400,17.407600,0.609300,0.569700,54,43
000050000,0.494300,0.080200,7,0.500000,5.876600,0.419800,6,0.074600,0.068900,0.061400,0.059900,0.015100,0.059300,0.016200,8.145000,0.027700,0.026500,0.001300,0.012400,4.334100,0.309600,0.086500,3.331800,4.334100,0.309600,14.158300,0.592800,0.581800,63,41
000052500,0.494300,0.033500,7,0.500000,6.531200,0.466500,6,0.027800,0.022200,0.015500,0.014600,0.004200,0.014100,0.004200,1.650600,0.016900,0.016200,0.000800,-0.002500,3.939900,0.281400,0.083900,3.177300,3.939900,0.281400,5.909000,0.590300,0.579000,86,38
000055000,0.494300,0.129400,7,0.500000,5.188500,0.370600,5,0.123700,0.118100,0.111800,0.109500,0.024600,0.108500,0.031200,16.157500,0.037100,0.036300,0.000700,0.031500,3.968400,0.283500,0.088000,3.101900,3.968400,0.283500,22.831700,0.614300,0.573400,38,38
000057500,0.494300,0.045900,7,0.500000,6.357400,0.454100,6,0.040200,0.034600,0.020400,0.019900,0.004200,0.019500,0.004300,1.746900,0.008800,0.007600,0.001300,-0.002900,5.736900,0.409800,0.066500,4.494700,5.736900,0.409800,8.098400,0.569500,0.564200,80,55
000060000,0.494300,0.094600,7,0.500000,5.675000,0.405400,5,0.089000,0.083300,0.076300,0.074000,0.017200,0.073100,0.018900,10.639700,0.031000,0.031100,-0.000100,0.019500,4.240300,0.302900,0.084100,3.232800,4.240300,0.302900,16.699800,0.609900,0.569700,56,40
000062500,0.494300,0.067800,7,0.500000,6.051200,0.432200,6,0.062100,0.056400,0.038300,0.037800,0.007000,0.037400,0.010900,3.842700,0.009400,0.008400,0.001000,0.002000,6.897000,0.492600,0.063900,5.204200,6.897000,0.492600,11.957800,0.566800,0.561800,69,66
000065000,0.494300,0.113700,7,0.500000,5.408200,0.386300,4,0.108000,0.102400,0.091700,0.089400,0.018100,0.088500,0.023900,12.224700,0.023100,0.022800,0.000200,0.022200,5.195700,0.371100,0.076900,3.881100,5.195700,0.371100,20.061800,0.624300,0.558000,46,49
