map,estimated_vote_pct,pr_deviation,pr_seats,pr_pct,estimated_seats,estimated_seat_pct,fptp_seats,disproportionality,efficiency_gap,gamma,seats_bias,votes_bias,geometric_seats_bias,global_symmetry,declination,mean_median_statewide,mean_median_average_district,turnout_bias,lopsided_outcomes,competitive_districts,competitive_district_pct,average_margin,responsiveness,responsive_districts,responsive_district_pct,overall_responsiveness,avg_dem_win_pct,avg_rep_win_pct,proportionality,competitiveness
000000055,0.494300,0.081200,7,0.500000,5.863300,0.418800,5,0.075500,0.069900,0.065700,0.063400,0.016600,0.062400,0.015100,9.753300,0.033100,0.033200,-0.000100,0.018100,3.434000,0.245300,0.094400,2.728200,3.434000,0.245300,14.326500,0.624300,0.577700,62,33
000000056,0.494300,0.081300,7,0.500000,5.862000,0.418700,5,0.075600,0.070000,0.065800,0.063500,0.016600,0.062500,0.015100,9.760500,0.033100,0.033200,-0.000100,0.018100,3.429600,0.245000,0.094400,2.725100,3.429600,0.245000,14.343300,0.624300,0.577800,62,33
000000057,0.494300,0.081300,7,0.500000,5.862000,0.418700,5,0.075600,0.070000,0.065800,0.063500,0.016600,0.062500,0.015100,9.760500,0.033100,0.033200,-0.000100,0.018100,3.429600,0.245000,0.094400,2.725100,3.429600,0.245000,14.343300,0.624300,0.577800,62,33
000000058,0.494300,0.086000,7,0.500000,5.795900,0.414000,5,0.080300,0.074700,0.071300,0.068900,0.018200,0.067800,0.016700,10.742300,0.038400,0.038600,-0.000200,0.020700,3.244800,0.231800,0.096000,2.596100,3.244800,0.231800,15.176000,0.626700,0.578900,60,31
000000059,0.494300,0.088800,7,0.500000,5.757000,0.411200,5,0.083100,0.077500,0.074500,0.072100,0.019200,0.071100,0.017600,11.152400,0.042300,0.042200,0.000000,0.021500,3.127700,0.223400,0.096200,2.517900,3.127700,0.223400,15.666600,0.626700,0.579200,58,30
000000060,0.494300,0.095200,7,0.500000,5.667700,0.404800,5,0.089500,0.083800,0.082200,0.080200,0.022800,0.079200,0.021500,12.199800,0.043200,0.043000,0.000200,0.023900,2.813200,0.200900,0.096400,2.286700,2.813200,0.200900,16.791500,0.626700,0.579500,55,27
000000061,0.494300,0.095200,7,0.500000,5.667700,0.404800,5,0.089500,0.083800,0.082200,0.080200,0.022800,0.079200,0.021500,12.199800,0.043200,0.043000,0.000200,0.023900,2.813200,0.200900,0.096400,2.286700,2.813200,0.200900,16.791500,0.626700,0.579500,55,27
000000062,0.494300,0.095200,7,0.500000,5.667700,0.404800,5,0.089500,0.083800,0.082200,0.080200,0.022800,0.079200,0.021500,12.199800,0.043200,0.043000,0.000200,0.023900,2.813200,0.200900,0.096400,2.286700,2.813200,0.200900,16.791500,0.626700,0.579500,55,27
000000063,0.494300,0.096900,7,0.500000,5.644100,0.403100,5,0.091200,0.085500,0.084200,0.082100,0.023500,0.081200,0.022300,12.495600,0.045600,0.045400,0.000200,0.024600,2.740600,0.195800,0.096400,2.238000,2.740600,0.195800,17.089000,0.626700,0.579500,54,26
000000064,0.494300,0.096900,7,0.500000,5.644100,0.403100,5,0.091200,0.085500,0.084200,0.082100,0.023500,0.081200,0.022300,12.495600,0.045600,0.045400,0.000200,0.024600,2.740600,0.195800,0.096400,2.238000,2.740600,0.195800,17.089000,0.626700,0.579500,54,26
000000065,0.494300,0.091400,7,0.500000,5.719800,0.408600,5,0.085800,0.080100,0.077500,0.075300,0.020500,0.074300,0.018300,10.587400,0.044600,0.043500,0.001100,0.018700,3.023000,0.215900,0.091600,2.454100,3.023000,0.215900,16.135000,0.618800,0.576500,57,29
000000066,0.494300,0.091300,7,0.500000,5.721800,0.408700,5,0.085600,0.080000,0.077400,0.075100,0.020400,0.074100,0.018200,10.543200,0.044600,0.043500,0.001000,0.018600,3.031000,0.216500,0.091400,2.460800,3.031000,0.216500,16.109300,0.618500,0.576300,57,29
000000067,0.494300,0.093800,7,0.500000,5.686500,0.406200,5,0.088200,0.082500,0.079200,0.077100,0.020600,0.076100,0.019400,10.805700,0.044600,0.043400,0.001200,0.019000,3.158400,0.225600,0.091200,2.579200,3.158400,0.225600,16.554300,0.618000,0.576300,56,30
000000068,0.494300,0.089700,7,0.500000,5.743700,0.410300,5,0.084100,0.078400,0.074500,0.072400,0.019000,0.071400,0.017500,10.090600,0.039200,0.037800,0.001400,0.017100,3.326500,0.237600,0.091400,2.690700,3.326500,0.237600,15.833700,0.618000,0.576600,58,32
000000069,0.494300,0.089700,7,0.500000,5.743700,0.410300,5,0.084100,0.078400,0.074500,0.072400,0.019000,0.071400,0.017500,10.090600,0.039200,0.037800,0.001400,0.017100,3.326500,0.237600,0.091400,2.690700,3.326500,0.237600,15.833700,0.618000,0.576600,58,32
000000070,0.494300,0.094800,7,0.500000,5.672600,0.405200,5,0.089100,0.083500,0.080700,0.078800,0.021700,0.077900,0.020900,11.777000,0.040200,0.039500,0.000700,0.022200,3.062000,0.218700,0.095500,2.489000,3.062000,0.218700,16.729400,0.624800,0.579300,55,29
000000071,0.494300,0.081000,7,0.500000,5.865900,0.419000,5,0.075300,0.069700,0.064500,0.062300,0.015800,0.061300,0.014400,9.577900,0.030200,0.029900,0.000400,0.017200,3.659200,0.261400,0.095200,2.904600,3.659200,0.261400,14.294100,0.624800,0.578700,62,35
000000072,0.494300,0.081600,7,0.500000,5.857000,0.418400,5,0.076000,0.070300,0.065300,0.063100,0.016100,0.062100,0.014800,9.701900,0.030200,0.029900,0.000300,0.017600,3.630300,0.259300,0.095100,2.884700,3.630300,0.259300,14.405600,0.624800,0.578600,62,35
000000073,0.494300,0.025700,7,0.500000,6.639900,0.474300,6,0.020100,0.014400,0.011800,0.010300,0.003500,0.009500,0.008600,1.516800,0.021600,0.022100,-0.000500,-0.001500,2.993700,0.213800,0.091300,2.457400,2.993700,0.213800,4.538900,0.600500,0.584400,90,29
000000074,0.494300,0.030200,7,0.500000,6.577100,0.469800,6,0.024500,0.018900,0.014800,0.013800,0.004400,0.013100,0.004900,1.533700,0.021600,0.021500,0.000100,-0.002100,3.229900,0.230700,0.083500,2.714800,3.229900,0.230700,5.330500,0.590700,0.578100,88,31
000000075,0.494300,0.030200,7,0.500000,6.577100,0.469800,6,0.024500,0.018900,0.014800,0.013800,0.004400,0.013100,0.004900,1.533700,0.021600,0.021500,0.000100,-0.002100,3.229900,0.230700,0.083500,2.714800,3.229900,0.230700,5.330500,0.590700,0.578100,88,31
000000076,0.494300,0.040700,7,0.500000,6.430700,0.459300,6,0.035000,0.029300,0.027200,0.026500,0.009500,0.025900,0.007100,3.701900,0.027900,0.028500,-0.000600,0.004000,2.746400,0.196200,0.091000,2.369700,2.746400,0.196200,7.174700,0.600300,0.584000,83,26
000000077,0.494300,0.039800,7,0.500000,6.443300,0.460200,6,0.034100,0.028400,0.026100,0.025300,0.008900,0.024700,0.006900,3.662600,0.027900,0.028800,-0.000900,0.004100,2.794400,0.199600,0.090700,2.409000,2.794400,0.199600,7.016900,0.600300,0.583600,83,27
000000078,0.494300,0.039800,7,0.500000,6.443300,0.460200,6,0.034100,0.028400,0.026100,0.025300,0.008900,0.024700,0.006900,3.662600,0.027900,0.028800,-0.000900,0.004100,2.794400,0.199600,0.090700,2.409000,2.794400,0.199600,7.016900,0.600300,0.583600,83,27
000000079,0.494300,0.039500,7,0.500000,6.447300,0.460500,6,0.033800,0.028100,0.025600,0.024900,0.008700,0.024200,0.006800,3.621700,0.026800,0.027800,-0.001000,0.004100,2.840600,0.202900,0.090500,2.442900,2.840600,0.202900,6.966000,0.600100,0.583300,83,27
000000080,0.494300,0.041100,7,0.500000,6.425200,0.458900,6,0.035400,0.029700,0.026900,0.026200,0.009000,0.025500,0.007200,3.830700,0.026800,0.027800,-0.000900,0.004600,2.914400,0.208200,0.090500,2.497600,2.914400,0.208200,7.244700,0.600000,0.583300,82,28
000000081,0.494300,0.074100,7,0.500000,5.962600,0.425900,5,0.068400,0.062800,0.057600,0.056300,0.015500,0.055500,0.015800,8.368400,0.026800,0.027100,-0.000200,0.014700,3.655600,0.261100,0.090200,2.918800,3.655600,0.261100,13.074200,0.618700,0.574400,66,35
000000082,0.494300,0.074300,7,0.500000,5.959600,0.425700,5,0.068600,0.063000,0.057800,0.056500,0.015700,0.055800,0.015700,8.280200,0.026800,0.026800,0.000100,0.014200,3.644100,0.260300,0.090200,2.909600,3.644100,0.260300,13.112300,0.618300,0.574600,66,35
000000083,0.494300,0.074400,7,0.500000,5.958100,0.425600,5,0.068800,0.063100,0.058000,0.056700,0.015700,0.056000,0.015800,8.323500,0.026800,0.026800,0.000000,0.014300,3.638500,0.259900,0.090400,2.905200,3.638500,0.259900,13.131100,0.618500,0.574700,66,35
000000084,0.494300,0.105800,7,0.500000,5.519200,0.394200,4,0.100100,0.094400,0.086700,0.084600,0.019000,0.083600,0.022900,12.154500,0.026800,0.027100,-0.000200,0.023000,4.400700,0.314300,0.082400,3.356800,4.400700,0.314300,18.662800,0.634600,0.561500,50,42
000000085,0.494300,0.105800,7,0.500000,5.519200,0.394200,4,0.100100,0.094400,0.086700,0.084600,0.019000,0.083600,0.022900,12.154500,0.026800,0.027100,-0.000200,0.023000,4.400700,0.314300,0.082400,3.356800,4.400700,0.314300,18.662800,0.634600,0.561500,50,42
000000086,0.494300,0.105900,7,0.500000,5.517100,0.394100,4,0.100300,0.094600,0.087000,0.084800,0.019100,0.083900,0.023000,12.202800,0.027500,0.027700,-0.000200,0.023100,4.369200,0.312100,0.082500,3.333500,4.369200,0.312100,18.689500,0.634900,0.561600,50,42
000000087,0.494300,0.105600,7,0.500000,5.521300,0.394400,4,0.100000,0.094300,0.086700,0.084400,0.019000,0.083500,0.022900,12.176800,0.027500,0.027900,-0.000400,0.023200,4.385300,0.313200,0.082300,3.346300,4.385300,0.313200,18.636100,0.634700,0.561300,50,42
000000088,0.494300,0.107000,7,0.500000,5.501700,0.393000,4,0.101400,0.095700,0.088000,0.085700,0.019000,0.084700,0.023100,12.356100,0.027500,0.027900,-0.000400,0.023500,4.404400,0.314600,0.082300,3.356600,4.404400,0.314600,18.883200,0.634700,0.561300,49,42
000000089,0.494300,0.107200,7,0.500000,5.498800,0.392800,4,0.101600,0.095900,0.088100,0.085800,0.019000,0.084800,0.023200,12.348400,0.027500,0.027800,-0.000300,0.023500,4.416000,0.315400,0.082200,3.374200,4.416000,0.315400,18.920000,0.634500,0.561300,49,42
000000090,0.494300,0.065100,7,0.500000,6.088600,0.434900,5,0.059400,0.053800,0.042400,0.040900,0.008900,0.040200,0.009300,4.795800,0.004700,0.004300,0.000400,0.005000,5.256500,0.375500,0.070800,4.011900,5.256500,0.375500,11.486500,0.590600,0.559800,70,50
000000091,0.494300,0.065100,7,0.500000,6.088600,0.434900,5,0.059400,0.053800,0.042400,0.040900,0.008900,0.040200,0.009300,4.795800,0.004700,0.004300,0.000400,0.005000,5.256500,0.375500,0.070800,4.011900,5.256500,0.375500,11.486500,0.590600,0.559800,70,50
000000092,0.494300,0.065800,7,0.500000,6.078600,0.434200,5,0.060100,0.054500,0.043500,0.042100,0.009400,0.041400,0.010300,5.276800,0.004700,0.004600,0.000100,0.006500,5.189500,0.370700,0.073000,3.944300,5.189500,0.370700,11.612600,0.594100,0.561200,70,49
000000093,0.494300,0.062400,7,0.500000,6.126800,0.437600,6,0.056700,0.051000,0.040200,0.039000,0.008900,0.038400,0.009800,4.906600,0.004400,0.004300,0.000100,0.005600,5.136200,0.366900,0.073100,3.915500,5.136200,0.366900,11.005400,0.578600,0.569000,72,49
000000094,0.494300,0.060900,7,0.500000,6.147100,0.439100,6,0.055300,0.049600,0.038700,0.037600,0.008600,0.037100,0.009600,4.752400,0.003000,0.003000,0.000100,0.005300,5.144500,0.367500,0.073100,3.920900,5.144500,0.367500,10.750000,0.578600,0.568900,72,49
000000095,0.494300,0.061800,7,0.500000,6.135000,0.438200,6,0.056100,0.050500,0.040700,0.039600,0.009400,0.039000,0.010000,5.016400,0.003000,0.002900,0.000100,0.005900,4.898600,0.349900,0.074600,3.728800,4.898600,0.349900,10.901900,0.580300,0.570400,72,47
000000096,0.494300,0.045300,7,0.500000,6.365100,0.454700,6,0.039700,0.034000,0.019200,0.018700,0.003900,0.018300,0.004200,1.996700,0.003000,0.002400,0.000600,-0.001700,6.027600,0.430500,0.065500,4.605000,6.027600,0.430500,8.001400,0.569000,0.562800,80,57
000000097,0.494300,0.047400,7,0.500000,6.336600,0.452600,6,0.041700,0.036100,0.020600,0.020300,0.004200,0.020000,0.006200,2.294700,0.003000,0.002600,0.000400,-0.000900,6.137200,0.438400,0.065700,4.732500,6.137200,0.438400,8.361500,0.569500,0.562800,79,58
000000098,0.494300,0.048600,7,0.500000,6.320300,0.451400,6,0.042900,0.037200,0.021800,0.021400,0.004400,0.021100,0.006300,2.403800,0.004100,0.003700,0.000500,-0.000600,6.131600,0.438000,0.065700,4.728900,6.131600,0.438000,8.567000,0.569500,0.562800,79,58
000000099,0.494300,0.048600,7,0.500000,6.320300,0.451400,6,0.042900,0.037200,0.021800,0.021400,0.004400,0.021100,0.006300,2.403800,0.004100,0.003700,0.000500,-0.000600,6.131600,0.438000,0.065700,4.728900,6.131600,0.438000,8.567000,0.569500,0.562800,79,58
