GEOID,DISTRICT
370210001.1,6
370210053.1,6
370210068.1,6
370210022.2,6
370210027.2,6
370210058.1,6
370210059.1,6
37191000004,13
37191000026,13
37191002530,13
3706100CALY,13
37191000028,13
37191000002,13
370210066.1,6
37143BETHEL,2
370210044.1,6
370210024.1,6
370210048.1,6
370210038.3,6
370210036.1,6
37111FORT-1,6
37111FORT-2,6
370210060.2,6
37035000019,12
37035000006,12
37035000002,12
370230029-B,12
370230029-A,12
3710900NB35,12
37035000030,12
37035000014,12
37035000032,12
37035000001,12
370210002.1,6
37035000017,12
37035000026,12
37035000024,12
37023000012,12
37023000013,12
37023000015,12
371350000SM,3
371350000CP,3
37063000044,3
371350000HE,3
37135000ENO,3
37063000045,3
37063000050,3
37153000004,8
370210011.1,6
370210045.1,6
370210039.2,6
370210039.3,6
370210037.1,6
370210003.1,6
370210054.2,6
370210018.2,6
370890000FL,6
370210052.1,6
37035000016,12
37035000029,12
37035000012,12
37035000023,12
371050000D1,3
371050000D2,9
371050000C1,9
371050000C2,9
371350000WD,3
37135000WDS,3
37153000009,8
371050000E1,9
371050000E2,9
3708500PR23,9
3708500PR26,5
3708500PR24,13
3710100PR14,13
3708500PR25,13
3708500PR29,13
370210047.1,6
37143PARKVI,2
37143NEW-HO,2
3706100WOLF,13
370210025.1,6
370210008.3,6
370210060.4,6
370210008.2,6
370210034.1,6
3706100MAGN,1
3716300ROWA,5
3716300INGO,5
3706100BEUL,1
37107000PH2,1
3706100KENA,1
37135000CS1,3
37153000008,8
37165006-89,8
37153000005,8
37165001-16,5
37155000019,5
3703100NPT2,1
3703100NPT1,1
3703100IBSP,1
3703100MHD2,1
3703100ABCH,1
3703100MHD1,1
3708500PR07,5
3706100WALL,1
3706100ROSE,1
3706100WARS,13
3716300TURK,13
3706100FAIS,13
3716300GIDD,13
3706100GLIS,1
37165000004,5
37165000003,5
37017000P80,5
37017000P45,5
3701700P202,5
37017000P55,5
3713300BC21,1
3713300ML23,1
37103000P07,1
3713300NR02,1
37143NICANO,2
37035000013,12
371350000NS,3
371350000WW,3
37019000016,5
370190004B2,1
3701900004A,1
37129000W03,1
37129000W26,1
37019000021,1
37019000007,1
37019000017,5
37019000019,5
37019000008,1
37019000020,1
37019000015,5
37153000002,8
37153000001,8
37153000013,8
37165002-25,5
371350000KM,3
37035000031,11
37035000008,12
371350000LC,3
37191000013,13
37191000007,13
37191000001,13
37191001920,13
37191000029,13
37191000012,13
37057000062,8
37057000066,8
37123000LIT,8
37055000KDH,2
370550000EL,2
3705500AVON,2
3705500KTHK,2
3705500SOSH,2
370210023.3,6
370210021.1,6
370210023.2,6
370210014.3,6
370210042.1,6
370210067.1,6
370210012.1,6
370210033.3,6
37119000202,11
37119000206,11
37119000201,14
37119000097,4
37119000114,4
37119000134,11
37119000087,4
371190223.1,4
37119000011,4
37119000019,4
37119000227,14
37119000208,11
370970DV1-B,11
370970DV2-B,11
371190139.1,14
37119000236,14
371350000GB,3
371350000OG,3
3700100009S,3
371350000WH,3
3713500000H,3
371350000EF,3
37153000010,8
371350000CW,3
37063000025,3
37063000026,3
3707700BERE,10
37069000013,13
37035000041,11
37035000020,12
37035000037,12
37035000003,12
37035000040,12
37035000035,12
37035000025,12
3710100PR09,13
371010PR29B,13
3710100PR13,13
3710100PR34,13
3710100PR08,13
3710100PR36,13
37083000HPR,2
3710100PR20,13
37183009-02,13
3710100PR35,13
3716300PLVW,13
3708500PR31,9
37119000237,14
371190204.1,14
37119000041,4
37119000081,4
37119000133,11
37119000054,4
37119000148,14
37119000062,14
3707700BTNR,10
3707700CORI,10
3707700SOOX,10
37173ALMOND,6
3707500EAST,6
37113000015,6
3707500STEC,6
37173000BC1,6
37173000BC2,6
37099000SDC,6
37099000QUA,6
370870000IH,6
37113000003,6
37113000007,6
371050000A1,9
371050000A2,9
3708500PR01,5
37051SL78-3,5
3708500PR08,9
3712700P02A,13
3712700P23A,2
3712700P17A,2
3712700P16A,2
3712700P04A,13
3712700P11A,13
3712700P14A,13
3712700P10A,13
3712700P03A,13
37153000006,8
37057000056,8
3708300ENF1,2
3712700P13A,2
371170000GN,2
370150000RX,2
370150000WD,2
370830BUTWD,2
37185000009,10
370830LIT-2,2
37185000001,10
37131LAKE-G,2
3708300RR-3,2
37083000RRC,2
37049000011,2
37049000007,2
37049000002,1
3703100STEL,1
37049000003,2
3704900VE14,2
37147000601,2
3712700P08A,13
3707700CRDL,10
3713300JA01,1
3713300BM08,1
371330NE22A,1
3713300VR15,1
3713300HU20,1
371330NE22B,1
3713300EN03,1
37035000034,12
3717300WHCH,6
3708500PR20,5
3705100LI65,5
3708500PR28,9
37183012-02,9
3708500PR32,9
37119000203,14
37119000216,14
37119000232,14
3710900IS23,12
37161000011,12
3716100006A,6
3714900CG05,6
37191000009,13
37191000015,13
37191000010,13
37191000024,13
3710100PR04,13
37057000058,8
37057000008,8
37057000020,8
37057000052,8
37057000016,7
37067000042,7
370210064.1,6
370210009.1,6
370210057.1,6
370210031.1,6
370210055.1,6
37119000224,4
37119000050,4
37119000069,14
37119000023,4
37119000063,14
37119000104,14
37119000229,4
37119000243,4
3712700P21A,2
3712700P19A,13
37037000018,3
37125000CAR,8
37037000020,9
371050000B1,9
37183006-10,9
37037MCH110,3
37037NWM117,9
371350000WC,3
37037000085,8
371510000SE,8
37037000030,3
37119000132,14
3716100005A,12
3710900LS12,12
3710900DW28,11
37161000028,6
37161000030,6
37161000013,12
3710900TA37,11
37057000054,8
371510000TB,8
37057000074,8
37057000048,7
37057000070,7
37123000CHE,8
3712700P20A,13
3712700P24A,13
3714900WO06,6
37161000018,6
3714900CL07,6
3714900SA04,6
370890000RR,6
37057000032,7
37057000004,7
37057000076,8
371510000TR,8
370830RR-10,2
37083WEL1-2,2
370830LIT-1,2
3704900DFB9,2
3704900CFB8,2
37147001001,2
3710700000C,2
37049000017,1
370490000N2,2
37037000015,3
37037000078,9
37037ESC114,3
37037000042,9
37037000006,8
37037000045,3
37099000GCK,6
37099000CUL,6
370210013.1,6
3714700800B,2
3714701512A,2
37119000022,4
37119000207,11
37119000242,11
37119000043,14
37119000136,14
37119000211,4
37119000241,11
37017000P65,5
37017000P10,5
37119000031,4
37119000088,4
37119000230,4
37119000205,14
37025001-04,14
37119000209,4
3710100PR22,13
37119000145,11
37119000239,11
37025002-09,11
37119000094,14
37119000141,14
37119000105,14
3714900CL08,6
37035000005,12
3714701513A,2
37119000213,4
37119000093,14
371750000CM,6
371750000BD,6
371750000WC,6
371750000PF,6
37147001501,2
371750000B4,6
371750000RE,6
37119000013,4
37119000026,4
37123000UWH,8
37123000PEE,8
37123000STA,8
37125000WEM,8
371230000T1,8
37123000CAN,8
37113000002,6
37113000014,6
37113000010,6
370210030.3,6
370210030.2,6
370890000NM,6
370210071.1,6
37147000301,2
37119000220,14
37119000058,4
37119000099,14
37119000233,14
37119000009,4
37119000140,4
37119000109,4
37155000002,5
3715500032A,5
37155000023,5
37155000022,5
37155000016,5
37017000P60,5
3701700P201,5
37047000P15,5
37119000231,4
37017000P25,5
37047000P18,5
37017000P40,5
3700300LRSL,12
3700300T2T3,12
37019000006,1
37019000022,1
37019000023,1
37099000SAV,6
37113000012,6
3704300SHCR,6
3703100BFT2,1
3703100EMIS,1
3713300SW19,1
3703100BFT1,1
3703100DASW,2
3703100BOGU,1
3704700P22A,5
3704700P20A,5
3704700P01A,5
37047000P24,5
3704700P26B,5
3704700P16B,5
37047000P09,5
37047000P08,5
37023000051,12
37009000009,12
37093000063,5
37093000061,5
37155000039,5
37185000010,10
371070000K6,2
3710700000W,1
37103000P06,1
37107000PH1,1
3703100CISL,2
3703100ATSL,2
370870000EF,6
3714500PNTH,3
3708700WS-2,6
37009000020,12
37009000014,12
37009000012,12
37009000011,12
37023000014,12
37023000036,12
37023000035,12
37023000065,12
370870000AC,6
37093000062,5
37119000016,4
37069000019,10
37069000009,13
37049000020,2
371370001RB,2
3704900TE13,2
37049000019,2
37049000021,2
370490000N4,2
37049000016,2
3719500PRWB,13
3719500PRWL,13
3719500PRTO,13
3719500PRWN,13
3719500PRWJ,13
3719500PRCR,13
3719500PRSP,13
3703100MCRK,1
3703100BCRK,1
3703100WILD,1
3703100CCCP,1
3703100MERR,2
37009000004,12
37009000015,12
3700500006A,12
37193000125,12
37017000P30,5
3704700P02B,5
37047000P14,1
3703100MASM,1
3700300S1S2,12
3719500PRWQ,13
3719500PRWI,13
3719500PRTA,13
3703100MHD4,1
3710900ST36,12
37035000009,12
3716100016A,6
37111M.COVE,6
3716100004A,12
3710900LI14,12
3710900SL24,12
37161000014,12
37161000029,12
37023000052,12
37023000001,12
37009000007,12
3708700CL-S,6
3708700CL-N,6
3714500ALVI,10
3714500CUCL,3
3714500WDSD,3
370870000BC,6
37093000012,5
37171000031,7
37171000019,7
37171000023,7
3719500PRBL,13
37023000031,12
37023000021,12
37023000024,12
3701700P501,5
3702700PR33,12
3702700PR25,12
37171000029,7
37017000P15,5
3713300RL09,1
37093000013,5
37155000010,5
37155000021,5
370510G9B-1,5
37155000008,5
37155000009,5
37037PIT113,3
37037000009,3
3714701508A,2
3714701508B,2
37119000137,14
37069000015,10
37069000003,10
37069000008,13
37069000005,13
37069000016,10
37069000001,10
3700300000E,12
371510000AW,8
371510000SO,8
371510000DR,8
371510000GR,8
371510000PR,8
371510000AE,8
371570000DR,3
37161000027,6
3702700PR32,12
3702700PR21,12
37023000066,12
3702700PR22,12
37111DYSART,12
3700300000W,12
37093000064,5
3702700PR34,12
3702700PR35,12
3702700PR14,12
3701300RVRD,2
371570000MS,3
3716100009A,6
3714900GC09,6
37037000075,9
37037000024,8
37009000006,12
37023000040,12
37023000022,12
37069000018,10
37069000011,10
3710100PR37,13
3710100PR07,13
37191000003,13
3710100PR25,13
3710100PR26,13
37165005-10,5
370130AUROR,2
370130WASH4,2
371170000R2,2
371170000BG,2
3701300TCRK,2
3701300OLDF,2
370130EDWAR,2
370130BELHV,2
371170000CR,2
37147000401,2
3714701504A,2
3714701504B,2
3714701505B,2
37171000030,7
37171000005,7
3713300FS16,1
3713300HR17,1
3713300MT24,1
3714100SC13,1
3714100UH08,1
3714100SP15,1
3719500PROL,13
3712700P01A,13
3719500PRWE,13
3719500PRWM,13
3719500PRGA,2
371010PR31A,13
371010PR10A,13
371010PR10B,13
371010PR11B,13
371010PR29A,13
371010PR27A,13
371010PR27B,13
3710100PR30,13
3703300LEAS,3
37119000146,4
37119000225,4
37119000151,11
37119000065,14
37099000SCC,6
37047000P07,5
37113000013,6
37093000002,5
3715500026A,5
371070000K2,2
371570000EC,3
371570000WS,7
371510000LC,8
371510000UG,8
371570000RC,3
37115MARS-H,6
37019000005,1
37019000001,1
370830000SN,2
37099000BCK,6
37119000135,4
37119000014,4
37119000098,4
37183016-06,13
37183017-13,13
37183017-12,13
37183017-04,13
37183004-11,9
3704900N3N5,2
37155000041,5
37155000014,5
37183001-11,10
37183004-20,9
37183010-04,13
37183020-15,9
37183020-17,9
37183020-14,9
37183020-16,9
37183001-20,10
37183019-13,10
37183019-14,10
37183019-15,10
37183019-05,10
370150000M2,2
371510000AR,8
3712700P15A,13
3712700P07A,13
37083000HAL,2
37071000014,4
37071000039,4
37057000028,7
37103000P05,1
37103000P01,2
3705500STPT,2
371390NORTH,2
37057000046,7
37057000082,7
3708100MON1,3
37081000G06,3
3713900EAST,2
37183001-45,10
37183001-40,10
37071000023,4
37023000011,12
370030000B1,12
3719700BNVL,7
3719700SKNB,7
3702700PR01,12
3702700PR18,12
37057000012,8
370510G9B-2,5
37051000G9A,5
370510G3A-1,5
370510G3A-2,5
37051000G8D,5
3705100CC12,5
3705100CC14,5
3705100CC07,5
3706100ALBE,1
37019000014,1
37019000013,1
3701900010A,1
3701900010B,1
37057000088,7
37081000H15,8
37057000018,8
37057000072,8
37057000060,8
37081000H22,8
37081NCLAY2,3
3708100JEF1,3
370810NWASH,3
37081000G35,8
37167000026,8
37081000G52,8
37001000127,3
3700100012N,3
37001000013,3
3700100006E,3
37001000063,3
3719903-EGY,6
37183010-03,13
37183004-05,9
37071000021,4
37003T1T4T5,12
37183017-11,10
37183001-50,10
37183010-02,13
37183008-02,10
37183020-08,9
37183001-15,10
37183001-49,9
3705100CC33,5
3705100CC01,5
37125000PBF,8
37125000LTR,5
37125000PHC,8
37125000EAB,8
37125000PDN,8
37093000004,8
37169000017,7
37169000015,7
37169000007,7
371510000BC,8
371510000AS,8
371510000LB,3
37001000001,3
370130000HB,2
37081000H04,8
3708100JAM5,8
37169000004,7
37169000020,7
37169001819,7
37169001618,7
37095000ENG,2
37169000009,7
371370003BY,2
370510G2C-2,5
37051000G2A,5
370510G2E-2,5
37051000G2B,5
370510G2C-1,5
3705100G11B,5
37051000G2D,5
3705100CC17,5
370510G2E-1,5
370510G5A-2,5
370510G5B-1,5
370510G5A-1,5
37051000G5C,5
370510G5B-2,5
37051000G8A,5
37051000G8B,5
37051000G8C,5
3705100AH49,5
37051000G6A,5
37051000G6C,5
37051000G6B,5
37017000P70,5
3716300CLEM,5
37071000017,4
371170000R1,2
371170000HM,2
3711700000J,2
370130PINET,2
370150000MH,2
371570000HO,7
37081000FR4,7
37081000H09,8
37081000H08,8
37081000G29,8
37169000008,7
37169000013,7
37169000012,7
37081000RC2,3
37125000WAB,8
37125000WND,8
37037000003,3
37019000002,1
37189000011,12
37189000014,12
37115LAUREL,6
37001000002,3
37001000005,3
3703300ANDE,3
3703300STON,3
37001000011,3
371350000CA,3
370330000PH,3
37001000007,3
3700100008S,3
37071000025,4
37071000028,4
37071000029,4
3713704VM-A,2
3713704MSIC,2
371510000NM,8
371510000RN,8
371510000RM,8
37193000106,12
37189000005,12
37081000G61,8
37081000G48,8
37081000G50,8
37081000H01,8
37081000PG2,8
37155000035,5
37185000012,10
370130BEADM,2
37193000124,7
37171000001,7
37193000107,7
37193000128,12
37193000103,12
37193000122,11
3719700SBCK,11
370810MON2B,3
370810MON2A,3
37081000FR1,8
371150BEECH,6
370210051.2,6
371510000ST,8
37051CL57-1,5
3705100CC27,5
