GEOID,DISTRICT
370210001.1,14
370210053.1,14
370210068.1,14
370210022.2,14
370210027.2,14
370210058.1,14
370210059.1,14
37191000004,5
37191000026,3
37191002530,3
3706100CALY,3
37191000028,3
37191000002,5
370210066.1,14
37143BETHEL,7
370210044.1,14
370210024.1,14
370210048.1,14
370210038.3,14
370210036.1,14
37111FORT-1,14
37111FORT-2,14
370210060.2,14
37035000019,8
37035000006,8
37035000002,8
370230029-B,8
370230029-A,8
3710900NB35,8
37035000030,8
37035000014,8
37035000032,8
37035000001,8
370210002.1,14
37035000017,8
37035000026,8
37035000024,8
37023000012,8
37023000013,8
37023000015,8
371350000SM,12
371350000CP,12
37063000044,12
371350000HE,12
37135000ENO,12
37063000045,12
37063000050,12
37153000004,9
370210011.1,14
370210045.1,14
370210039.2,14
370210039.3,14
370210037.1,14
370210003.1,14
370210054.2,14
370210018.2,14
370890000FL,14
370210052.1,14
37035000016,8
37035000029,8
37035000012,8
37035000023,8
371050000D1,9
371050000D2,9
371050000C1,9
371050000C2,9
371350000WD,12
37135000WDS,12
37153000009,9
371050000E1,9
371050000E2,9
3708500PR23,9
3708500PR26,3
3708500PR24,3
3710100PR14,6
3708500PR25,3
3708500PR29,3
370210047.1,14
37143PARKVI,7
37143NEW-HO,7
3706100WOLF,3
370210025.1,14
370210008.3,14
370210060.4,14
370210008.2,14
370210034.1,14
3706100MAGN,3
3716300ROWA,3
3716300INGO,3
3706100BEUL,10
37107000PH2,10
3706100KENA,10
37135000CS1,12
37153000008,9
37165006-89,9
37153000005,9
37165001-16,9
37155000019,9
3703100NPT2,10
3703100NPT1,10
3703100IBSP,10
3703100MHD2,10
3703100ABCH,10
3703100MHD1,10
3708500PR07,9
3706100WALL,10
3706100ROSE,3
3706100WARS,3
3716300TURK,3
3706100FAIS,3
3716300GIDD,3
3706100GLIS,10
37165000004,9
37165000003,9
37017000P80,3
37017000P45,3
3701700P202,3
37017000P55,3
3713300BC21,10
3713300ML23,10
37103000P07,10
3713300NR02,10
37143NICANO,7
37035000013,8
371350000NS,12
371350000WW,12
37019000016,3
370190004B2,10
3701900004A,10
37129000W03,10
37129000W26,10
37019000021,10
37019000007,10
37019000017,3
37019000019,3
37019000008,10
37019000020,3
37019000015,3
37153000002,9
37153000001,9
37153000013,9
37165002-25,9
371350000KM,12
37035000031,11
37035000008,8
371350000LC,12
37191000013,5
37191000007,7
37191000001,5
37191001920,5
37191000029,5
37191000012,5
37057000062,13
37057000066,13
37123000LIT,9
37055000KDH,7
370550000EL,7
3705500AVON,7
3705500KTHK,7
3705500SOSH,7
370210023.3,14
370210021.1,14
370210023.2,14
370210014.3,14
370210042.1,14
370210067.1,14
370210012.1,14
370210033.3,14
37119000202,2
37119000206,2
37119000201,4
37119000097,4
37119000114,4
37119000134,11
37119000087,4
371190223.1,11
37119000011,11
37119000019,4
37119000227,4
37119000208,2
370970DV1-B,2
370970DV2-B,2
371190139.1,4
37119000236,4
371350000GB,12
371350000OG,9
3700100009S,9
371350000WH,12
3713500000H,12
371350000EF,12
37153000010,9
371350000CW,12
37063000025,12
37063000026,12
3707700BERE,12
37069000013,5
37035000041,11
37035000020,8
37035000037,8
37035000003,8
37035000040,8
37035000035,8
37035000025,8
3710100PR09,5
371010PR29B,5
3710100PR13,6
3710100PR34,5
3710100PR08,5
3710100PR36,5
37083000HPR,7
3710100PR20,5
37183009-02,5
3710100PR35,3
3716300PLVW,3
3708500PR31,3
37119000237,2
371190204.1,2
37119000041,11
37119000081,11
37119000133,2
37119000054,11
37119000148,4
37119000062,4
3707700BTNR,12
3707700CORI,12
3707700SOOX,12
37173ALMOND,14
3707500EAST,14
37113000015,14
3707500STEC,14
37173000BC1,14
37173000BC2,14
37099000SDC,14
37099000QUA,14
370870000IH,14
37113000003,14
37113000007,14
371050000A1,9
371050000A2,9
3708500PR01,9
37051SL78-3,9
3708500PR08,6
3712700P02A,5
3712700P23A,7
3712700P17A,7
3712700P16A,7
3712700P04A,5
3712700P11A,5
3712700P14A,7
3712700P10A,5
3712700P03A,5
37153000006,9
37057000056,9
3708300ENF1,7
3712700P13A,7
371170000GN,7
370150000RX,7
370150000WD,7
370830BUTWD,7
37185000009,5
370830LIT-2,7
37185000001,5
37131LAKE-G,7
3708300RR-3,7
37083000RRC,7
37049000011,7
37049000007,7
37049000002,10
3703100STEL,10
37049000003,10
3704900VE14,7
37147000601,7
3712700P08A,5
3707700CRDL,12
3713300JA01,10
3713300BM08,10
371330NE22A,10
3713300VR15,10
3713300HU20,10
371330NE22B,10
3713300EN03,10
37035000034,8
3717300WHCH,14
3708500PR20,3
3705100LI65,3
3708500PR28,6
37183012-02,6
3708500PR32,3
37119000203,4
37119000216,4
37119000232,4
3710900IS23,11
37161000011,8
3716100006A,14
3714900CG05,14
37191000009,5
37191000015,3
37191000010,5
37191000024,3
3710100PR04,3
37057000058,2
37057000008,13
37057000020,13
37057000052,13
37057000016,13
37067000042,13
370210064.1,14
370210009.1,14
370210057.1,14
370210031.1,14
370210055.1,14
37119000224,11
37119000050,11
37119000069,4
37119000023,11
37119000063,4
37119000104,4
37119000229,11
37119000243,11
3712700P21A,7
3712700P19A,7
37037000018,9
37125000CAR,9
37037000020,9
371050000B1,9
37183006-10,6
37037MCH110,9
37037NWM117,12
371350000WC,9
37037000085,9
371510000SE,9
37037000030,9
37119000132,2
3716100005A,8
3710900LS12,11
3710900DW28,11
37161000028,14
37161000030,14
37161000013,8
3710900TA37,11
37057000054,9
371510000TB,9
37057000074,13
37057000048,13
37057000070,13
37123000CHE,9
3712700P20A,7
3712700P24A,7
3714900WO06,14
37161000018,14
3714900CL07,14
3714900SA04,14
370890000RR,14
37057000032,13
37057000004,13
37057000076,13
371510000TR,1
370830RR-10,7
37083WEL1-2,7
370830LIT-1,7
3704900DFB9,7
3704900CFB8,7
37147001001,7
3710700000C,7
37049000017,10
370490000N2,7
37037000015,9
37037000078,9
37037ESC114,9
37037000042,9
37037000006,9
37037000045,9
37099000GCK,14
37099000CUL,14
370210013.1,14
3714700800B,7
3714701512A,7
37119000022,11
37119000207,2
37119000242,11
37119000043,4
37119000136,4
37119000211,11
37119000241,2
37017000P65,3
37017000P10,3
37119000031,11
37119000088,4
37119000230,11
37119000205,2
37025001-04,2
37119000209,11
3710100PR22,5
37119000145,2
37119000239,2
37025002-09,2
37119000094,4
37119000141,2
37119000105,2
3714900CL08,14
37035000005,8
3714701513A,7
37119000213,11
37119000093,4
371750000CM,14
371750000BD,14
371750000WC,14
371750000PF,14
37147001501,7
371750000B4,14
371750000RE,14
37119000013,11
37119000026,11
37123000UWH,9
37123000PEE,9
37123000STA,9
37125000WEM,9
371230000T1,9
37123000CAN,9
37113000002,14
37113000014,14
37113000010,14
370210030.3,14
370210030.2,14
370890000NM,14
370210071.1,14
37147000301,7
37119000220,4
37119000058,11
37119000099,4
37119000233,4
37119000009,11
37119000140,4
37119000109,4
37155000002,3
3715500032A,3
37155000023,3
37155000022,3
37155000016,3
37017000P60,3
3701700P201,3
37047000P15,3
37119000231,4
37017000P25,3
37047000P18,3
37017000P40,3
3700300LRSL,8
3700300T2T3,8
37019000006,10
37019000022,10
37019000023,10
37099000SAV,14
37113000012,14
3704300SHCR,14
3703100BFT2,10
3703100EMIS,10
3713300SW19,10
3703100BFT1,10
3703100DASW,7
3703100BOGU,10
3704700P22A,3
3704700P20A,3
3704700P01A,3
37047000P24,3
3704700P26B,3
3704700P16B,3
37047000P09,3
37047000P08,3
37023000051,8
37009000009,8
37093000063,9
37093000061,9
37155000039,3
37185000010,5
371070000K6,7
3710700000W,10
37103000P06,10
37107000PH1,10
3703100CISL,7
3703100ATSL,7
370870000EF,14
3714500PNTH,12
3708700WS-2,14
37009000020,8
37009000014,8
37009000012,8
37009000011,8
37023000014,8
37023000036,8
37023000035,8
37023000065,8
370870000AC,14
37093000062,9
37119000016,11
37069000019,5
37069000009,5
37049000020,7
371370001RB,7
3704900TE13,7
37049000019,10
37049000021,10
370490000N4,7
37049000016,10
3719500PRWB,5
3719500PRWL,5
3719500PRTO,7
3719500PRWN,7
3719500PRWJ,5
3719500PRCR,5
3719500PRSP,5
3703100MCRK,10
3703100BCRK,10
3703100WILD,10
3703100CCCP,10
3703100MERR,7
37009000004,8
37009000015,8
3700500006A,8
37193000125,8
37017000P30,3
3704700P02B,3
37047000P14,3
3703100MASM,10
3700300S1S2,8
3719500PRWQ,5
3719500PRWI,5
3719500PRTA,5
3703100MHD4,10
3710900ST36,8
37035000009,8
3716100016A,14
37111M.COVE,14
3716100004A,8
3710900LI14,11
3710900SL24,11
37161000014,8
37161000029,8
37023000052,8
37023000001,8
37009000007,8
3708700CL-S,14
3708700CL-N,14
3714500ALVI,12
3714500CUCL,12
3714500WDSD,12
370870000BC,14
37093000012,3
37171000031,13
37171000019,13
37171000023,13
3719500PRBL,5
37023000031,8
37023000021,8
37023000024,8
3701700P501,3
3702700PR33,8
3702700PR25,8
37171000029,13
37017000P15,3
3713300RL09,10
37093000013,3
37155000010,3
37155000021,3
370510G9B-1,3
37155000008,3
37155000009,3
37037PIT113,9
37037000009,9
3714701508A,7
3714701508B,7
37119000137,4
37069000015,5
37069000003,5
37069000008,5
37069000005,5
37069000016,5
37069000001,5
3700300000E,8
371510000AW,9
371510000SO,9
371510000DR,9
371510000GR,9
371510000PR,9
371510000AE,9
371570000DR,1
37161000027,14
3702700PR32,8
3702700PR21,8
37023000066,8
3702700PR22,8
37111DYSART,8
3700300000W,8
37093000064,9
3702700PR34,8
3702700PR35,8
3702700PR14,8
3701300RVRD,7
371570000MS,1
3716100009A,14
3714900GC09,14
37037000075,12
37037000024,9
37009000006,8
37023000040,8
37023000022,8
37069000018,5
37069000011,5
3710100PR37,3
3710100PR07,5
37191000003,5
3710100PR25,5
3710100PR26,5
37165005-10,9
370130AUROR,7
370130WASH4,7
371170000R2,7
371170000BG,7
3701300TCRK,7
3701300OLDF,7
370130EDWAR,7
370130BELHV,7
371170000CR,7
37147000401,7
3714701504A,7
3714701504B,7
3714701505B,7
37171000030,8
37171000005,13
3713300FS16,10
3713300HR17,10
3713300MT24,10
3714100SC13,10
3714100UH08,10
3714100SP15,10
3719500PROL,5
3712700P01A,5
3719500PRWE,5
3719500PRWM,5
3719500PRGA,7
371010PR31A,6
371010PR10A,5
371010PR10B,5
371010PR11B,5
371010PR29A,5
371010PR27A,5
371010PR27B,5
3710100PR30,5
3703300LEAS,1
37119000146,2
37119000225,11
37119000151,2
37119000065,4
37099000SCC,14
37047000P07,3
37113000013,14
37093000002,9
3715500026A,3
371070000K2,7
371570000EC,1
371570000WS,1
371510000LC,9
371510000UG,9
371570000RC,1
37115MARS-H,14
37019000005,10
37019000001,3
370830000SN,7
37099000BCK,14
37119000135,11
37119000014,11
37119000098,11
37183016-06,6
37183017-13,5
37183017-12,5
37183017-04,5
37183004-11,6
3704900N3N5,7
37155000041,3
37155000014,3
37183001-11,6
37183004-20,6
37183010-04,5
37183020-15,12
37183020-17,12
37183020-14,12
37183020-16,12
37183001-20,6
37183019-13,5
37183019-14,5
37183019-15,5
37183019-05,5
370150000M2,7
371510000AR,1
3712700P15A,5
3712700P07A,5
37083000HAL,7
37071000014,11
37071000039,11
37057000028,13
37103000P05,10
37103000P01,10
3705500STPT,7
371390NORTH,7
37057000046,13
37057000082,13
3708100MON1,1
37081000G06,1
3713900EAST,7
37183001-45,6
37183001-40,6
37071000023,11
37023000011,8
370030000B1,8
3719700BNVL,13
3719700SKNB,8
3702700PR01,8
3702700PR18,8
37057000012,9
370510G9B-2,3
37051000G9A,3
370510G3A-1,3
370510G3A-2,3
37051000G8D,3
3705100CC12,3
3705100CC14,3
3705100CC07,3
3706100ALBE,10
37019000014,3
37019000013,3
3701900010A,10
3701900010B,10
37057000088,13
37081000H15,13
37057000018,9
37057000072,13
37057000060,13
37081000H22,13
37081NCLAY2,1
3708100JEF1,1
370810NWASH,1
37081000G35,1
37167000026,9
37081000G52,1
37001000127,1
3700100012N,1
37001000013,1
3700100006E,1
37001000063,1
3719903-EGY,14
37183010-03,5
37183004-05,6
37071000021,11
37003T1T4T5,8
37183017-11,5
37183001-50,6
37183010-02,5
37183008-02,12
37183020-08,6
37183001-15,6
37183001-49,6
3705100CC33,3
3705100CC01,3
37125000PBF,9
37125000LTR,9
37125000PHC,9
37125000EAB,9
37125000PDN,9
37093000004,9
37169000017,13
37169000015,13
37169000007,13
371510000BC,9
371510000AS,9
371510000LB,9
37001000001,9
370130000HB,7
37081000H04,1
3708100JAM5,1
37169000004,13
37169000020,13
37169001819,13
37169001618,13
37095000ENG,7
37169000009,13
371370003BY,7
370510G2C-2,3
37051000G2A,3
370510G2E-2,3
37051000G2B,3
370510G2C-1,3
3705100G11B,9
37051000G2D,3
3705100CC17,3
370510G2E-1,3
370510G5A-2,3
370510G5B-1,3
370510G5A-1,3
37051000G5C,3
370510G5B-2,3
37051000G8A,3
37051000G8B,3
37051000G8C,3
3705100AH49,3
37051000G6A,3
37051000G6C,3
37051000G6B,3
37017000P70,3
3716300CLEM,3
37071000017,11
371170000R1,7
371170000HM,7
3711700000J,7
370130PINET,7
370150000MH,7
371570000HO,1
37081000FR4,1
37081000H09,1
37081000H08,1
37081000G29,1
37169000008,13
37169000013,13
37169000012,13
37081000RC2,1
37125000WAB,9
37125000WND,9
37037000003,9
37019000002,10
37189000011,8
37189000014,8
37115LAUREL,14
37001000002,9
37001000005,1
3703300ANDE,1
3703300STON,1
37001000011,1
371350000CA,1
370330000PH,1
37001000007,9
3700100008S,9
37071000025,11
37071000028,11
37071000029,11
3713704VM-A,7
3713704MSIC,7
371510000NM,9
371510000RN,9
371510000RM,9
37193000106,8
37189000005,8
37081000G61,1
37081000G48,1
37081000G50,1
37081000H01,13
37081000PG2,1
37155000035,3
37185000012,5
370130BEADM,7
37193000124,8
37171000001,8
37193000107,8
37193000128,8
37193000103,8
37193000122,8
3719700SBCK,8
370810MON2B,1
370810MON2A,1
37081000FR1,1
371150BEECH,14
370210051.2,14
371510000ST,9
37051CL57-1,3
3705100CC27,3
3705100G10C,3
3705100G10A,3
3705100G10B,3
37125000VSS,9
3712500EKWD,9
3712500WKWD,9
37125000CAM,9
37051CL57-2,3
37051000G3B,3
37051000G3C,3
3705100LR63,3
3710900HC33,8
3710900OB21,11
3710900LN11,8
3706100ROCK,3
3716300HARR,3
3706100CYCK,10
3713300CL10,10
3713300NM13,10
3706100SMCA,10
3714500SWST,12
3708700WS-1,14
3714500ROX4,12
37065001001,7
3715500018A,3
3719901-BUR,14
3719908-CRA,14
37065001203,7
37065001204,7
37065000101,7
370870000CR,14
3708700FC-2,14
3713300HN14,10
370950000BM,7
370130PANTE,7
37183004-18,6
37183001-23,6
3712700P05A,5
37081000G75,1
37081000SF1,1
37081000OR1,1
37081000G47,1
37081000G74,1
37167000010,9
37167000013,9
37167000023,2
37081000G53,1
3708100SMAD,1
37081000G65,1
37081000G51,1
37167000008,9
37167000015,9
3708100JEF2,1
37081000G72,1
371150SOUTH,14
37115WALNUT,14
37019000011,3
3701300WDPD,7
371170000W2,7
370150000W1,7
370130WASHP,7
3708100SDRI,1
37081000G64,1
3708100SUM2,1
3708100H19A,1
37081000G15,1
37081000GIB,1
37167000017,9
37159000022,9
37081NCLAY1,1
3713300TL06,10
3713300GB12,10
371570000SE,1
371570000HU,1
371570000MC,1
370890000SW,14
3708100MON3,1
371570000IR,1
37081000G44,1
37081000G67,1
37081000G32,1
37081000H03,13
370810000GR,9
3714100PL10,3
3714100UU17,3
3708700000P,14
3708700BE-1,14
3708700BE-3,14
3714500MTTZ,12
37063000028,12
370890000RG,14
370890000SE,14
3708900HV-2,14
370890000SB,14
370890000GR,14
3714500RCTL,12
37057000024,13
37057000036,13
37057000050,13
3716300AUTR,3
37179000009,4
37179000006,4
3717900020B,4
37179000043,4
37179000039,4
37179000015,4
37179000040,4
37179000008,4
3717900029C,4
3701300NCRK,7
370130SURBA,7
37045000S-C,8
3704500KM-S,11
