GEOID,DISTRICT
370210001.1,3
370210053.1,3
370210068.1,3
370210022.2,3
370210027.2,3
370210058.1,3
370210059.1,3
37191000004,1
37191000026,1
37191002530,1
3706100CALY,1
37191000028,1
37191000002,1
370210066.1,3
37143BETHEL,7
370210044.1,3
370210024.1,3
370210048.1,3
370210038.3,3
370210036.1,3
37111FORT-1,3
37111FORT-2,3
370210060.2,3
37035000019,4
37035000006,4
37035000002,4
370230029-B,4
370230029-A,4
3710900NB35,4
37035000030,4
37035000014,4
37035000032,4
37035000001,4
370210002.1,3
37035000017,4
37035000026,4
37035000024,4
37023000012,4
37023000013,4
37023000015,4
371350000SM,14
371350000CP,14
37063000044,14
371350000HE,14
37135000ENO,14
37063000045,14
37063000050,14
37153000004,13
370210011.1,3
370210045.1,3
370210039.2,3
370210039.3,3
370210037.1,3
370210003.1,3
370210054.2,3
370210018.2,3
370890000FL,3
370210052.1,3
37035000016,4
37035000029,4
37035000012,4
37035000023,4
371050000D1,13
371050000D2,13
371050000C1,13
371050000C2,13
371350000WD,14
37135000WDS,14
37153000009,13
371050000E1,11
371050000E2,11
3708500PR23,11
3708500PR26,11
3708500PR24,11
3710100PR14,11
3708500PR25,11
3708500PR29,11
370210047.1,3
37143PARKVI,7
37143NEW-HO,7
3706100WOLF,1
370210025.1,3
370210008.3,3
370210060.4,3
370210008.2,3
370210034.1,3
3706100MAGN,2
3716300ROWA,2
3716300INGO,2
3706100BEUL,2
37107000PH2,1
3706100KENA,2
37135000CS1,14
37153000008,13
37165006-89,13
37153000005,13
37165001-16,13
37155000019,13
3703100NPT2,7
3703100NPT1,7
3703100IBSP,7
3703100MHD2,7
3703100ABCH,7
3703100MHD1,7
3708500PR07,11
3706100WALL,2
3706100ROSE,2
3706100WARS,2
3716300TURK,2
3706100FAIS,2
3716300GIDD,2
3706100GLIS,1
37165000004,13
37165000003,13
37017000P80,2
37017000P45,2
3701700P202,2
37017000P55,2
3713300BC21,7
3713300ML23,7
37103000P07,7
3713300NR02,7
37143NICANO,7
37035000013,4
371350000NS,14
371350000WW,14
37019000016,2
370190004B2,2
3701900004A,2
37129000W03,2
37129000W26,2
37019000021,2
37019000007,2
37019000017,2
37019000019,2
37019000008,2
37019000020,2
37019000015,2
37153000002,13
37153000001,13
37153000013,13
37165002-25,13
371350000KM,14
37035000031,6
37035000008,4
371350000LC,14
37191000013,1
37191000007,1
37191000001,1
37191001920,1
37191000029,1
37191000012,1
37057000062,10
37057000066,10
37123000LIT,13
37055000KDH,7
370550000EL,7
3705500AVON,7
3705500KTHK,7
3705500SOSH,7
370210023.3,3
370210021.1,3
370210023.2,3
370210014.3,3
370210042.1,3
370210067.1,3
370210012.1,3
370210033.3,3
37119000202,12
37119000206,12
37119000201,5
37119000097,5
37119000114,5
37119000134,6
37119000087,5
371190223.1,6
37119000011,6
37119000019,5
37119000227,5
37119000208,12
370970DV1-B,12
370970DV2-B,12
371190139.1,5
37119000236,5
371350000GB,14
371350000OG,14
3700100009S,14
371350000WH,14
3713500000H,14
371350000EF,14
37153000010,13
371350000CW,14
37063000025,14
37063000026,14
3707700BERE,14
37069000013,1
37035000041,6
37035000020,4
37035000037,4
37035000003,4
37035000040,4
37035000035,4
37035000025,4
3710100PR09,1
371010PR29B,1
3710100PR13,11
3710100PR34,11
3710100PR08,1
3710100PR36,1
37083000HPR,1
3710100PR20,1
37183009-02,1
3710100PR35,11
3716300PLVW,11
3708500PR31,11
37119000237,12
371190204.1,12
37119000041,6
37119000081,6
37119000133,12
37119000054,6
37119000148,5
37119000062,5
3707700BTNR,14
3707700CORI,9
3707700SOOX,9
37173ALMOND,3
3707500EAST,3
37113000015,3
3707500STEC,3
37173000BC1,3
37173000BC2,3
37099000SDC,3
37099000QUA,3
370870000IH,3
37113000003,3
37113000007,3
371050000A1,13
371050000A2,11
3708500PR01,11
37051SL78-3,13
3708500PR08,11
3712700P02A,1
3712700P23A,1
3712700P17A,1
3712700P16A,1
3712700P04A,1
3712700P11A,1
3712700P14A,1
3712700P10A,1
3712700P03A,1
37153000006,13
37057000056,13
3708300ENF1,1
3712700P13A,1
371170000GN,1
370150000RX,7
370150000WD,7
370830BUTWD,1
37185000009,1
370830LIT-2,1
37185000001,1
37131LAKE-G,1
3708300RR-3,1
37083000RRC,1
37049000011,7
37049000007,7
37049000002,7
3703100STEL,7
37049000003,7
3704900VE14,7
37147000601,7
3712700P08A,1
3707700CRDL,9
3713300JA01,7
3713300BM08,7
371330NE22A,7
3713300VR15,2
3713300HU20,7
371330NE22B,7
3713300EN03,7
37035000034,4
3717300WHCH,3
3708500PR20,11
3705100LI65,11
3708500PR28,11
37183012-02,11
3708500PR32,11
37119000203,5
37119000216,5
37119000232,5
3710900IS23,6
37161000011,4
3716100006A,3
3714900CG05,3
37191000009,1
37191000015,1
37191000010,1
37191000024,1
3710100PR04,1
37057000058,12
37057000008,10
37057000020,10
37057000052,10
37057000016,10
37067000042,10
370210064.1,3
370210009.1,3
370210057.1,3
370210031.1,3
370210055.1,3
37119000224,6
37119000050,6
37119000069,5
37119000023,6
37119000063,5
37119000104,5
37119000229,6
37119000243,6
3712700P21A,1
3712700P19A,1
37037000018,13
37125000CAR,13
37037000020,11
371050000B1,11
37183006-10,11
37037MCH110,14
37037NWM117,14
371350000WC,14
37037000085,13
371510000SE,13
37037000030,14
37119000132,5
3716100005A,4
3710900LS12,4
3710900DW28,6
37161000028,3
37161000030,3
37161000013,4
3710900TA37,6
37057000054,10
371510000TB,8
37057000074,10
37057000048,10
37057000070,10
37123000CHE,13
3712700P20A,1
3712700P24A,1
3714900WO06,3
37161000018,3
3714900CL07,3
3714900SA04,3
370890000RR,3
37057000032,10
37057000004,10
37057000076,10
371510000TR,8
370830RR-10,1
37083WEL1-2,1
370830LIT-1,1
3704900DFB9,7
3704900CFB8,7
37147001001,7
3710700000C,1
37049000017,7
370490000N2,7
37037000015,14
37037000078,14
37037ESC114,13
37037000042,11
37037000006,13
37037000045,11
37099000GCK,3
37099000CUL,3
370210013.1,3
3714700800B,1
3714701512A,1
37119000022,6
37119000207,12
37119000242,6
37119000043,5
37119000136,5
37119000211,6
37119000241,12
37017000P65,2
37017000P10,2
37119000031,6
37119000088,5
37119000230,6
37119000205,5
37025001-04,12
37119000209,6
3710100PR22,1
37119000145,12
37119000239,12
37025002-09,12
37119000094,5
37119000141,12
37119000105,12
3714900CL08,3
37035000005,4
3714701513A,7
37119000213,6
37119000093,5
371750000CM,3
371750000BD,3
371750000WC,3
371750000PF,3
37147001501,7
371750000B4,3
371750000RE,3
37119000013,6
37119000026,6
37123000UWH,13
37123000PEE,13
37123000STA,13
37125000WEM,13
371230000T1,13
37123000CAN,13
37113000002,3
37113000014,3
37113000010,3
370210030.3,3
370210030.2,3
370890000NM,3
370210071.1,3
37147000301,1
37119000220,5
37119000058,6
37119000099,5
37119000233,5
37119000009,6
37119000140,5
37119000109,6
37155000002,2
3715500032A,2
37155000023,13
37155000022,13
37155000016,2
37017000P60,2
3701700P201,2
37047000P15,2
37119000231,5
37017000P25,2
37047000P18,2
37017000P40,2
3700300LRSL,4
3700300T2T3,4
37019000006,2
37019000022,2
37019000023,2
37099000SAV,3
37113000012,3
3704300SHCR,3
3703100BFT2,7
3703100EMIS,7
3713300SW19,7
3703100BFT1,7
3703100DASW,7
3703100BOGU,7
3704700P22A,2
3704700P20A,2
3704700P01A,2
37047000P24,2
3704700P26B,2
3704700P16B,2
37047000P09,2
37047000P08,2
37023000051,4
37009000009,4
37093000063,13
37093000061,13
37155000039,13
37185000010,1
371070000K6,1
3710700000W,1
37103000P06,1
37107000PH1,1
3703100CISL,7
3703100ATSL,7
370870000EF,3
3714500PNTH,14
3708700WS-2,3
37009000020,4
37009000014,4
37009000012,4
37009000011,4
37023000014,4
37023000036,4
37023000035,4
37023000065,4
370870000AC,3
37093000062,13
37119000016,6
37069000019,9
37069000009,1
37049000020,7
371370001RB,7
3704900TE13,7
37049000019,7
37049000021,7
