GEOID,DISTRICT
370210001.1,5
370210053.1,5
370210068.1,5
370210022.2,5
370210027.2,5
370210058.1,5
370210059.1,5
37191000004,9
37191000026,9
37191002530,9
3706100CALY,9
37191000028,9
37191000002,9
370210066.1,5
37143BETHEL,11
370210044.1,5
370210024.1,5
370210048.1,5
370210038.3,5
370210036.1,5
37111FORT-1,5
37111FORT-2,5
370210060.2,5
37035000019,8
37035000006,8
37035000002,8
370230029-B,8
370230029-A,8
3710900NB35,8
37035000030,8
37035000014,8
37035000032,8
37035000001,8
370210002.1,5
37035000017,8
37035000026,8
37035000024,8
37023000012,8
37023000013,8
37023000015,8
371350000SM,13
371350000CP,13
37063000044,13
371350000HE,13
37135000ENO,13
37063000045,13
37063000050,13
37153000004,10
370210011.1,5
370210045.1,5
370210039.2,5
370210039.3,5
370210037.1,5
370210003.1,5
370210054.2,5
370210018.2,5
370890000FL,5
370210052.1,5
37035000016,8
37035000029,8
37035000012,8
37035000023,8
371050000D1,10
371050000D2,10
371050000C1,10
371050000C2,10
371350000WD,13
37135000WDS,13
37153000009,10
371050000E1,10
371050000E2,10
3708500PR23,2
3708500PR26,2
3708500PR24,2
3710100PR14,2
3708500PR25,2
3708500PR29,2
370210047.1,5
37143PARKVI,11
37143NEW-HO,11
3706100WOLF,9
370210025.1,5
370210008.3,5
370210060.4,5
370210008.2,5
370210034.1,5
3706100MAGN,9
3716300ROWA,4
3716300INGO,4
3706100BEUL,9
37107000PH2,9
3706100KENA,9
37135000CS1,13
37153000008,10
37165006-89,10
37153000005,10
37165001-16,10
37155000019,10
3703100NPT2,9
3703100NPT1,9
3703100IBSP,9
3703100MHD2,9
3703100ABCH,9
3703100MHD1,9
3708500PR07,10
3706100WALL,9
3706100ROSE,9
3706100WARS,9
3716300TURK,4
3706100FAIS,9
3716300GIDD,9
3706100GLIS,9
37165000004,10
37165000003,10
37017000P80,4
37017000P45,4
3701700P202,4
37017000P55,4
3713300BC21,9
3713300ML23,9
37103000P07,9
3713300NR02,9
37143NICANO,11
37035000013,8
371350000NS,13
371350000WW,13
37019000016,4
370190004B2,4
3701900004A,4
37129000W03,4
37129000W26,4
37019000021,4
37019000007,4
37019000017,4
37019000019,4
37019000008,4
37019000020,4
37019000015,4
37153000002,10
37153000001,10
37153000013,10
37165002-25,10
371350000KM,13
37035000031,12
37035000008,8
371350000LC,13
37191000013,9
37191000007,9
37191000001,9
37191001920,9
37191000029,9
37191000012,9
37057000062,6
37057000066,6
37123000LIT,10
37055000KDH,11
370550000EL,11
3705500AVON,11
3705500KTHK,11
3705500SOSH,11
370210023.3,5
370210021.1,5
370210023.2,5
370210014.3,5
370210042.1,5
370210067.1,5
370210012.1,5
370210033.3,5
37119000202,12
37119000206,12
37119000201,1
37119000097,3
37119000114,3
37119000134,3
37119000087,1
371190223.1,3
37119000011,3
37119000019,3
37119000227,1
37119000208,12
370970DV1-B,12
370970DV2-B,12
371190139.1,1
37119000236,1
371350000GB,13
371350000OG,13
3700100009S,13
371350000WH,13
3713500000H,13
371350000EF,13
37153000010,10
371350000CW,13
37063000025,13
37063000026,13
3707700BERE,13
37069000013,14
37035000041,12
37035000020,8
37035000037,8
37035000003,8
37035000040,8
37035000035,8
37035000025,8
3710100PR09,14
371010PR29B,14
3710100PR13,2
3710100PR34,2
3710100PR08,9
3710100PR36,9
37083000HPR,11
3710100PR20,14
37183009-02,14
3710100PR35,2
3716300PLVW,4
3708500PR31,2
37119000237,12
371190204.1,1
37119000041,3
37119000081,3
37119000133,12
37119000054,3
37119000148,1
37119000062,1
3707700BTNR,13
3707700CORI,14
3707700SOOX,14
37173ALMOND,5
3707500EAST,5
37113000015,5
3707500STEC,5
37173000BC1,5
37173000BC2,5
37099000SDC,5
37099000QUA,5
370870000IH,5
37113000003,5
37113000007,5
371050000A1,10
371050000A2,10
3708500PR01,10
37051SL78-3,10
3708500PR08,2
3712700P02A,11
3712700P23A,11
3712700P17A,11
3712700P16A,11
3712700P04A,11
3712700P11A,11
3712700P14A,11
3712700P10A,11
3712700P03A,11
37153000006,10
37057000056,10
3708300ENF1,11
3712700P13A,11
371170000GN,11
370150000RX,11
370150000WD,11
370830BUTWD,11
37185000009,11
370830LIT-2,11
37185000001,11
37131LAKE-G,11
3708300RR-3,11
37083000RRC,11
37049000011,9
37049000007,9
