GEOID,DISTRICT
370210001.1,2
370210053.1,2
370210068.1,2
370210022.2,2
370210027.2,2
370210058.1,2
370210059.1,2
37191000004,14
37191000026,14
37191002530,14
3706100CALY,14
37191000028,14
37191000002,14
370210066.1,2
37143BETHEL,7
370210044.1,2
370210024.1,2
370210048.1,2
370210038.3,2
370210036.1,2
37111FORT-1,2
37111FORT-2,2
370210060.2,2
37035000019,1
37035000006,1
37035000002,1
370230029-B,1
370230029-A,1
3710900NB35,1
37035000030,1
37035000014,1
37035000032,1
37035000001,1
370210002.1,2
37035000017,1
37035000026,1
37035000024,1
37023000012,1
37023000013,1
37023000015,1
371350000SM,8
371350000CP,8
37063000044,8
371350000HE,8
37135000ENO,8
37063000045,8
37063000050,8
37153000004,4
370210011.1,2
370210045.1,2
370210039.2,2
370210039.3,2
370210037.1,2
370210003.1,2
370210054.2,2
370210018.2,2
370890000FL,2
370210052.1,2
37035000016,1
37035000029,1
37035000012,1
37035000023,1
371050000D1,5
371050000D2,5
371050000C1,5
371050000C2,4
371350000WD,8
37135000WDS,8
37153000009,4
371050000E1,5
371050000E2,5
3708500PR23,5
3708500PR26,5
3708500PR24,5
3710100PR14,5
3708500PR25,5
3708500PR29,5
370210047.1,2
37143PARKVI,7
37143NEW-HO,7
3706100WOLF,14
370210025.1,2
370210008.3,2
370210060.4,2
370210008.2,2
370210034.1,2
3706100MAGN,3
3716300ROWA,3
3716300INGO,3
3706100BEUL,3
37107000PH2,3
3706100KENA,3
37135000CS1,8
37153000008,4
37165006-89,4
37153000005,4
37165001-16,4
37155000019,4
3703100NPT2,7
3703100NPT1,7
3703100IBSP,7
3703100MHD2,7
3703100ABCH,7
3703100MHD1,7
3708500PR07,5
3706100WALL,3
3706100ROSE,3
3706100WARS,3
3716300TURK,3
3706100FAIS,3
3716300GIDD,14
3706100GLIS,3
37165000004,4
37165000003,4
37017000P80,3
37017000P45,3
3701700P202,3
37017000P55,3
3713300BC21,7
3713300ML23,7
37103000P07,7
3713300NR02,3
37143NICANO,7
37035000013,1
371350000NS,8
371350000WW,8
37019000016,3
370190004B2,3
3701900004A,3
37129000W03,3
37129000W26,3
37019000021,3
37019000007,3
37019000017,3
37019000019,3
37019000008,3
37019000020,3
37019000015,3
37153000002,4
37153000001,4
37153000013,4
37165002-25,4
371350000KM,8
37035000031,6
37035000008,1
371350000LC,8
37191000013,14
37191000007,14
37191000001,14
37191001920,14
37191000029,14
37191000012,14
37057000062,12
37057000066,12
37123000LIT,4
37055000KDH,7
370550000EL,7
3705500AVON,7
3705500KTHK,7
3705500SOSH,7
370210023.3,2
370210021.1,2
370210023.2,2
370210014.3,2
370210042.1,2
370210067.1,2
370210012.1,2
370210033.3,2
37119000202,6
37119000206,6
37119000201,9
37119000097,13
37119000114,13
37119000134,13
37119000087,9
371190223.1,13
37119000011,13
37119000019,13
37119000227,9
37119000208,6
370970DV1-B,6
370970DV2-B,6
371190139.1,9
37119000236,9
371350000GB,8
371350000OG,8
3700100009S,8
371350000WH,8
3713500000H,8
371350000EF,8
37153000010,4
371350000CW,8
37063000025,8
37063000026,8
3707700BERE,8
37069000013,14
37035000041,6
37035000020,1
37035000037,1
37035000003,1
37035000040,1
37035000035,1
37035000025,1
3710100PR09,14
371010PR29B,14
3710100PR13,5
3710100PR34,14
3710100PR08,14
3710100PR36,14
37083000HPR,7
3710100PR20,14
37183009-02,14
3710100PR35,5
3716300PLVW,5
3708500PR31,5
37119000237,6
371190204.1,6
37119000041,13
37119000081,13
37119000133,6
37119000054,13
37119000148,9
37119000062,9
3707700BTNR,10
3707700CORI,10
3707700SOOX,10
37173ALMOND,2
3707500EAST,2
37113000015,2
3707500STEC,2
37173000BC1,2
37173000BC2,2
37099000SDC,2
37099000QUA,2
370870000IH,2
37113000003,2
37113000007,2
371050000A1,5
371050000A2,5
3708500PR01,5
37051SL78-3,5
3708500PR08,5
3712700P02A,14
3712700P23A,14
3712700P17A,14
3712700P16A,14
3712700P04A,14
3712700P11A,14
3712700P14A,14
3712700P10A,14
3712700P03A,14
37153000006,4
37057000056,6
3708300ENF1,14
3712700P13A,14
371170000GN,7
370150000RX,7
370150000WD,7
370830BUTWD,14
37185000009,14
370830LIT-2,14
37185000001,14
37131LAKE-G,14
3708300RR-3,14
37083000RRC,14
37049000011,7
37049000007,7
37049000002,7
3703100STEL,7
37049000003,7
3704900VE14,7
37147000601,7
3712700P08A,14
3707700CRDL,10
3713300JA01,3
3713300BM08,3
371330NE22A,3
3713300VR15,3
3713300HU20,7
371330NE22B,7
3713300EN03,3
37035000034,1
3717300WHCH,2
3708500PR20,5
3705100LI65,5
3708500PR28,5
37183012-02,5
3708500PR32,5
37119000203,9
37119000216,9
37119000232,9
3710900IS23,1
37161000011,1
3716100006A,2
3714900CG05,2
37191000009,14
37191000015,14
37191000010,14
37191000024,14
3710100PR04,14
37057000058,6
37057000008,12
37057000020,12
37057000052,12
37057000016,12
37067000042,12
370210064.1,2
370210009.1,2
370210057.1,2
370210031.1,2
370210055.1,2
37119000224,13
37119000050,13
37119000069,9
37119000023,13
37119000063,9
37119000104,9
37119000229,13
37119000243,13
3712700P21A,14
3712700P19A,14
37037000018,5
37125000CAR,4
37037000020,5
371050000B1,5
37183006-10,5
37037MCH110,8
37037NWM117,8
371350000WC,8
37037000085,8
371510000SE,4
37037000030,8
37119000132,9
3716100005A,1
3710900LS12,1
3710900DW28,13
37161000028,2
37161000030,2
37161000013,1
3710900TA37,13
37057000054,12
371510000TB,11
37057000074,12
37057000048,12
37057000070,12
37123000CHE,4
3712700P20A,14
3712700P24A,14
3714900WO06,2
37161000018,2
3714900CL07,2
3714900SA04,2
370890000RR,2
37057000032,12
37057000004,12
37057000076,12
371510000TR,11
370830RR-10,14
37083WEL1-2,14
370830LIT-1,14
3704900DFB9,7
3704900CFB8,7
37147001001,7
3710700000C,7
37049000017,7
370490000N2,7
37037000015,8
37037000078,5
37037ESC114,8
37037000042,5
37037000006,4
37037000045,5
37099000GCK,2
37099000CUL,2
370210013.1,2
3714700800B,7
3714701512A,7
37119000022,13
37119000207,6
37119000242,13
37119000043,9
37119000136,9
37119000211,13
37119000241,6
37017000P65,3
37017000P10,3
37119000031,13
37119000088,9
37119000230,13
37119000205,9
37025001-04,9
37119000209,13
3710100PR22,14
37119000145,6
37119000239,6
37025002-09,6
37119000094,9
37119000141,6
37119000105,9
3714900CL08,2
37035000005,1
3714701513A,7
37119000213,13
37119000093,9
371750000CM,2
371750000BD,2
371750000WC,2
371750000PF,2
37147001501,7
371750000B4,2
371750000RE,2
37119000013,13
37119000026,13
37123000UWH,4
37123000PEE,4
37123000STA,4
37125000WEM,4
371230000T1,4
37123000CAN,4
37113000002,2
37113000014,2
37113000010,2
370210030.3,2
370210030.2,2
370890000NM,2
370210071.1,2
37147000301,7
37119000220,9
37119000058,13
37119000099,9
37119000233,9
37119000009,13
37119000140,9
37119000109,13
37155000002,4
3715500032A,4
37155000023,4
37155000022,4
37155000016,4
37017000P60,4
3701700P201,3
37047000P15,3
37119000231,9
37017000P25,3
37047000P18,3
37017000P40,3
3700300LRSL,1
3700300T2T3,1
37019000006,3
37019000022,3
37019000023,3
37099000SAV,2
37113000012,2
3704300SHCR,2
3703100BFT2,7
3703100EMIS,7
3713300SW19,7
3703100BFT1,7
3703100DASW,7
3703100BOGU,7
3704700P22A,3
3704700P20A,3
3704700P01A,3
37047000P24,3
3704700P26B,3
3704700P16B,3
37047000P09,3
37047000P08,3
37023000051,1
37009000009,1
37093000063,4
37093000061,4
37155000039,4
37185000010,14
371070000K6,7
3710700000W,7
37103000P06,7
37107000PH1,7
3703100CISL,7
3703100ATSL,7
370870000EF,2
3714500PNTH,8
3708700WS-2,2
37009000020,1
37009000014,1
37009000012,1
37009000011,1
37023000014,1
37023000036,1
37023000035,1
37023000065,1
370870000AC,2
37093000062,4
37119000016,13
37069000019,10
37069000009,14
37049000020,7
371370001RB,7
3704900TE13,7
37049000019,7
37049000021,7
370490000N4,7
37049000016,7
3719500PRWB,14
3719500PRWL,14
3719500PRTO,14
3719500PRWN,14
3719500PRWJ,14
3719500PRCR,14
3719500PRSP,14
3703100MCRK,7
3703100BCRK,7
3703100WILD,7
3703100CCCP,7
3703100MERR,7
37009000004,1
37009000015,1
3700500006A,1
37193000125,1
37017000P30,3
3704700P02B,3
37047000P14,3
3703100MASM,7
3700300S1S2,1
3719500PRWQ,14
3719500PRWI,14
3719500PRTA,14
3703100MHD4,7
3710900ST36,1
37035000009,1
3716100016A,2
37111M.COVE,2
3716100004A,1
3710900LI14,1
3710900SL24,1
37161000014,1
37161000029,1
37023000052,1
37023000001,1
37009000007,1
3708700CL-S,2
3708700CL-N,2
3714500ALVI,8
3714500CUCL,8
3714500WDSD,8
370870000BC,2
37093000012,4
37171000031,12
37171000019,12
37171000023,12
3719500PRBL,14
37023000031,1
37023000021,1
37023000024,1
3701700P501,3
3702700PR33,1
3702700PR25,1
37171000029,12
37017000P15,3
3713300RL09,3
37093000013,4
37155000010,4
37155000021,4
370510G9B-1,4
37155000008,4
37155000009,4
37037PIT113,8
37037000009,8
3714701508A,7
3714701508B,7
37119000137,9
37069000015,14
37069000003,10
37069000008,14
37069000005,14
37069000016,14
37069000001,14
3700300000E,1
371510000AW,11
371510000SO,4
371510000DR,11
371510000GR,4
371510000PR,11
371510000AE,11
371570000DR,11
37161000027,2
3702700PR32,1
3702700PR21,1
37023000066,1
3702700PR22,1
37111DYSART,1
3700300000W,1
37093000064,4
3702700PR34,1
3702700PR35,1
3702700PR14,1
3701300RVRD,7
371570000MS,11
3716100009A,2
3714900GC09,2
37037000075,5
37037000024,4
37009000006,1
37023000040,1
37023000022,1
37069000018,10
37069000011,14
3710100PR37,14
3710100PR07,14
37191000003,14
3710100PR25,14
3710100PR26,14
37165005-10,4
370130AUROR,7
370130WASH4,7
371170000R2,7
371170000BG,7
3701300TCRK,7
3701300OLDF,7
370130EDWAR,7
370130BELHV,7
371170000CR,7
37147000401,7
3714701504A,7
3714701504B,7
3714701505B,7
37171000030,12
37171000005,12
3713300FS16,3
3713300HR17,3
3713300MT24,7
3714100SC13,3
3714100UH08,3
3714100SP15,3
3719500PROL,14
3712700P01A,14
3719500PRWE,14
3719500PRWM,14
3719500PRGA,14
371010PR31A,5
371010PR10A,14
371010PR10B,14
371010PR11B,14
371010PR29A,14
371010PR27A,14
371010PR27B,14
3710100PR30,14
3703300LEAS,8
37119000146,13
37119000225,13
37119000151,6
37119000065,9
37099000SCC,2
37047000P07,3
37113000013,2
37093000002,4
3715500026A,4
371070000K2,7
371570000EC,11
371570000WS,11
371510000LC,11
371510000UG,4
371570000RC,11
37115MARS-H,2
37019000005,3
37019000001,3
370830000SN,7
37099000BCK,2
37119000135,13
37119000014,13
37119000098,13
37183016-06,10
37183017-13,10
37183017-12,10
37183017-04,14
37183004-11,10
3704900N3N5,7
37155000041,4
37155000014,4
37183001-11,10
37183004-20,5
37183010-04,14
37183020-15,5
37183020-17,5
37183020-14,5
37183020-16,5
37183001-20,10
37183019-13,10
37183019-14,10
37183019-15,10
37183019-05,10
370150000M2,7
371510000AR,11
3712700P15A,14
3712700P07A,14
37083000HAL,14
37071000014,13
37071000039,13
37057000028,12
37103000P05,7
37103000P01,7
3705500STPT,7
371390NORTH,7
37057000046,12
37057000082,12
3708100MON1,11
37081000G06,11
3713900EAST,7
37183001-45,10
37183001-40,10
37071000023,13
37023000011,1
370030000B1,1
3719700BNVL,12
3719700SKNB,12
3702700PR01,1
3702700PR18,1
37057000012,12
370510G9B-2,4
37051000G9A,4
370510G3A-1,4
370510G3A-2,4
37051000G8D,4
3705100CC12,4
3705100CC14,4
3705100CC07,4
3706100ALBE,3
37019000014,3
37019000013,3
3701900010A,3
3701900010B,3
37057000088,12
37081000H15,12
37057000018,6
37057000072,12
37057000060,12
37081000H22,11
37081NCLAY2,11
3708100JEF1,11
370810NWASH,11
37081000G35,11
37167000026,4
37081000G52,11
37001000127,8
3700100012N,8
37001000013,8
3700100006E,8
37001000063,8
3719903-EGY,2
37183010-03,14
37183004-05,10
37071000021,13
37003T1T4T5,1
37183017-11,10
37183001-50,10
37183010-02,14
37183008-02,10
37183020-08,5
37183001-15,10
37183001-49,10
3705100CC33,4
3705100CC01,4
37125000PBF,4
37125000LTR,4
37125000PHC,4
37125000EAB,4
37125000PDN,4
37093000004,4
37169000017,12
37169000015,12
37169000007,12
371510000BC,11
371510000AS,11
371510000LB,11
37001000001,8
370130000HB,7
37081000H04,11
3708100JAM5,11
37169000004,12
37169000020,12
37169001819,12
37169001618,12
37095000ENG,7
37169000009,12
371370003BY,7
370510G2C-2,5
37051000G2A,4
370510G2E-2,4
37051000G2B,5
370510G2C-1,5
3705100G11B,4
37051000G2D,5
3705100CC17,4
370510G2E-1,5
370510G5A-2,4
370510G5B-1,4
370510G5A-1,4
37051000G5C,4
370510G5B-2,4
37051000G8A,4
37051000G8B,4
37051000G8C,4
3705100AH49,4
37051000G6A,5
37051000G6C,4
37051000G6B,3
37017000P70,3
3716300CLEM,5
37071000017,13
371170000R1,7
371170000HM,7
3711700000J,7
370130PINET,7
370150000MH,7
371570000HO,11
37081000FR4,11
37081000H09,11
37081000H08,11
37081000G29,11
37169000008,12
37169000013,12
37169000012,12
37081000RC2,11
37125000WAB,4
37125000WND,4
37037000003,8
37019000002,3
37189000011,1
37189000014,1
37115LAUREL,2
37001000002,8
37001000005,8
3703300ANDE,8
3703300STON,8
37001000011,8
371350000CA,8
370330000PH,8
37001000007,8
3700100008S,8
37071000025,13
37071000028,13
37071000029,13
3713704VM-A,7
3713704MSIC,7
371510000NM,11
371510000RN,11
371510000RM,11
37193000106,1
37189000005,1
37081000G61,11
37081000G48,11
37081000G50,11
37081000H01,12
37081000PG2,11
37155000035,4
37185000012,14
370130BEADM,7
37193000124,12
37171000001,12
37193000107,12
37193000128,1
37193000103,1
37193000122,6
3719700SBCK,12
370810MON2B,11
370810MON2A,11
37081000FR1,11
371150BEECH,2
370210051.2,2
371510000ST,11
37051CL57-1,4
3705100CC27,4
3705100G10C,4
3705100G10A,4
3705100G10B,4
37125000VSS,4
3712500EKWD,4
3712500WKWD,4
37125000CAM,4
37051CL57-2,4
37051000G3B,4
37051000G3C,4
3705100LR63,4
3710900HC33,1
3710900OB21,1
3710900LN11,1
3706100ROCK,3
3716300HARR,3
3706100CYCK,3
3713300CL10,3
3713300NM13,3
3706100SMCA,3
3714500SWST,8
3708700WS-1,2
3714500ROX4,8
37065001001,14
3715500018A,4
3719901-BUR,2
3719908-CRA,2
37065001203,14
37065001204,14
37065000101,7
370870000CR,2
3708700FC-2,2
3713300HN14,3
370950000BM,7
370130PANTE,7
37183004-18,10
37183001-23,10
3712700P05A,14
37081000G75,11
37081000SF1,11
37081000OR1,11
37081000G47,11
37081000G74,11
37167000010,6
37167000013,4
37167000023,9
37081000G53,11
3708100SMAD,11
37081000G65,11
37081000G51,11
37167000008,4
37167000015,4
3708100JEF2,11
37081000G72,11
371150SOUTH,2
37115WALNUT,2
37019000011,3
3701300WDPD,7
371170000W2,7
370150000W1,7
370130WASHP,7
3708100SDRI,11
37081000G64,11
3708100SUM2,11
3708100H19A,11
37081000G15,11
37081000GIB,11
37167000017,6
37159000022,6
37081NCLAY1,11
3713300TL06,3
3713300GB12,3
371570000SE,11
371570000HU,11
371570000MC,11
370890000SW,2
3708100MON3,11
371570000IR,11
37081000G44,11
37081000G67,11
37081000G32,11
37081000H03,11
370810000GR,11
3714100PL10,3
3714100UU17,3
3708700000P,2
3708700BE-1,2
3708700BE-3,2
3714500MTTZ,8
37063000028,8
370890000RG,2
370890000SE,2
3708900HV-2,2
370890000SB,2
370890000GR,2
3714500RCTL,8
37057000024,12
37057000036,12
37057000050,12
3716300AUTR,5
37179000009,9
37179000006,9
3717900020B,9
37179000043,9
37179000039,9
37179000015,9
37179000040,9
37179000008,9
3717900029C,9
3701300NCRK,7
370130SURBA,7
37045000S-C,1
3704500KM-S,13
37045GROVER,1
370450MULLS,1
370450CASAR,1
3716100010A,1
37045SHANGI,1
3704500S-4A,1
3704500LATT,1
3714100UT14,3
37067000132,12
3712900CF02,3
37129000H12,3
37129000H13,3
3712900CF01,3
37019000003,3
3714100GR06,3
3716300MING,5
37129000H11,3
37129000H10,3
37129000W27,3
37129000H08,3
37129000H02,3
3716300LAKE,3
3716300ROSE,3
37081000H28,11
3708100H29B,11
3708100H29A,11
37009000013,1
3702700PR02,1
37123000ELD,4
37057000022,12
37057000038,12
37057000006,6
37067000606,12
37067000906,12
37067000021,12
3714100CL05,3
37155000003,4
371170000GR,7
37019000018,3
37001000035,8
37001000064,8
37001000128,8
3702700PR13,1
3702700PR07,1
37023000062,1
37011000004,1
37179000012,9
37009000018,1
3703300MILT,8
3700100006N,8
