GEOID,DISTRICT
370210001.1,1
370210053.1,1
370210068.1,1
370210022.2,1
370210027.2,1
370210058.1,1
370210059.1,1
37191000004,6
37191000026,6
37191002530,6
3706100CALY,6
37191000028,6
37191000002,6
370210066.1,1
37143BETHEL,13
370210044.1,1
370210024.1,1
370210048.1,1
370210038.3,1
370210036.1,1
37111FORT-1,1
37111FORT-2,1
370210060.2,1
37035000019,4
37035000006,4
37035000002,4
370230029-B,4
370230029-A,4
3710900NB35,4
37035000030,4
37035000014,4
37035000032,4
37035000001,4
370210002.1,1
37035000017,4
37035000026,4
37035000024,4
37023000012,4
37023000013,4
37023000015,4
371350000SM,8
371350000CP,8
37063000044,8
371350000HE,8
37135000ENO,8
37063000045,8
37063000050,8
37153000004,11
370210011.1,1
370210045.1,1
370210039.2,1
370210039.3,1
370210037.1,1
370210003.1,1
370210054.2,1
370210018.2,1
370890000FL,1
370210052.1,1
37035000016,4
37035000029,4
37035000012,4
37035000023,4
371050000D1,8
371050000D2,8
371050000C1,9
371050000C2,9
371350000WD,8
37135000WDS,8
37153000009,11
371050000E1,3
371050000E2,3
3708500PR23,3
3708500PR26,3
3708500PR24,3
3710100PR14,6
3708500PR25,3
3708500PR29,3
370210047.1,1
37143PARKVI,13
37143NEW-HO,13
3706100WOLF,6
370210025.1,1
370210008.3,1
370210060.4,1
370210008.2,1
370210034.1,1
3706100MAGN,2
3716300ROWA,2
3716300INGO,2
3706100BEUL,2
37107000PH2,2
3706100KENA,2
37135000CS1,8
37153000008,9
37165006-89,9
37153000005,11
37165001-16,9
37155000019,9
3703100NPT2,13
3703100NPT1,13
3703100IBSP,13
3703100MHD2,13
3703100ABCH,13
3703100MHD1,13
3708500PR07,9
3706100WALL,2
3706100ROSE,2
3706100WARS,2
3716300TURK,2
3706100FAIS,2
3716300GIDD,6
3706100GLIS,2
37165000004,9
37165000003,9
37017000P80,9
37017000P45,2
3701700P202,9
37017000P55,2
3713300BC21,2
3713300ML23,13
37103000P07,13
3713300NR02,2
37143NICANO,13
37035000013,4
371350000NS,8
371350000WW,8
37019000016,2
370190004B2,2
3701900004A,2
37129000W03,2
37129000W26,2
37019000021,2
37019000007,2
37019000017,2
37019000019,2
37019000008,2
37019000020,2
37019000015,2
37153000002,11
37153000001,11
37153000013,11
37165002-25,9
371350000KM,8
37035000031,10
37035000008,4
371350000LC,8
37191000013,6
37191000007,6
37191000001,6
37191001920,6
37191000029,6
37191000012,6
37057000062,7
37057000066,7
37123000LIT,7
37055000KDH,13
370550000EL,13
3705500AVON,13
3705500KTHK,13
3705500SOSH,13
370210023.3,1
370210021.1,1
370210023.2,1
370210014.3,1
370210042.1,1
370210067.1,1
370210012.1,1
370210033.3,1
37119000202,10
37119000206,10
37119000201,11
37119000097,14
37119000114,14
37119000134,10
37119000087,14
371190223.1,14
37119000011,14
37119000019,14
37119000227,11
37119000208,10
370970DV1-B,10
370970DV2-B,10
371190139.1,14
37119000236,11
371350000GB,8
371350000OG,8
3700100009S,8
371350000WH,8
3713500000H,8
371350000EF,8
37153000010,9
371350000CW,8
37063000025,8
37063000026,8
3707700BERE,12
37069000013,6
37035000041,10
37035000020,4
37035000037,4
37035000003,4
37035000040,4
37035000035,4
37035000025,4
3710100PR09,6
371010PR29B,6
3710100PR13,6
3710100PR34,6
3710100PR08,6
3710100PR36,6
37083000HPR,13
3710100PR20,6
37183009-02,6
3710100PR35,6
3716300PLVW,3
3708500PR31,3
37119000237,10
371190204.1,11
37119000041,14
37119000081,14
37119000133,10
37119000054,14
37119000148,14
37119000062,11
3707700BTNR,12
3707700CORI,12
3707700SOOX,12
37173ALMOND,1
3707500EAST,1
37113000015,1
3707500STEC,1
37173000BC1,1
37173000BC2,1
37099000SDC,1
37099000QUA,1
370870000IH,1
37113000003,1
37113000007,1
371050000A1,9
371050000A2,3
3708500PR01,9
37051SL78-3,9
3708500PR08,3
3712700P02A,6
3712700P23A,6
3712700P17A,6
3712700P16A,6
3712700P04A,6
3712700P11A,6
3712700P14A,6
3712700P10A,6
3712700P03A,6
37153000006,11
37057000056,7
3708300ENF1,6
3712700P13A,6
371170000GN,13
370150000RX,13
370150000WD,13
370830BUTWD,6
37185000009,6
370830LIT-2,6
37185000001,6
37131LAKE-G,6
3708300RR-3,6
37083000RRC,6
37049000011,13
37049000007,13
37049000002,13
3703100STEL,13
37049000003,13
3704900VE14,13
37147000601,13
3712700P08A,6
3707700CRDL,12
3713300JA01,2
3713300BM08,2
371330NE22A,2
3713300VR15,2
3713300HU20,2
371330NE22B,13
3713300EN03,2
37035000034,4
3717300WHCH,1
3708500PR20,3
3705100LI65,9
3708500PR28,3
37183012-02,3
3708500PR32,3
37119000203,11
37119000216,11
37119000232,14
3710900IS23,4
37161000011,4
3716100006A,1
3714900CG05,1
37191000009,6
37191000015,6
37191000010,6
37191000024,6
3710100PR04,6
37057000058,5
37057000008,5
37057000020,5
37057000052,5
37057000016,5
37067000042,5
370210064.1,1
370210009.1,1
370210057.1,1
370210031.1,1
370210055.1,1
37119000224,14
37119000050,14
37119000069,14
37119000023,14
37119000063,11
37119000104,11
37119000229,14
37119000243,14
3712700P21A,6
3712700P19A,6
37037000018,8
37125000CAR,9
37037000020,3
371050000B1,3
37183006-10,3
37037MCH110,8
37037NWM117,8
371350000WC,8
37037000085,8
371510000SE,8
37037000030,8
37119000132,11
3716100005A,4
3710900LS12,4
3710900DW28,10
37161000028,1
37161000030,4
37161000013,4
3710900TA37,10
37057000054,7
371510000TB,7
37057000074,5
37057000048,5
37057000070,5
37123000CHE,11
3712700P20A,6
3712700P24A,6
3714900WO06,1
37161000018,1
3714900CL07,1
3714900SA04,1
370890000RR,1
37057000032,5
37057000004,5
37057000076,7
371510000TR,7
370830RR-10,6
37083WEL1-2,6
370830LIT-1,6
3704900DFB9,13
3704900CFB8,13
37147001001,13
3710700000C,13
37049000017,13
370490000N2,13
37037000015,8
37037000078,8
37037ESC114,8
37037000042,3
37037000006,8
37037000045,8
37099000GCK,1
37099000CUL,1
370210013.1,1
3714700800B,13
3714701512A,13
37119000022,14
37119000207,10
37119000242,10
37119000043,11
37119000136,11
37119000211,10
37119000241,10
37017000P65,2
37017000P10,2
37119000031,14
37119000088,14
37119000230,14
37119000205,11
37025001-04,11
37119000209,10
3710100PR22,6
37119000145,10
37119000239,10
37025002-09,10
37119000094,11
37119000141,10
37119000105,11
3714900CL08,1
37035000005,4
3714701513A,13
37119000213,10
37119000093,14
371750000CM,1
371750000BD,1
371750000WC,1
371750000PF,1
37147001501,13
371750000B4,1
371750000RE,1
37119000013,14
37119000026,10
37123000UWH,11
37123000PEE,11
37123000STA,7
37125000WEM,8
371230000T1,11
37123000CAN,7
37113000002,1
37113000014,1
37113000010,1
370210030.3,1
370210030.2,1
370890000NM,1
370210071.1,1
37147000301,13
37119000220,11
37119000058,14
37119000099,11
37119000233,11
37119000009,14
37119000140,14
37119000109,14
37155000002,9
3715500032A,9
37155000023,9
37155000022,9
37155000016,9
37017000P60,9
3701700P201,9
37047000P15,9
37119000231,14
37017000P25,2
37047000P18,2
37017000P40,2
3700300LRSL,4
3700300T2T3,4
37019000006,2
37019000022,2
37019000023,2
37099000SAV,1
37113000012,1
3704300SHCR,1
3703100BFT2,13
3703100EMIS,13
3713300SW19,13
3703100BFT1,13
3703100DASW,13
3703100BOGU,13
3704700P22A,2
3704700P20A,2
3704700P01A,2
37047000P24,2
3704700P26B,2
