GEOID,DISTRICT
370210001.1,9
370210053.1,9
370210068.1,9
370210022.2,9
370210027.2,9
370210058.1,9
370210059.1,9
37191000004,5
37191000026,5
37191002530,5
3706100CALY,11
37191000028,5
37191000002,5
370210066.1,9
37143BETHEL,1
370210044.1,9
370210024.1,9
370210048.1,9
370210038.3,9
370210036.1,9
37111FORT-1,9
37111FORT-2,9
370210060.2,9
37035000019,8
37035000006,8
37035000002,8
370230029-B,8
370230029-A,8
3710900NB35,8
37035000030,8
37035000014,8
37035000032,8
37035000001,8
370210002.1,9
37035000017,8
37035000026,8
37035000024,8
37023000012,8
37023000013,8
37023000015,8
371350000SM,4
371350000CP,12
37063000044,4
371350000HE,12
37135000ENO,4
37063000045,4
37063000050,4
37153000004,2
370210011.1,9
370210045.1,9
370210039.2,9
370210039.3,9
370210037.1,9
370210003.1,9
370210054.2,9
370210018.2,9
370890000FL,9
370210052.1,9
37035000016,8
37035000029,8
37035000012,8
37035000023,8
371050000D1,12
371050000D2,12
371050000C1,12
371050000C2,12
371350000WD,12
37135000WDS,12
37153000009,2
371050000E1,12
371050000E2,12
3708500PR23,12
3708500PR26,2
3708500PR24,10
3710100PR14,10
3708500PR25,2
3708500PR29,2
370210047.1,9
37143PARKVI,1
37143NEW-HO,1
3706100WOLF,11
370210025.1,9
370210008.3,9
370210060.4,9
370210008.2,9
370210034.1,9
3706100MAGN,11
3716300ROWA,11
3716300INGO,11
3706100BEUL,11
37107000PH2,11
3706100KENA,11
37135000CS1,12
37153000008,2
37165006-89,2
37153000005,2
37165001-16,2
37155000019,2
3703100NPT2,1
3703100NPT1,1
3703100IBSP,11
3703100MHD2,1
3703100ABCH,1
3703100MHD1,1
3708500PR07,12
3706100WALL,11
3706100ROSE,11
3706100WARS,11
3716300TURK,11
3706100FAIS,11
3716300GIDD,11
3706100GLIS,11
37165000004,2
37165000003,2
37017000P80,2
37017000P45,2
3701700P202,2
37017000P55,11
3713300BC21,11
3713300ML23,11
37103000P07,11
3713300NR02,11
37143NICANO,1
37035000013,8
371350000NS,12
371350000WW,12
37019000016,11
370190004B2,11
3701900004A,11
37129000W03,11
37129000W26,11
37019000021,11
37019000007,11
37019000017,11
37019000019,11
37019000008,11
37019000020,11
37019000015,11
37153000002,2
37153000001,2
37153000013,12
37165002-25,2
371350000KM,12
37035000031,6
37035000008,8
371350000LC,12
37191000013,5
37191000007,5
37191000001,5
37191001920,5
37191000029,5
37191000012,5
37057000062,13
37057000066,13
37123000LIT,12
37055000KDH,1
