GEOID,DISTRICT
370210001.1,13
370210053.1,13
370210068.1,13
370210022.2,13
370210027.2,13
370210058.1,13
370210059.1,13
37191000004,10
37191000026,10
37191002530,10
3706100CALY,10
37191000028,10
37191000002,10
370210066.1,13
37143BETHEL,9
370210044.1,13
370210024.1,13
370210048.1,13
370210038.3,13
370210036.1,13
37111FORT-1,13
37111FORT-2,13
370210060.2,13
37035000019,6
37035000006,6
37035000002,6
370230029-B,6
370230029-A,6
3710900NB35,6
37035000030,6
37035000014,6
37035000032,6
37035000001,6
370210002.1,13
37035000017,6
37035000026,6
37035000024,6
37023000012,6
37023000013,6
37023000015,6
371350000SM,11
371350000CP,11
37063000044,11
371350000HE,11
37135000ENO,11
37063000045,11
37063000050,11
37153000004,1
370210011.1,13
370210045.1,13
370210039.2,13
370210039.3,13
370210037.1,13
370210003.1,13
370210054.2,13
370210018.2,13
370890000FL,13
370210052.1,13
37035000016,6
37035000029,6
37035000012,6
37035000023,6
371050000D1,1
371050000D2,1
371050000C1,1
371050000C2,1
371350000WD,11
37135000WDS,11
37153000009,1
371050000E1,14
371050000E2,1
3708500PR23,14
3708500PR26,14
3708500PR24,14
3710100PR14,14
3708500PR25,14
3708500PR29,14
370210047.1,13
37143PARKVI,9
37143NEW-HO,9
3706100WOLF,10
370210025.1,13
370210008.3,13
370210060.4,13
370210008.2,13
370210034.1,13
3706100MAGN,3
3716300ROWA,3
3716300INGO,3
3706100BEUL,3
37107000PH2,10
3706100KENA,3
37135000CS1,11
37153000008,1
37165006-89,1
37153000005,1
37165001-16,1
37155000019,1
3703100NPT2,9
3703100NPT1,9
3703100IBSP,9
3703100MHD2,9
3703100ABCH,9
3703100MHD1,9
3708500PR07,1
3706100WALL,3
3706100ROSE,3
3706100WARS,3
3716300TURK,3
3706100FAIS,3
3716300GIDD,10
3706100GLIS,10
37165000004,1
37165000003,1
37017000P80,3
37017000P45,3
3701700P202,3
37017000P55,3
3713300BC21,9
3713300ML23,9
37103000P07,9
3713300NR02,9
37143NICANO,9
37035000013,6
371350000NS,11
371350000WW,11
37019000016,3
370190004B2,3
3701900004A,3
37129000W03,3
37129000W26,3
37019000021,3
37019000007,3
37019000017,3
37019000019,3
37019000008,3
37019000020,3
37019000015,3
37153000002,1
37153000001,1
37153000013,1
37165002-25,1
371350000KM,11
37035000031,4
37035000008,6
371350000LC,11
37191000013,10
37191000007,10
37191000001,10
37191001920,10
37191000029,10
37191000012,10
37057000062,2
37057000066,2
37123000LIT,1
37055000KDH,9
370550000EL,9
3705500AVON,9
3705500KTHK,9
3705500SOSH,9
370210023.3,13
370210021.1,13
370210023.2,13
370210014.3,13
370210042.1,13
370210067.1,13
370210012.1,13
370210033.3,13
37119000202,8
37119000206,8
37119000201,8
37119000097,7
37119000114,7
37119000134,4
37119000087,7
371190223.1,4
37119000011,4
37119000019,7
37119000227,7
37119000208,4
370970DV1-B,4
370970DV2-B,8
371190139.1,7
37119000236,7
371350000GB,11
371350000OG,11
3700100009S,11
371350000WH,11
3713500000H,11
371350000EF,11
37153000010,1
371350000CW,11
37063000025,11
37063000026,11
3707700BERE,5
37069000013,10
37035000041,4
37035000020,6
37035000037,6
37035000003,6
37035000040,6
37035000035,6
37035000025,6
3710100PR09,10
371010PR29B,10
3710100PR13,14
3710100PR34,14
3710100PR08,10
3710100PR36,10
37083000HPR,10
3710100PR20,10
37183009-02,10
3710100PR35,14
3716300PLVW,14
3708500PR31,14
37119000237,8
371190204.1,8
37119000041,4
37119000081,4
37119000133,8
37119000054,4
37119000148,7
37119000062,7
3707700BTNR,5
3707700CORI,5
3707700SOOX,5
37173ALMOND,13
3707500EAST,13
37113000015,13
3707500STEC,13
37173000BC1,13
37173000BC2,13
37099000SDC,13
37099000QUA,13
370870000IH,13
37113000003,13
37113000007,13
371050000A1,1
371050000A2,1
3708500PR01,14
37051SL78-3,1
3708500PR08,14
3712700P02A,10
3712700P23A,10
3712700P17A,10
3712700P16A,10
3712700P04A,10
3712700P11A,10
3712700P14A,10
3712700P10A,10
3712700P03A,10
37153000006,1
37057000056,2
3708300ENF1,10
3712700P13A,10
371170000GN,10
370150000RX,10
370150000WD,9
370830BUTWD,10
37185000009,10
370830LIT-2,10
37185000001,10
37131LAKE-G,10
3708300RR-3,10
37083000RRC,10
37049000011,9
37049000007,9
37049000002,9
3703100STEL,9
37049000003,9
3704900VE14,9
37147000601,9
3712700P08A,10
3707700CRDL,5
3713300JA01,9
3713300BM08,9
371330NE22A,9
3713300VR15,9
3713300HU20,9
371330NE22B,9
3713300EN03,9
37035000034,6
3717300WHCH,13
3708500PR20,14
3705100LI65,14
3708500PR28,14
37183012-02,14
3708500PR32,14
37119000203,8
37119000216,7
37119000232,7
3710900IS23,4
37161000011,6
3716100006A,13
3714900CG05,13
37191000009,10
37191000015,10
37191000010,10
37191000024,10
3710100PR04,10
37057000058,2
37057000008,2
37057000020,2
37057000052,2
37057000016,2
37067000042,2
370210064.1,13
370210009.1,13
370210057.1,13
370210031.1,13
370210055.1,13
37119000224,4
37119000050,7
37119000069,7
37119000023,4
37119000063,7
37119000104,8
37119000229,4
37119000243,4
3712700P21A,10
3712700P19A,10
37037000018,1
37125000CAR,1
37037000020,14
371050000B1,14
37183006-10,14
37037MCH110,11
37037NWM117,11
371350000WC,11
37037000085,11
371510000SE,1
37037000030,11
37119000132,8
3716100005A,6
3710900LS12,4
3710900DW28,4
37161000028,13
37161000030,13
37161000013,6
3710900TA37,4
37057000054,2
371510000TB,12
37057000074,2
37057000048,2
37057000070,2
37123000CHE,1
3712700P20A,10
3712700P24A,10
3714900WO06,13
37161000018,13
3714900CL07,13
3714900SA04,13
370890000RR,13
37057000032,2
37057000004,2
37057000076,2
371510000TR,12
370830RR-10,10
37083WEL1-2,10
370830LIT-1,10
3704900DFB9,9
3704900CFB8,9
37147001001,9
3710700000C,10
37049000017,9
370490000N2,9
37037000015,11
37037000078,11
37037ESC114,11
37037000042,11
37037000006,1
37037000045,11
37099000GCK,13
37099000CUL,13
370210013.1,13
3714700800B,10
3714701512A,10
37119000022,4
37119000207,8
37119000242,4
37119000043,7
37119000136,7
37119000211,4
37119000241,8
37017000P65,3
37017000P10,3
37119000031,4
37119000088,7
37119000230,4
37119000205,8
37025001-04,8
37119000209,4
3710100PR22,10
37119000145,8
37119000239,8
37025002-09,8
37119000094,7
37119000141,8
37119000105,8
3714900CL08,13
37035000005,6
3714701513A,9
37119000213,4
37119000093,7
371750000CM,13
371750000BD,13
371750000WC,13
371750000PF,13
37147001501,10
371750000B4,13
371750000RE,13
37119000013,7
37119000026,4
37123000UWH,1
37123000PEE,1
37123000STA,1
37125000WEM,1
371230000T1,1
37123000CAN,1
37113000002,13
37113000014,13
37113000010,13
370210030.3,13
370210030.2,13
370890000NM,13
370210071.1,13
37147000301,10
37119000220,7
37119000058,7
37119000099,7
37119000233,7
37119000009,7
37119000140,7
37119000109,7
37155000002,3
3715500032A,3
37155000023,1
37155000022,1
37155000016,3
37017000P60,3
3701700P201,3
37047000P15,3
37119000231,7
37017000P25,3
37047000P18,3
37017000P40,3
3700300LRSL,6
3700300T2T3,6
37019000006,3
37019000022,3
37019000023,3
37099000SAV,13
37113000012,13
3704300SHCR,13
3703100BFT2,9
3703100EMIS,9
3713300SW19,9
3703100BFT1,9
3703100DASW,9
3703100BOGU,9
3704700P22A,3
3704700P20A,3
3704700P01A,3
37047000P24,3
3704700P26B,3
3704700P16B,3
37047000P09,3
37047000P08,3
37023000051,6
37009000009,6
37093000063,1
37093000061,1
37155000039,1
37185000010,5
371070000K6,10
3710700000W,10
37103000P06,10
37107000PH1,10
3703100CISL,9
3703100ATSL,9
370870000EF,13
3714500PNTH,11
3708700WS-2,13
37009000020,6
37009000014,6
37009000012,6
37009000011,6
37023000014,6
37023000036,6
37023000035,6
37023000065,6
370870000AC,13
37093000062,1
37119000016,4
37069000019,5
37069000009,10
37049000020,9
371370001RB,9
3704900TE13,9
37049000019,9
37049000021,9
370490000N4,9
37049000016,9
3719500PRWB,10
3719500PRWL,10
3719500PRTO,10
3719500PRWN,10
3719500PRWJ,10
3719500PRCR,10
3719500PRSP,10
3703100MCRK,9
3703100BCRK,9
3703100WILD,9
3703100CCCP,9
3703100MERR,9
37009000004,6
37009000015,6
3700500006A,6
37193000125,6
37017000P30,3
3704700P02B,3
37047000P14,3
3703100MASM,9
3700300S1S2,6
3719500PRWQ,10
3719500PRWI,10
3719500PRTA,10
3703100MHD4,9
3710900ST36,6
37035000009,6
3716100016A,13
37111M.COVE,13
3716100004A,6
3710900LI14,4
3710900SL24,4
37161000014,6
37161000029,6
37023000052,6
37023000001,6
37009000007,6
3708700CL-S,13
3708700CL-N,13
3714500ALVI,11
3714500CUCL,11
3714500WDSD,11
370870000BC,13
37093000012,1
37171000031,2
37171000019,2
37171000023,2
3719500PRBL,10
37023000031,6
37023000021,6
37023000024,6
3701700P501,3
3702700PR33,6
3702700PR25,6
37171000029,2
37017000P15,3
3713300RL09,9
37093000013,1
37155000010,1
37155000021,1
370510G9B-1,1
37155000008,3
37155000009,3
37037PIT113,11
37037000009,1
3714701508A,9
3714701508B,9
37119000137,7
37069000015,5
37069000003,5
37069000008,10
37069000005,10
37069000016,10
37069000001,5
3700300000E,6
371510000AW,12
371510000SO,1
371510000DR,12
371510000GR,1
371510000PR,12
371510000AE,12
371570000DR,12
37161000027,13
3702700PR32,6
3702700PR21,6
37023000066,6
3702700PR22,6
37111DYSART,6
3700300000W,6
37093000064,1
3702700PR34,6
3702700PR35,6
3702700PR14,6
3701300RVRD,9
371570000MS,12
3716100009A,13
3714900GC09,13
37037000075,11
37037000024,1
37009000006,6
37023000040,6
37023000022,6
37069000018,5
37069000011,10
3710100PR37,10
3710100PR07,10
37191000003,10
3710100PR25,10
3710100PR26,10
37165005-10,1
370130AUROR,9
370130WASH4,9
371170000R2,9
371170000BG,9
3701300TCRK,9
3701300OLDF,9
370130EDWAR,9
370130BELHV,9
371170000CR,9
37147000401,10
3714701504A,10
3714701504B,10
3714701505B,10
37171000030,6
37171000005,2
3713300FS16,3
3713300HR17,3
3713300MT24,9
3714100SC13,3
3714100UH08,3
3714100SP15,3
3719500PROL,10
