name,population_deviation,estimated_vote_pct,pr_deviation,estimated_seats,fptp_seats,disproportionality,efficiency_gap_wasted_votes,efficiency_gap_statewide,efficiency_gap,seats_bias,votes_bias,geometric_seats_bias,declination,mean_median_statewide,mean_median_average_district,turnout_bias,lopsided_outcomes,competitive_district_count,competitive_districts,average_margin,responsiveness,responsive_districts,overall_responsiveness,proportionality,competitiveness,mmd_black,mmd_hispanic,mmd_coalition,opportunity_districts,proportional_opportunities,coalition_districts,proportional_coalitions,minority,reock,polsby_popper,cut_score,population_compactness,compactness,county_splitting,district_splitting,counties_split,county_splits,splitting
0009,0.009400,0.494300,0.120300,5.315700,4,0.114600,0.194600,0.203000,0.109000,0.097200,0.019000,0.095700,12.309200,0.028700,0.027400,0.001400,0.020900,6,4.461400,0.077500,3.372100,4.461400,21.228400,43,42,0,0,0,0.438100,5,8.941000,5,54,0.395100,0.201700,776,2036587.559300,42,1.295000,1.981100,32,39,10
0010,0.009400,0.494300,0.120200,5.317800,4,0.114500,0.194600,0.203000,0.108800,0.097100,0.019000,0.095600,12.289500,0.028700,0.027400,0.001400,0.020900,6,4.464600,0.077500,3.373800,4.464600,21.201400,43,43,0,0,0,0.438700,5,8.918400,5,54,0.395100,0.202900,771,2036426.889400,42,1.295100,1.981200,32,39,10
0011,0.008200,0.494300,0.122300,5.287700,4,0.116600,0.194600,0.203000,0.111000,0.099200,0.019200,0.097700,12.587100,0.028700,0.027400,0.001400,0.021500,6,4.418700,0.077500,3.348600,4.418700,21.580600,42,42,0,0,0,0.407600,5,8.926200,5,54,0.395300,0.209700,762,2059334.168900,42,1.291400,1.943400,30,36,11
0012,0.008200,0.494300,0.122400,5.287000,4,0.116700,0.194600,0.203000,0.111000,0.099300,0.019300,0.097800,12.609800,0.028700,0.027400,0.001300,0.021600,6,4.416600,0.077500,3.347100,4.416600,21.589200,42,42,0,0,0,0.407600,5,8.926200,5,54,0.398600,0.210700,765,2054117.088600,44,1.289800,1.910700,28,34,11
0013,0.008400,0.494300,0.097600,5.634200,5,0.091900,0.123600,0.131500,0.086200,0.073100,0.014600,0.071900,8.443600,0.026000,0.024900,0.001100,0.012400,6,4.951100,0.072500,3.805600,4.951100,17.214200,54,47,0,0,0,0.430300,5,8.802700,5,54,0.394000,0.210400,763,2077183.844900,43,1.284000,1.882500,28,33,12
0014,0.008400,0.494300,0.090500,5.733500,5,0.084800,0.123600,0.131500,0.079100,0.066700,0.013900,0.065700,7.721300,0.026500,0.025400,0.001000,0.010900,5,4.879700,0.072400,3.766900,4.879700,15.962200,58,46,0,0,0,0.447000,5,8.577800,5,54,0.399500,0.223500,718,1963972.691700,46,1.261300,1.809900,26,30,16
0015,0.008400,0.494300,0.100200,5.596800,4,0.094600,0.194500,0.203000,0.088900,0.075500,0.014800,0.074200,8.754100,0.026500,0.025500,0.001000,0.013200,5,5.002400,0.071400,3.831900,5.002400,17.684900,53,48,0,0,0,0.434000,5,8.648900,5,54,0.408500,0.226700,699,1972939.804700,48,1.240800,1.747400,25,27,18
0016,0.008400,0.494300,0.100400,5.593800,4,0.094800,0.194500,0.203000,0.089100,0.075700,0.014900,0.074500,8.772600,0.026500,0.025500,0.001000,0.013200,5,4.992700,0.071400,3.825300,4.992700,17.723200,53,48,0,0,0,0.434000,5,8.648900,5,54,0.409800,0.233000,686,1969507.131400,48,1.239900,1.744400,25,27,18
0017,0.008400,0.494300,0.101800,5.574800,4,0.096100,0.194500,0.203000,0.090500,0.077000,0.015000,0.075700,8.913600,0.026500,0.025400,0.001000,0.013400,5,4.994800,0.071400,3.826100,4.994800,17.962000,52,48,0,0,0,0.432300,5,8.659400,5,54,0.410600,0.234300,692,1968433.606600,49,1.239400,1.743400,25,27,18
0018,0.008400,0.494300,0.102200,5.569700,4,0.096500,0.194500,0.203000,0.090800,0.077300,0.015000,0.076000,8.812400,0.026500,0.025200,0.001300,0.013000,5,5.014200,0.071200,3.847800,5.014200,18.026100,52,48,0,0,0,0.556700,5,8.660400,5,56,0.428200,0.238500,681,1970584.426500,53,1.236900,1.720000,24,26,19
0019,0.008400,0.494300,0.102000,5.571500,4,0.096400,0.194500,0.203000,0.090700,0.077100,0.015000,0.075900,8.796000,0.026500,0.025200,0.001200,0.012900,5,5.019500,0.071200,3.851000,5.019500,18.003600,52,48,0,0,0,0.556700,5,8.668400,5,56,0.427200,0.237500,684,1977534.832200,52,1.236900,1.719900,24,26,19
0020,0.008400,0.494300,0.102200,5.568700,4,0.096600,0.194500,0.203000,0.090900,0.077300,0.015000,0.076000,8.815400,0.025900,0.024600,0.001200,0.013000,5,5.027200,0.071200,3.855300,5.027200,18.039400,52,48,0,0,0,0.556200,5,8.666600,5,56,0.428200,0.251900,665,1974164.089000,54,1.234500,1.699600,23,25,19
0021,0.008400,0.494300,0.102000,5.572400,4,0.096300,0.194500,0.203000,0.090600,0.077000,0.014900,0.075700,8.810200,0.025900,0.024700,0.001100,0.013100,5,5.039000,0.071100,3.863300,5.039000,17.992900,52,48,0,0,0,0.556200,5,8.666500,5,56,0.420000,0.249900,677,2002369.393800,52,1.235900,1.705500,23,25,19
0022,0.008200,0.494300,0.099700,5.604500,4,0.094000,0.194500,0.203000,0.088300,0.075200,0.014800,0.073900,8.360100,0.025900,0.024400,0.001500,0.011700,5,4.917200,0.070800,3.729200,4.917200,17.588500,53,47,0,0,0,0.556700,5,8.997700,5,56,0.402100,0.249700,687,2020484.511300,49,1.236700,1.706600,23,25,19
0023,0.008200,0.494300,0.100100,5.598400,4,0.094400,0.194500,0.203000,0.088800,0.075700,0.014900,0.074400,8.386100,0.025900,0.024300,0.001600,0.011700,5,4.897800,0.070900,3.716000,4.897800,17.664900,53,47,0,0,0,0.556700,5,8.997700,5,56,0.410100,0.251200,675,1992383.861400,51,1.235300,1.701000,23,25,19
0024,0.008200,0.494300,0.107500,5.495700,4,0.101800,0.194900,0.203000,0.096100,0.083600,0.016400,0.082200,9.639500,0.026400,0.024800,0.001600,0.014600,5,4.697800,0.072700,3.565600,4.697800,18.959800,49,45,0,0,0,0.559000,5,8.909700,5,56,0.413500,0.246800,666,1971059.072800,51,1.235400,1.701200,23,25,19
0025,0.008300,0.494300,0.110200,5.457600,4,0.104500,0.194900,0.203000,0.098800,0.086300,0.016700,0.084800,9.997600,0.030200,0.028700,0.001500,0.015400,5,4.645300,0.072600,3.539600,4.645300,19.439000,48,44,0,0,0,0.496700,5,8.886300,5,55,0.418300,0.254800,661,1979522.091400,53,1.237400,1.681300,21,23,19
0026,0.008300,0.494300,0.111500,5.438400,4,0.105900,0.195900,0.203000,0.100200,0.088000,0.017200,0.086500,10.456500,0.030200,0.028800,0.001300,0.016700,5,4.579200,0.073600,3.492900,4.579200,19.681800,47,44,0,0,0,0.496700,5,8.835300,5,55,0.420000,0.258800,657,1970516.463600,54,1.236000,1.676600,20,22,19
0027,0.008300,0.494300,0.110700,5.450100,4,0.105000,0.195900,0.203000,0.099400,0.087000,0.017000,0.085600,10.384700,0.029500,0.028400,0.001200,0.016700,5,4.611200,0.073500,3.514400,4.611200,19.533900,47,44,0,0,0,0.440500,5,8.828700,5,54,0.417200,0.256900,645,1963456.738000,53,1.236400,1.675900,20,23,19
0028,0.008300,0.494300,0.111400,5.440100,4,0.105800,0.195900,0.203000,0.100100,0.087900,0.017200,0.086500,10.482800,0.029500,0.028300,0.001200,0.016800,5,4.576700,0.073500,3.489900,4.576700,19.660400,47,44,0,0,0,0.440500,5,8.790900,5,54,0.422200,0.260900,645,1943568.844500,54,1.234600,1.653600,19,22,19
0029,0.008300,0.494300,0.064500,6.097600,5,0.058800,0.124100,0.131500,0.053100,0.045400,0.011700,0.044400,5.603700,0.029500,0.028200,0.001300,0.006300,4,3.737300,0.084000,2.944100,3.737300,11.373300,71,36,0,0,0,0.505600,5,8.785100,5,55,0.412000,0.267900,652,1954081.616000,54,1.245800,1.686500,19,22,18
0030,0.008300,0.494300,0.075100,5.948900,5,0.069400,0.128700,0.131500,0.063700,0.058400,0.016200,0.057400,8.318200,0.035700,0.035400,0.000400,0.014000,3,3.209800,0.090800,2.548400,3.209800,13.247900,65,31,0,0,0,0.604700,5,8.177900,5,56,0.410800,0.262900,671,1963982.490500,52,1.245800,1.686500,19,22,18
0031,0.008300,0.494300,0.075100,5.948900,5,0.069400,0.128700,0.131500,0.063700,0.058400,0.016200,0.057400,8.318200,0.035700,0.035400,0.000400,0.014000,3,3.209800,0.090800,2.548400,3.209800,13.247900,65,31,0,0,0,0.604700,5,8.177900,5,56,0.410800,0.262900,671,1963982.490500,52,1.245800,1.686500,19,22,18
0032,0.008300,0.494300,0.075100,5.948600,5,0.069400,0.128700,0.131500,0.063800,0.058400,0.016200,0.057400,8.320500,0.035700,0.035400,0.000400,0.014000,3,3.208600,0.090800,2.547400,3.208600,13.251800,65,31,0,0,0,0.604700,5,8.165800,5,56,0.402700,0.268000,669,1953795.375500,52,1.242700,1.657100,18,21,18
0033,0.008300,0.494300,0.066900,6.063200,5,0.061300,0.127200,0.131500,0.055600,0.048800,0.013200,0.047900,6.805800,0.025900,0.025500,0.000400,0.010200,3,3.663700,0.088000,2.894500,3.663700,11.807500,69,35,0,0,0,0.824700,5,8.137200,5,58,0.419500,0.287800,640,1858875.004900,58,1.239900,1.625000,17,20,18
0034,0.008300,0.494300,0.067000,6.061700,5,0.061400,0.127200,0.131500,0.055700,0.048800,0.013300,0.048000,6.885000,0.025900,0.025700,0.000300,0.010600,3,3.669500,0.088100,2.903300,3.669500,11.825900,69,35,0,0,0,0.817200,5,8.140600,5,58,0.416400,0.285000,647,1859579.120800,56,1.239900,1.625000,17,20,18
0035,0.008300,0.494300,0.036800,6.485200,6,0.031100,0.059400,0.060100,0.025400,0.019900,0.006200,0.019300,2.777600,0.021000,0.021400,-0.000400,0.001400,3,3.440700,0.086600,2.839000,3.440700,6.488400,84,33,0,0,0,0.817800,5,8.170100,5,58,0.429300,0.288300,655,1856085.451300,60,1.240700,1.629500,17,20,18
0036,0.007500,0.494300,0.028400,6.602400,6,0.022700,0.059400,0.060100,0.017100,0.010400,0.003100,0.009900,1.746800,0.011600,0.012300,-0.000700,-0.000800,3,3.748700,0.086300,3.040300,3.748700,5.011100,89,36,0,0,0,0.821000,5,8.375300,5,58,0.418800,0.285000,658,1814145.128000,57,1.239300,1.620600,17,20,18
0037,0.007500,0.494300,0.033900,6.524800,6,0.028300,0.059400,0.060100,0.022600,0.016600,0.005100,0.016000,2.363300,0.017300,0.017600,-0.000300,0.000300,3,3.557000,0.086700,2.916000,3.557000,5.989500,86,34,0,0,0,0.817700,5,7.981900,5,58,0.422200,0.288500,652,1836341.378100,58,1.236900,1.614500,17,20,19
0038,0.008200,0.494300,0.082600,5.843400,5,0.076900,0.131100,0.131500,0.071300,0.060800,0.013600,0.059700,7.860600,0.032300,0.032800,-0.000500,0.013000,4,4.371200,0.076200,3.450100,4.371200,14.576800,62,42,0,0,0,0.752500,5,7.999800,5,58,0.431300,0.281100,648,1822958.035300,59,1.233400,1.591100,16,20,20
0039,0.008900,0.494300,0.082000,5.852000,5,0.076300,0.131100,0.131500,0.070700,0.060000,0.013400,0.059000,7.780800,0.032300,0.032800,-0.000500,0.012800,5,4.398400,0.076200,3.468500,4.398400,14.469000,62,42,0,0,0,0.752500,5,7.999600,5,58,0.431500,0.282400,648,1833122.829500,60,1.234100,1.593600,16,20,20
0040,0.009000,0.494300,0.081700,5.856000,5,0.076000,0.131100,0.131500,0.070400,0.059700,0.013300,0.058700,7.747400,0.031700,0.032200,-0.000500,0.012700,5,4.404100,0.076200,3.471600,4.404100,14.418400,62,42,0,0,0,0.752700,5,7.999400,5,58,0.431500,0.280100,656,1834562.281400,59,1.234300,1.593800,16,20,20
0041,0.009000,0.494300,0.081700,5.856000,5,0.076000,0.131100,0.131500,0.070400,0.059700,0.013300,0.058700,7.747400,0.031700,0.032200,-0.000500,0.012700,5,4.404100,0.076200,3.471600,4.404100,14.418400,62,42,0,0,0,0.752700,5,7.999400,5,58,0.431500,0.280100,656,1834562.281400,59,1.234300,1.593800,16,20,20
0042,0.009000,0.494300,0.081700,5.856000,5,0.076000,0.131100,0.131500,0.070400,0.059700,0.013300,0.058700,7.747400,0.031700,0.032200,-0.000500,0.012700,5,4.404100,0.076200,3.471600,4.404100,14.418400,62,42,0,0,0,0.752700,5,7.999400,5,58,0.431500,0.280100,656,1834562.281400,59,1.234300,1.593800,16,20,20
0043,0.009000,0.494300,0.081700,5.856000,5,0.076000,0.131100,0.131500,0.070400,0.059700,0.013300,0.058700,7.747400,0.031700,0.032200,-0.000500,0.012700,5,4.404100,0.076200,3.471600,4.404100,14.418400,62,42,0,0,0,0.752700,5,7.999400,5,58,0.431500,0.280100,656,1834562.281400,59,1.234300,1.593800,16,20,20
0044,0.009600,0.494300,0.086400,5.790500,5,0.080700,0.131100,0.131500,0.075100,0.064000,0.013900,0.062900,8.243700,0.031700,0.032000,-0.000400,0.013700,5,4.431400,0.076300,3.484100,4.431400,15.243500,60,42,0,0,0,0.659300,5,8.210200,5,56,0.428600,0.278000,660,1888388.341600,58,1.235100,1.595800,16,20,19
0045,0.009700,0.494300,0.088200,5.765500,5,0.082500,0.131100,0.131500,0.076800,0.066100,0.014400,0.065000,8.521700,0.033900,0.034400,-0.000500,0.014400,5,4.359200,0.076200,3.436500,4.359200,15.559200,59,42,0,0,0,0.659400,5,8.427100,5,56,0.427500,0.276000,661,1897071.615200,58,1.235600,1.598200,16,20,19
0046,0.009700,0.494300,0.075000,5.950300,5,0.069300,0.131100,0.131500,0.063600,0.054900,0.013000,0.053700,6.958600,0.033900,0.034500,-0.000600,0.011100,4,3.810000,0.076300,3.038800,3.810000,13.229400,65,36,0,0,0,0.658700,5,8.424800,5,56,0.435100,0.274100,667,1893435.304900,59,1.234800,1.599400,16,20,19
0047,0.009700,0.494300,0.075000,5.950100,5,0.069300,0.131300,0.131500,0.063700,0.055000,0.013000,0.053800,6.982200,0.033900,0.034600,-0.000700,0.011200,4,3.800200,0.076400,3.030500,3.800200,13.232200,65,36,0,0,0,0.658700,5,8.426400,5,56,0.434900,0.278100,666,1894225.489300,60,1.233800,1.579800,15,19,22
0048,0.009500,0.494300,0.024300,6.659900,6,0.018600,0.061100,0.060100,0.013000,0.009300,0.003300,0.008500,1.496600,0.024500,0.025400,-0.000900,-0.001100,3,2.855400,0.091800,2.344300,2.855400,4.286500,91,27,0,0,0,0.855500,5,8.406900,5,58,0.426000,0.283600,662,1914512.745900,58,1.235500,1.585900,16,19,20
0049,0.009500,0.494300,0.075000,5.950400,5,0.069300,0.131200,0.131500,0.063600,0.056500,0.014600,0.055500,8.825800,0.028600,0.028800,-0.000200,0.016000,4,3.637700,0.094300,2.864100,3.637700,13.228300,65,35,0,0,0,0.850500,5,8.198700,5,58,0.416500,0.278500,653,1953248.075100,56,1.228400,1.574900,16,19,22
0050,0.009500,0.494300,0.075100,5.949200,5,0.069400,0.131200,0.131500,0.063700,0.056600,0.014700,0.055600,8.823300,0.028600,0.028700,-0.000200,0.015900,4,3.632200,0.094400,2.859700,3.632200,13.244200,65,35,0,0,0,0.854300,5,8.204400,5,58,0.423000,0.277300,647,1971690.038800,56,1.225000,1.546600,15,17,26
0051,0.009500,0.494300,0.075300,5.945900,5,0.069600,0.130800,0.131500,0.064000,0.057000,0.014800,0.056000,8.854300,0.028600,0.028700,-0.000100,0.016000,4,3.611100,0.094600,2.842900,3.611100,13.285500,65,34,0,0,0,0.854400,5,8.196400,5,58,0.420100,0.275500,654,1975956.618300,56,1.225600,1.547900,15,17,26
0052,0.009500,0.494300,0.080500,5.872800,5,0.074800,0.130800,0.131500,0.069200,0.062600,0.016300,0.061600,9.687800,0.033200,0.033400,-0.000200,0.018000,4,3.463000,0.094500,2.746700,3.463000,14.206400,63,33,0,0,0,0.853500,5,8.189200,5,58,0.436100,0.271000,661,1968399.923600,58,1.231300,1.584300,16,18,21
0053,0.009500,0.494300,0.080400,5.873800,5,0.074800,0.130200,0.131500,0.069100,0.062500,0.016300,0.061500,9.626500,0.033100,0.033200,-0.000100,0.017800,4,3.467500,0.094400,2.751000,3.467500,14.194200,63,33,0,0,0,0.839600,5,8.197800,5,58,0.433500,0.274100,654,1970311.996600,58,1.231200,1.584200,16,18,21
0054,0.009500,0.494300,0.080400,5.873800,5,0.074800,0.130200,0.131500,0.069100,0.062500,0.016300,0.061500,9.626500,0.033100,0.033200,-0.000100,0.017800,4,3.467500,0.094400,2.751000,3.467500,14.194200,63,33,0,0,0,0.839600,5,8.197800,5,58,0.433500,0.274100,654,1970311.996600,58,1.231200,1.584200,16,18,21
0055,0.009400,0.494300,0.081200,5.863300,5,0.075500,0.130200,0.131500,0.069900,0.063400,0.016600,0.062400,9.753300,0.033100,0.033200,-0.000100,0.018100,3,3.434000,0.094400,2.728200,3.434000,14.326500,62,33,0,0,0,0.839600,5,8.197800,5,58,0.430600,0.272800,662,1970222.727000,58,1.229700,1.573200,16,18,23
0056,0.009400,0.494300,0.081300,5.862000,5,0.075600,0.130200,0.131500,0.070000,0.063500,0.016600,0.062500,9.760500,0.033100,0.033200,-0.000100,0.018100,3,3.429600,0.094400,2.725100,3.429600,14.343300,62,33,0,0,0,0.855700,5,8.194800,5,58,0.425700,0.285500,643,1944078.568800,58,1.225700,1.564800,16,18,24
0057,0.009400,0.494300,0.081300,5.862000,5,0.075600,0.130200,0.131500,0.070000,0.063500,0.016600,0.062500,9.760500,0.033100,0.033200,-0.000100,0.018100,3,3.429600,0.094400,2.725100,3.429600,14.343300,62,33,0,0,0,0.855700,5,8.194800,5,58,0.425700,0.285500,643,1944078.568800,58,1.225700,1.564800,16,18,24
0058,0.009400,0.494300,0.086000,5.795900,5,0.080300,0.130900,0.131500,0.074700,0.068900,0.018200,0.067800,10.742300,0.038400,0.038600,-0.000200,0.020700,3,3.244800,0.096000,2.596100,3.244800,15.176000,60,31,0,0,0,0.978300,5,8.052400,5,60,0.422600,0.279500,656,1953670.545700,57,1.225700,1.564800,16,18,24
0059,0.009400,0.494300,0.088800,5.757000,5,0.083100,0.130900,0.131500,0.077500,0.072100,0.019200,0.071100,11.152400,0.042300,0.042200,0.000000,0.021500,2,3.127700,0.096200,2.517900,3.127700,15.666600,58,30,0,0,0,0.978300,5,7.899600,5,60,0.404100,0.280100,668,2038945.527000,54,1.226600,1.566700,16,18,24
0060,0.009400,0.494300,0.095200,5.667700,5,0.089500,0.130900,0.131500,0.083800,0.080200,0.022800,0.079200,12.199800,0.043200,0.043000,0.000200,0.023900,2,2.813200,0.096400,2.286700,2.813200,16.791500,55,27,0,0,0,0.978200,5,7.667500,5,60,0.395600,0.278300,662,2197084.047800,52,1.226500,1.566400,16,18,24
0061,0.009400,0.494300,0.095200,5.667700,5,0.089500,0.130900,0.131500,0.083800,0.080200,0.022800,0.079200,12.199800,0.043200,0.043000,0.000200,0.023900,2,2.813200,0.096400,2.286700,2.813200,16.791500,55,27,0,0,0,0.978200,5,7.667500,5,60,0.395600,0.278300,662,2197084.047800,52,1.226500,1.566400,16,18,24
0062,0.009400,0.494300,0.095200,5.667700,5,0.089500,0.130900,0.131500,0.083800,0.080200,0.022800,0.079200,12.199800,0.043200,0.043000,0.000200,0.023900,2,2.813200,0.096400,2.286700,2.813200,16.791500,55,27,0,0,0,0.978200,5,7.667500,5,60,0.395600,0.278300,662,2197084.047800,52,1.226500,1.566400,16,18,24
0063,0.008100,0.494300,0.096900,5.644100,5,0.091200,0.130900,0.131500,0.085500,0.082100,0.023500,0.081200,12.495600,0.045600,0.045400,0.000200,0.024600,1,2.740600,0.096400,2.238000,2.740600,17.089000,54,26,0,0,0,0.978200,5,7.652300,5,60,0.398600,0.285500,664,2194946.528100,52,1.229700,1.578800,16,18,22
0064,0.008100,0.494300,0.096900,5.644100,5,0.091200,0.130900,0.131500,0.085500,0.082100,0.023500,0.081200,12.495600,0.045600,0.045400,0.000200,0.024600,1,2.740600,0.096400,2.238000,2.740600,17.089000,54,26,0,0,0,0.978200,5,7.652300,5,60,0.398600,0.285500,664,2194946.528100,52,1.229700,1.578800,16,18,22
0065,0.008100,0.494300,0.091400,5.719800,5,0.085800,0.127200,0.131500,0.080100,0.075300,0.020500,0.074300,10.587400,0.044600,0.043500,0.001100,0.018700,1,3.023000,0.091600,2.454100,3.023000,16.135000,57,29,0,0,0,0.877100,5,8.218500,5,59,0.406800,0.290800,651,2183134.377900,56,1.229500,1.578600,16,18,22
0066,0.008200,0.494300,0.091300,5.721800,5,0.085600,0.127300,0.131500,0.080000,0.075100,0.020400,0.074100,10.543200,0.044600,0.043500,0.001000,0.018600,1,3.031000,0.091400,2.460800,3.031000,16.109300,57,29,0,0,0,0.877100,5,8.217600,5,59,0.406900,0.288100,653,2182483.831800,55,1.229500,1.578500,16,18,22
0067,0.008200,0.494300,0.093800,5.686500,5,0.088200,0.127300,0.131500,0.082500,0.077100,0.020600,0.076100,10.805700,0.044600,0.043400,0.001200,0.019000,1,3.158400,0.091200,2.579200,3.158400,16.554300,56,30,0,0,0,0.877200,5,8.203100,5,59,0.415600,0.294200,649,2184500.780900,58,1.229400,1.578500,16,18,22
0068,0.009200,0.494300,0.089700,5.743700,5,0.084100,0.127300,0.131500,0.078400,0.072400,0.019000,0.071400,10.090600,0.039200,0.037800,0.001400,0.017100,2,3.326500,0.091400,2.690700,3.326500,15.833700,58,32,0,0,0,0.877000,5,7.996100,5,59,0.415000,0.282300,649,2171527.150300,56,1.228200,1.575200,16,18,22
0069,0.009200,0.494300,0.089700,5.743700,5,0.084100,0.127300,0.131500,0.078400,0.072400,0.019000,0.071400,10.090600,0.039200,0.037800,0.001400,0.017100,2,3.326500,0.091400,2.690700,3.326500,15.833700,58,32,0,0,0,0.877000,5,7.996100,5,59,0.415000,0.282300,649,2171527.150300,56,1.228200,1.575200,16,18,22
0070,0.009200,0.494300,0.094800,5.672600,5,0.089100,0.130400,0.131500,0.083500,0.078800,0.021700,0.077900,11.777000,0.040200,0.039500,0.000700,0.022200,2,3.062000,0.095500,2.489000,3.062000,16.729400,55,29,0,0,0,0.941900,5,7.539700,5,60,0.407000,0.275300,667,2177373.807600,54,1.228400,1.575400,16,18,22
0071,0.009300,0.494300,0.081000,5.865900,5,0.075300,0.130400,0.131500,0.069700,0.062300,0.015800,0.061300,9.577900,0.030200,0.029900,0.000400,0.017200,3,3.659200,0.095200,2.904600,3.659200,14.294100,62,35,0,0,0,0.942300,5,7.910100,5,60,0.418000,0.279700,651,1943563.601500,56,1.224500,1.579800,17,19,22
0072,0.009300,0.494300,0.081600,5.857000,5,0.076000,0.130400,0.131500,0.070300,0.063100,0.016100,0.062100,9.701900,0.030200,0.029900,0.000300,0.017600,3,3.630300,0.095100,2.884700,3.630300,14.405600,62,35,0,0,0,0.942300,5,7.910100,5,60,0.409500,0.279700,641,1953654.596600,54,1.225400,1.588300,17,19,22
0073,0.009200,0.494300,0.025700,6.639900,6,0.020100,0.060200,0.060100,0.014400,0.010300,0.003500,0.009500,1.516800,0.021600,0.022100,-0.000500,-0.001500,2,2.993700,0.091300,2.457400,2.993700,4.538900,90,29,0,0,0,0.943300,5,8.202200,5,60,0.407900,0.281000,651,1911899.343200,54,1.232600,1.597100,17,19,20
0074,0.009200,0.494300,0.030200,6.577100,6,0.024500,0.057900,0.060100,0.018900,0.013800,0.004400,0.013100,1.533700,0.021600,0.021500,0.000100,-0.002100,2,3.229900,0.083500,2.714800,3.229900,5.330500,88,31,0,0,0,0.658400,5,8.264300,5,56,0.412000,0.287600,651,1919324.427400,56,1.238600,1.601500,16,19,18
