name,population_deviation,estimated_vote_pct,pr_deviation,estimated_seats,fptp_seats,disproportionality,efficiency_gap_wasted_votes,efficiency_gap_statewide,efficiency_gap,seats_bias,votes_bias,geometric_seats_bias,declination,mean_median_statewide,mean_median_average_district,turnout_bias,lopsided_outcomes,competitive_district_count,competitive_districts,average_margin,responsiveness,responsive_districts,overall_responsiveness,proportionality,competitiveness,mmd_black,mmd_hispanic,mmd_coalition,opportunity_districts,proportional_opportunities,coalition_districts,proportional_coalitions,minority,reock,polsby_popper,cut_score,population_compactness,compactness,county_splitting,district_splitting,counties_split,county_splits,splitting
official-proxy,0.007300,0.494300,0.017700,6.752500,7,0.012000,-0.012400,-0.011300,0.006300,0.002900,0.001100,0.002600,0.192100,0.007400,0.007000,0.000400,-0.005600,4,3.166200,0.097000,2.625000,3.166200,3.119000,94,30,0,0,0,1.762100,5,8.297600,5,68,0.414500,0.331500,604,2152136.451900,62,1.147300,1.381800,12,12,59
0000,0.008400,0.494300,0.131000,5.166400,4,0.125300,0.196000,0.203000,0.119600,0.111300,0.024200,0.110000,16.170200,0.033200,0.032200,0.001000,0.031100,5,3.765100,0.086600,2.859800,3.765100,23.109800,37,36,0,0,0,0.527000,5,8.374800,5,56,0.361300,0.180300,806,2111584.686100,32,1.317500,2.143900,40,47,7
0001,0.008700,0.494300,0.125800,5.239300,4,0.120100,0.194700,0.203000,0.114400,0.105400,0.022700,0.104100,14.783100,0.031700,0.030500,0.001200,0.027500,5,3.969000,0.084500,2.993800,3.969000,22.190800,40,38,0,0,0,0.526500,5,8.405300,5,56,0.356500,0.181000,803,2118384.017900,32,1.317500,2.143900,40,47,7
0002,0.009100,0.494300,0.124600,5.255200,4,0.119000,0.194700,0.203000,0.113300,0.103800,0.021800,0.102500,14.647900,0.031700,0.030800,0.000900,0.027400,5,4.030400,0.084300,3.045600,4.030400,21.990800,41,38,0,0,0,0.526500,5,8.594800,5,56,0.378200,0.189700,791,1990423.898400,36,1.311800,2.098600,38,45,8
0003,0.008600,0.494300,0.127300,5.217500,4,0.121700,0.194700,0.203000,0.116000,0.106200,0.022000,0.104800,14.978100,0.030300,0.029300,0.001000,0.028000,5,4.073800,0.084400,3.066600,4.073800,22.465200,39,39,0,0,0,0.478700,5,8.657100,5,55,0.378900,0.193500,785,1984986.125800,38,1.310500,2.076300,36,44,8
0004,0.008900,0.494300,0.126500,5.229400,4,0.120800,0.194000,0.203000,0.115100,0.105200,0.021800,0.103800,14.757300,0.030300,0.029200,0.001100,0.027400,5,4.113700,0.084000,3.098800,4.113700,22.315500,40,39,0,0,0,0.461000,5,8.659000,5,54,0.390500,0.201100,770,1947500.464600,40,1.297100,2.015500,34,41,10
0005,0.008900,0.494300,0.126500,5.228800,4,0.120800,0.194000,0.203000,0.115200,0.105300,0.021800,0.103900,14.764000,0.030300,0.029200,0.001100,0.027400,5,4.111600,0.084000,3.097400,4.111600,22.323700,40,39,0,0,0,0.461000,5,8.659000,5,54,0.383800,0.197100,778,1958007.498300,39,1.297600,2.006900,33,41,10
0006,0.008900,0.494300,0.126900,5.223500,4,0.121200,0.194000,0.203000,0.115600,0.105800,0.022100,0.104500,14.793400,0.030300,0.029100,0.001300,0.027300,5,4.091100,0.084200,3.079200,4.091100,22.389900,39,39,0,0,0,0.461000,5,8.595800,5,54,0.410300,0.203200,773,2008132.547700,45,1.298400,1.982400,32,40,10
0007,0.009400,0.494300,0.128800,5.197400,4,0.123100,0.194800,0.203000,0.117400,0.107900,0.022500,0.106500,15.229300,0.030300,0.029100,0.001200,0.028400,5,4.011700,0.084800,3.016900,4.011700,22.719100,38,38,0,0,0,0.469200,5,8.595300,5,54,0.401400,0.201400,777,2029102.945000,43,1.297700,2.005600,33,41,10
0008,0.009400,0.494300,0.121400,5.299800,4,0.115800,0.194600,0.203000,0.110100,0.098400,0.019200,0.096900,12.469100,0.030300,0.028900,0.001400,0.021200,6,4.430500,0.077500,3.354800,4.430500,21.428600,42,42,0,0,0,0.438000,5,8.955300,5,54,0.398300,0.205000,772,2035344.982700,42,1.296500,2.000800,33,40,10
